OBJECTID1,HUC_8,HUC_10,HUC_12,ACRES,HU_10_NAME,HU_12_NAME,Basin,DWQ_Basin,Population,Shape__Area,Shape__Length,POP_2010,POP_2000,AREA,POP_CHG_10_20,POP_CHG_00_10,lat,long
1580,3020302,302030205,30203020502,32814.41,Masonboro Inlet-Mason Inlet,Masonboro Inlet-Mason Inlet,WOK,White Oak,74791,194680070.5,81680.13992,67163,53551,,7628,13612,34.1825403,-77.7995573
212,3030005,303000505,30300050503,18254.54,Brunswick River-Cape Fear River,Brunswick River-Cape Fear River,CPF,Cape Fear,27983,108302590.6,66570.93926,24696,19314,28.52271049,3287,5382,34.2178671,-77.9767183
1614,3020302,302030205,30203020503,26185.37,Masonboro Inlet-Mason Inlet,Wrightsville Beach-Mason Inlet,WOK,White Oak,811,6857570.66,129531.379,718,848,,93,-130,34.2424126,-77.7697076
64,3030004,303000406,30300040601,8369.69,Rockfish Creek,Juniper Creek,CPF,Cape Fear,2,50706147.17,38552.95957,1,0,13.07764117,1,1,34.243588,-78.0448148
767,3040204,304020403,30402040302,23608.72,Shoe Heel Creek,Juniper Creek,LBR,Lumber,1355,142326554.8,81535.94982,1744,1724,36.88863031,-389,20,34.243588,-78.0448148
872,3040206,304020604,30402060403,33617.53,Juniper Creek-Waccamaw River,Upper Juniper Creek,LBR,Lumber,95,198872628.3,92797.12989,156,80,52.52729109,-61,76,34.243588,-78.0448148
949,3040206,304020604,30402060405,29280,Juniper Creek-Waccamaw River,Lower Juniper Creek,LBR,Lumber,190,173562467.5,67552.21101,222,235,45.75005802,-32,-13,34.243588,-78.0448148
1127,3010205,301020504,30102050401,12415.95,Yeopim River-Albemarle Sound,Burnt Mill Creek,PAS,Pasquotank,459,77152439.11,47206.83269,447,393,,12,54,34.2493817,-77.9291538
770,3040203,304020314,30402031401,27676.21,Outlet Lumber River,Headwaters Gapway Swamp,LBR,Lumber,781,139916097.9,58821.59224,1000,938,36.81476398,-219,62,34.2587865,-78.1749683
313,3030007,303000708,30300070808,21136.41,Harrisons Creek-Northeast Cape Fear River,Smith Creek,CPF,Cape Fear,60245,125552514.3,58216.0163,56704,45308,33.02564442,3541,11396,34.2629473,-77.8635959
724,3010106,301010602,30101060204,20144.09,Upper Lake Gaston-Roanoke River,Newmans Creek-Smith Creek,ROA,Roanoke,1239,125365027.6,51365.14408,1323,1296,31.23345545,-84,27,34.2629473,-77.8635959
1408,3020201,302020107,30202010702,15025.56,Milburnie Lake-Neuse River,Smith Creek,NEU,Neuse,37835,92997003.87,49194.96979,21934,9648,,15901,12286,34.2629473,-77.8635959
293,3030007,303000706,30300070611,34873.9,Angola Swamp-Northeast Cape Fear River,Lewis Creek-Northeast Cape Fear River,CPF,Cape Fear,1882,208945443.7,92474.31277,2361,1916,54.49051903,-479,445,34.2746985,-77.8633294
162,3030005,303000503,30300050302,17637.78,Livingston Creek,Middle Livingston Creek,CPF,Cape Fear,860,104884412.7,51682.43151,968,810,27.5590481,-108,158,34.280506,-78.2419061
203,3030005,303000503,30300050301,28745.68,Livingston Creek,Upper Livingston Creek,CPF,Cape Fear,742,170664029.4,57928.09538,743,588,44.91510488,-1,155,34.280506,-78.2419061
220,3030005,303000503,30300050303,18229.47,Livingston Creek,Lower Livingston Creek,CPF,Cape Fear,1952,108398643.6,51824.11235,2257,2146,28.48356497,-305,111,34.280506,-78.2419061
1,3030003,303000302,30300030201,27827.9,Upper Deep River,Upper Sandy Creek,CPF,Cape Fear,4440,171796751.8,62196.5701,4409,4610,43.48109417,31,-201,34.2850596,-78.156745
70,3030003,303000302,30300030202,10613.09,Upper Deep River,Lower Sandy Creek,CPF,Cape Fear,1852,65406459.63,47718.8437,1793,1594,16.58294613,59,199,34.2850596,-78.156745
159,3030006,303000602,30300060201,9267.63,Lower South River,Sandy Creek,CPF,Cape Fear,2548,56031000.84,44424.49423,2128,1778,14.48066956,420,350,34.2850596,-78.156745
1202,3020101,302010107,30201010701,21475.02,Sandy Creek,Headwaters Sandy Creek,TAR,Tar-Pamlico,12567,134098088.8,52132.29014,13718,14091,,-1151,-373,34.2850596,-78.156745
1233,3020101,302010107,30201010703,13921.68,Sandy Creek,Upper Sandy Creek,TAR,Tar-Pamlico,1418,86812960.7,51235.15588,1438,1301,,-20,137,34.2850596,-78.156745
1237,3020101,302010107,30201010705,33446.61,Sandy Creek,Middle Sandy Creek,TAR,Tar-Pamlico,2251,208074849.9,85788.34957,2550,2396,,-299,154,34.2850596,-78.156745
1246,3020101,302010107,30201010706,12416.31,Sandy Creek,Lower Sandy Creek,TAR,Tar-Pamlico,502,77154401.41,52907.31351,564,615,,-62,-51,34.2850596,-78.156745
1639,3020302,302030204,30203020401,10497.85,Topsail Beach,Futch Creek-Rich Inlet,WOK,White Oak,6721,62420383.15,35683.16227,6009,3534,,712,2475,34.2952295,-77.7094375
940,3040206,304020602,30402060201,12564.32,White Marsh,Upper Soules Swamp,LBR,Lumber,2518,74705958.82,42135.26813,2894,2797,19.63174227,-376,97,34.3057246,-78.6866825
952,3040206,304020602,30402060202,18671.32,White Marsh,Lower Soules Swamp,LBR,Lumber,7096,111036397.9,57168.31672,8202,8138,29.17393474,-1106,64,34.3057246,-78.6866825
919,3040206,304020603,30402060304,10125.44,Headwaters Waccamaw River,Lake Waccamaw,LBR,Lumber,895,60174551.39,31356.75051,947,891,15.82100048,-52,56,34.3190578,-78.5000088
855,3040202,304020201,30402020102,32657.2,Headwaters Lynches River,Headwaters Lynches River,YAD,Yadkin Pee Dee,1876,100665531.1,52707.97743,1777,1697,26.11816221,99,80,34.3313506,-79.9898651
149,3030006,303000601,30300060101,23629.86,Upper South River,Upper Black River,CPF,Cape Fear,10829,144404213.5,77456.47672,10593,8757,36.92165325,236,1836,34.331868,-78.0325363
151,3030006,303000601,30300060102,13295.32,Upper South River,Lower Black River,CPF,Cape Fear,5881,80935309.67,57833.59805,6320,6056,20.77393892,-439,264,34.331868,-78.0325363
186,3030006,303000608,30300060805,26201.34,Black River,Rowan Creek-Black River,CPF,Cape Fear,429,156524576.5,98743.29091,582,415,40.93959367,-153,167,34.331868,-78.0325363
218,3030006,303000608,30300060801,15390.2,Black River,Clear Run-Black River,CPF,Cape Fear,370,92532554.32,61522.87584,504,583,24.04719274,-134,-79,34.331868,-78.0325363
965,3040206,304020603,30402060305,24937.73,Headwaters Waccamaw River,Bogue Swamp,LBR,Lumber,1653,148366785.6,61639.57042,1849,1868,38.96520019,-196,-19,34.3338256,-78.5717591
974,3040206,304020602,30402060203,29100.39,White Marsh,Town of Whiteville-White Marsh,LBR,Lumber,4318,173249614.4,80035.34843,4876,4507,45.46936846,-558,369,34.3387802,-78.7030721
1552,3020302,302030204,30203020404,6256.65,Topsail Beach,New Topsail Inlet-Topsail Beach,WOK,White Oak,141,3180544.66,62712.0754,107,132,,34,-25,34.3476687,-77.6558084
836,3040203,304020311,30402031101,19748.88,Porter Swamp-Lumber River,Dunn Swamp,LBR,Lumber,1917,117537698.6,56206.80593,2282,2553,30.85762186,-365,-271,34.3575355,-78.887087
853,3040203,304020311,30402031103,25426.67,Porter Swamp-Lumber River,Lower Porter Swamp,LBR,Lumber,1216,151400267.2,74729.0995,1512,1592,39.72917284,-296,-80,34.3598893,-78.9650287
858,3040203,304020311,30402031102,16101.11,Porter Swamp-Lumber River,Upper Porter Swamp,LBR,Lumber,1269,95690278.41,61021.26689,1590,1681,25.15797886,-321,-91,34.3598893,-78.9650287
967,3040206,304020603,30402060302,10937.83,Headwaters Waccamaw River,Slap Swamp,LBR,Lumber,469,65157783.8,43646.56502,637,697,17.0903547,-168,-60,34.3598916,-78.5000085
844,3040203,304020312,30402031207,8789.28,Headwaters Ashpole Swamp,Coward Swamp-Ashpole Swamp,LBR,Lumber,146,52335556.06,49444.02142,202,228,13.73324317,-56,-26,34.3637769,-79.0464217
328,3030007,303000708,30300070807,20474.39,Harrisons Creek-Northeast Cape Fear River,Prince George Creek-Northeast Cape Fear River,CPF,Cape Fear,8256,121856832.3,57269.50836,7994,6464,31.99123116,262,1530,34.3640882,-77.9495142
905,3040206,304020603,30402060301,27921.78,Headwaters Waccamaw River,Sasspan Branch-Boggy Branch,LBR,Lumber,1405,166343313.9,68142.89691,1649,1867,43.62778317,-244,-218,34.3680033,-78.4496167
116,3030005,303000504,30300050404,16515.95,Hood Creek-Cape Fear River,Weyman Creek,CPF,Cape Fear,1718,98354715.29,44326.79213,1871,1752,25.80617172,-153,119,34.3722902,-78.2846238
211,3030006,303000608,30300060807,13578.11,Black River,Cross Way Creek-Black River,CPF,Cape Fear,222,80884325.72,47131.58375,243,278,21.21579911,-21,-35,34.3754273,-78.0689373
998,3010107,301010709,30101070901,18097.95,Plymouth-Roanoke River,Welch Creek,ROA,Roanoke,2021,111539755,62941.10533,2488,2452,28.27809907,-467,36,34.3818125,-78.6497974
216,3030006,303000608,30300060806,27705.26,Black River,Lyon Creek,CPF,Cape Fear,734,165184110,82816.66517,930,749,43.28944939,-196,181,34.3922319,-78.1500261
327,3030007,303000708,30300070804,23433.22,Harrisons Creek-Northeast Cape Fear River,Harrisons Creek,CPF,Cape Fear,3679,139693159.6,83990.01423,2562,1361,36.6144093,1117,1201,34.3930904,-77.7609394
1605,3020302,302030204,30203020402,8130.24,Topsail Beach,Virginia Creek,WOK,White Oak,6331,48479797.58,36883.33003,4343,2715,,1988,1628,34.4140569,-77.5919161
805,3040203,304020312,30402031206,18168.37,Headwaters Ashpole Swamp,Indian Swamp,LBR,Lumber,1318,108350187.3,54655.18267,1580,1536,28.38808239,-262,44,34.4157277,-79.0532034
262,3030007,303000708,30300070803,12809.06,Harrisons Creek-Northeast Cape Fear River,Trumpeter Swamp,CPF,Cape Fear,540,76375087.49,49844.56549,476,190,20.01414199,64,286,34.4276706,-77.7387628
828,3040203,304020311,30402031104,24452.29,Porter Swamp-Lumber River,Flowers Swamp-Lumber River,LBR,Lumber,958,145718223.1,90572.19929,1119,1278,38.20670041,-161,-159,34.4346103,-79.0078089
909,3040206,304020601,30402060104,24880.75,Red Hill Swamp,Western Prong Red Hill Swamp,LBR,Lumber,1928,148341650.4,70224.50801,2023,1962,38.87617699,-95,61,34.4376696,-78.6819602
912,3040206,304020601,30402060105,25919.97,Red Hill Swamp,Slades Swamp-Red Hill Swamp,LBR,Lumber,2052,154613067.3,64606.7651,2431,2509,40.49994834,-379,-78,34.4376696,-78.6819602
237,3030007,303000707,30300070704,18495.73,Long Creek,Middle Long Creek,CPF,Cape Fear,1319,110429051.9,55733.43688,1448,1334,28.89958022,-129,114,34.4421115,-78.0097139
246,3030007,303000707,30300070705,13708.85,Long Creek,Lower Long Creek,CPF,Cape Fear,1313,81696027.89,47566.1162,1233,1012,21.42007519,80,221,34.4421115,-78.0097139
360,3040105,304010504,30401050406,19487.89,Long Creek,Lower Long Creek,YAD,Yadkin Pee Dee,3257,118595627.7,64473.66536,3260,3159,30.44983428,-3,101,34.4421115,-78.0097139
445,3050101,305010114,30501011403,23188.42,Mountain Island Lake-Catawba River,Long Creek,CAT,Catawba,55812,141259802.2,69610.4567,43222,22894,36.23190499,12590,20328,34.4421115,-78.0097139
500,3050102,305010206,30501020603,18906.17,Lower South Fork Catawba River,Lower Long Creek,CAT,Catawba,27782,115136419.4,54431.83592,24659,24092,29.5408976,3123,567,34.4421115,-78.0097139
227,3030007,303000707,30300070703,21117.75,Long Creek,Rileys Creek,CPF,Cape Fear,1643,126036072.1,59914.67553,1782,1784,32.99648462,-139,-2,34.4505712,-77.9938466
1600,3020302,302030204,30203020403,21531.34,Topsail Beach,Beckys Creek-New Topsail Inlet,WOK,White Oak,15863,128252237.1,75704.34984,10663,6880,,5200,3783,34.4516963,-77.5763151
188,3030005,303000504,30300050402,27225.2,Hood Creek-Cape Fear River,Frenchs Creek-Cape Fear River,CPF,Cape Fear,300,162709353.8,80493.85346,423,380,42.5393835,-123,43,34.4550445,-78.3159411
491,3050101,305010101,30501010102,23954.81,Headwaters Catawba River,Headwaters Catawba River,CAT,Catawba,1885,147083746.5,63674.48558,1931,1956,37.42939357,-46,-25,34.4668123,-80.8889704
536,3050101,305010114,30501011406,10511.12,Mountain Island Lake-Catawba River,Lake Wylie-Catawba River,CAT,Catawba,17983,63797211.21,42105.19842,10118,2827,16.42362432,7865,7291,34.4668123,-80.8889704
550,3050101,305010112,30501011204,16902.84,Lower Lake Norman,Catawba River-Lake Norman,CAT,Catawba,15863,103369521,51210.09233,12761,9959,26.41067494,3102,2802,34.4668123,-80.8889704
1604,3020302,302030203,30203020301,31640.4,New River Inlet,Ashe Island-Stump Sound,WOK,White Oak,14413,188968254.2,71422.55588,6556,4818,,7857,1738,34.4782224,-77.4663541
930,3040206,304020601,30402060103,26271.94,Red Hill Swamp,Elkton Swamp,LBR,Lumber,781,156855030.8,65713.12094,936,963,41.04991124,-155,-27,34.487222,-78.5987238
792,3040203,304020312,30402031204,27134.59,Headwaters Ashpole Swamp,Hog Swamp,LBR,Lumber,2892,162133267.5,93849.69529,3652,4120,42.3977872,-760,-468,34.4907204,-79.0719782
207,3030006,303000608,30300060804,13426.89,Black River,Colvins Creek,CPF,Cape Fear,578,80257361.16,50793.87876,576,533,20.97951107,2,43,34.5182704,-78.179241
779,3040203,304020312,30402031203,14347.53,Headwaters Ashpole Swamp,Town of Fairmont-Old Field Swamp,LBR,Lumber,3493,85753857.81,57176.34413,4278,4451,22.41800958,-785,-173,34.5209975,-79.1194799
776,3040203,304020312,30402031202,29436.46,Headwaters Ashpole Swamp,Headwaters Ashpole Swamp,LBR,Lumber,2467,175974735.5,76055.3891,2919,2715,45.98631186,-452,204,34.5259966,-79.2328172
857,3040203,304020313,30402031303,8669.49,Ashpole Swamp,Ashpole Swamp,LBR,Lumber,83,15479712.46,21230.00638,89,80,4.064147541,-6,9,34.5259966,-79.2328172
1596,3020302,302030203,30203020302,19787.37,New River Inlet,Holover Creek-New River Inlet,WOK,White Oak,6212,118362042.5,53309.08138,5400,3850,,812,1550,34.5290127,-77.3360319
962,3040204,304020406,30402040601,38253.71,Lake Swamp-Little Pee Dee River,Mitchell Swamp,LBR,Lumber,2154,31684752.79,35839.86086,2439,976,8.352366813,-285,1463,34.5397325,-79.3155715
1225,3020103,302010303,30201030304,11180.33,Conetoe Creek,Mitchell Swamp,TAR,Tar-Pamlico,857,68969404.4,51318.76145,1011,1033,,-154,-22,34.5397325,-79.3155715
864,3040203,304020310,30402031004,11456.51,Saddletree Swamp-Lumber River,Tenmile Branch-Mill Swamp,LBR,Lumber,2245,68464949.09,42987.61125,2543,2265,17.90079775,-298,278,34.5407456,-78.9825492
821,3040203,304020309,30402030901,15135.41,Lower Big Swamp,Bryant Swamp,LBR,Lumber,2962,90493866.16,54086.17697,3376,3267,23.6490724,-414,109,34.5468438,-78.787437
765,3040201,304020105,30402010502,19762.75,Reedys Branch-Pee Dee River,Whites Creek,YAD,Yadkin Pee Dee,116,21342740.45,26161.4678,135,105,5.54138445,-19,30,34.5517383,-78.6653942
925,3040206,304020601,30402060101,11340.24,Red Hill Swamp,Whites Creek,LBR,Lumber,617,67817888.38,45616.37065,885,806,17.71913236,-268,79,34.5517383,-78.6653942
229,3030007,303000708,30300070801,19660.71,Harrisons Creek-Northeast Cape Fear River,Burgaw Creek,CPF,Cape Fear,4766,117613591.5,55075.05873,5015,4698,30.71986065,-249,317,34.5587086,-77.8938745
803,3040203,304020314,30402031404,21401.09,Outlet Lumber River,Lumber River,LBR,Lumber,448,28439899.37,23397.59237,679,828,7.472746119,-231,-149,34.5669774,-79.1432093
865,3040203,304020310,30402031005,13009.71,Saddletree Swamp-Lumber River,River Swamp-Lumber River,LBR,Lumber,955,77701490.68,69475.90146,1115,967,20.32767389,-160,148,34.5669774,-79.1432093
299,3030007,303000706,30300070610,21209.59,Angola Swamp-Northeast Cape Fear River,Ashes Creek,CPF,Cape Fear,11,126768482.4,67378.86846,6,18,33.13998676,5,-12,34.5692491,-77.7652239
1547,3020302,302030202,30203020210,12328.84,New River,Everett Creek-New River,WOK,White Oak,2366,73817184.59,41512.5902,769,304,,1597,465,34.5728038,-77.4511791
143,3030005,303000504,30300050401,22686.04,Hood Creek-Cape Fear River,Hammond Creek,CPF,Cape Fear,1108,135683641.9,73531.66935,1365,1361,35.44693269,-257,4,34.5770057,-78.5660622
1595,3020302,302030202,30203020207,12602.34,New River,Camp Lejeune-New River,WOK,White Oak,8114,75590101.31,44944.19173,8557,6617,,-443,1940,34.583589,-77.3603934
209,3030007,303000704,30300070402,23361.82,Cypress Creek-Northeast Cape Fear River,Back Swamp,CPF,Cape Fear,3164,140642376.8,61503.12593,2309,1487,36.5028478,855,822,34.5847186,-79.1209829
849,3040203,304020304,30402030401,22031.77,Bear Swamp-Lumber River,Back Swamp,LBR,Lumber,4637,132036956.2,71521.60079,5447,4805,34.42463346,-810,642,34.5847186,-79.1209829
1358,3020104,302010401,30201040109,25394.19,Chocowinity Bay-Pamlico River,Duck Creek-Pamlico River,TAR,Tar-Pamlico,947,155172977.6,66629.47993,989,874,,-42,115,34.5957195,-77.2821782
816,3040203,304020310,30402031003,17138.35,Saddletree Swamp-Lumber River,Jacob Swamp-Lumber River,LBR,Lumber,11923,102645558.4,76374.89156,15317,14838,26.77868163,-3394,479,34.5961898,-78.9401341
870,3040203,304020310,30402031002,9436.58,Saddletree Swamp-Lumber River,Jacob Swamp,LBR,Lumber,2966,56480361.05,43525.58176,3667,3542,14.74464615,-701,125,34.5961898,-78.9401341
126,3030007,303000706,30300070608,11230.15,Angola Swamp-Northeast Cape Fear River,Lower Shaken Creek,CPF,Cape Fear,15,67213908.94,39332.21848,6,13,17.547137,9,-7,34.5993793,-77.7339362
