Fire Department,Chief / Captain,Address,City / State / Zip,County,Phone,Email Address,FDID,Address2,Latitude,Longtitude
"St. Stephens Fire Department, Inc.",Shawn  Greene,4060 Springs Road,"Conover, NC 28613",Catawba,(828) 256-2375,ssfd40@gmail.com,1816,"4060 Springs Road Conover, NC 28613",35.7710296,-81.2493451
"Cornelius-Lemley Volunteer Fire Department, Inc.",Guerry N. Barbee,PO Box 311,"Cornelius, NC 28031",Mecklenburg,(704) 892-1544,gbarbee@corneliusfd.org,6004,"PO Box 311 Cornelius, NC 28031",35.472468,-80.8875861
Creedmoor Volunteer Fire Department,William Homer Fisher,605 Lake Road,"Creedmoor, NC 27522",Granville,(919) 528-4400,creedmoorvfd1400@gmail.com,3905,"605 Lake Road Creedmoor, NC 27522",36.1235627,-78.6905515
"Cullowhee Volunteer Fire Department, Inc.",Tim V Green,P.O. Box 2470,"Cullohwee, NC 28723",Jackson,(828) 293-5867,cvfd2@frontier.com,5003,"P.O. Box 2470 Cullohwee, NC 28723",35.3137111,-83.1765333
Currituck County Fire and EMS,Ralph   Melton,2795 Caratoke Hwy.,"Currituck, NC 27929",Currituck,(252) 232-7746,Ralph.melton@currituckcountync.gov,2708,"2795 Caratoke Hwy. Currituck, NC 27929",36.4538853,-76.0224631
Dallas Volunteer Fire Department,Earl  Withers,210 North Holland Street,"Dallas, NC 28034",Gaston,(704) 922-7736,earlw@dallasnc.net,3610,"210 North Holland Street Dallas, NC 28034",35.3171206,-81.1769631
Davidson Fire Department,Ruben B. Fitzgerald,216 S. Main St.,"Davidson, NC 28036",Mecklenburg,(704) 940-9623,bfitzgerald@townofdavidson.org,6005,"216 S. Main St. Davidson, NC 28036",35.4982591,-80.8500177
"Deep Gap Volunteer Fire Department, Inc.",Bobby Lee Arnette,PO Box 516,"Deep Gap, NC 28618",Watauga,(828) 262-0635,deepgapfire@gmail.com,9505,"PO Box 516 Deep Gap, NC 28618",36.238651,-81.5154861
Denton Fire Department,Travis Scott Morris,P.O. Box 143,"Denton, NC 27239",Davidson,(336) 859-2221,tsmorris5@yahoo.com,2904,"P.O. Box 143 Denton, NC 27239",35.6334712,-80.1158813
"Healing Springs Fire Department, Inc.",Chris  Bean,18694 NC Highway 8,"Denton, NC 27239",Davidson,(336) 596-0151,mtviewtimber@windstream.net,2906,"18694 NC Highway 8 Denton, NC 27239",35.6162429,-80.1774366
"Farmer Volunteer Fire Department, Inc.",Tracy D Boyles,6881 Old N.C. Hwy. 49,"Denton, NC 27239",Randolph,(336) 857-2626,tboylesffd@rtmc.net,7604,"6881 Old N.C. Hwy. 49 Denton, NC 27239",35.6854068,-79.8369379
"Denver Volunteer Fire Department, Inc.",James W Flynn,P.O. Box 122,"Denver, NC 28037",Lincoln,(704) 483-5115,jflynn@denverfd.com,5503,"P.O. Box 122 Denver, NC 28037",35.5316576,-81.0295793
"Duck Volunteer Fire Department, Inc.",Donna  Black,1259 Duck Rd.,"Duck, NC 27949",Dare,(252) 261-3929,dblack@townofduck.com,2814,"1259 Duck Rd. Duck, NC 27949",36.18294,-75.7564543
Durham Fire Department,Robert  Zoldos,2008 E. Club Blvd.,"Durham, NC 27704",Durham,(919) 560-4242,robert.zoldos@durhamnc.gov,3203,"2008 E. Club Blvd. Durham, NC 27704",36.0260058,-78.8587155
"Redwood Volunteer Fire Department, Inc.",Randolph K Clements,4901 Cheek Rd.,"Durham, NC 27704",Durham,(919) 688-8422,rclements100@nc.rr.com,3208,"4901 Cheek Rd. Durham, NC 27704",36.0261153,-78.7926432
"Eno Fire and Emergency Services, Inc.",Keith  Hayes,5019 U.S. 70,"Durham, NC 27705",Orange,(919) 630-2735,keith.hayes@enofire.org,6804,"5019 U.S. 70 Durham, NC 27705",36.0398074,-79.0138462
"The Fall Creek Community Volunteer Fire Department, Inc.",Jerry Lee Vestal,2416 Smithtown Rd.,"East Bend, NC 27018",Yadkin,(336) 407-0986,fcvfd1@yadtel.net,9915,"2416 Smithtown Rd. East Bend, NC 27018",36.2236226,-80.5963056
"Eastover Volunteer Fire Department, Inc.",Scott A. MacKenzie,2405 Dunn Road,"Eastover, NC 28312",Cumberland,(910) 483-3770,scottpsychnp@gmail.com,2605,"2405 Dunn Road Eastover, NC 28312",35.07731,-78.8065056
Edenton Fire Department,William A Bass,704 N Broad Street,"Edenton, NC 27932",Chowan,(252) 482-3115,billy.bass@edenton.nc.gov,2102,"704 N Broad Street Edenton, NC 27932",36.0679825,-76.6052569
Elizabeth City Fire Department,Christopher James Carver,P.O. Box 347,"Elizabeth City, NC 27907",Pasquotank,(252) 338-3913,ccarver@cityofec.com,7001,"P.O. Box 347 Elizabeth City, NC 27907",36.3,-76.22
"C. C. Camp Volunteer Fire Department, Inc.",Lanny  Whitaker,1971 C.C. Camp Rd.,"Elkin, NC 28621",Surry,(336) 526-3748,campchief650@gmail.com,8665,"1971 C.C. Camp Rd. Elkin, NC 28621",36.282474,-80.7762121
"Altamahaw-Ossippee Fire Department, Inc.",Edward Latham Lipscomb,2806 Old NC 87,"Elon, NC 27244",Alamance,(336) 584-0526,chief2@aofire.com,101,"2806 Old NC 87 Elon, NC 27244",36.1793297,-79.5136643
Emerald Isle Fire Department,William W Walker,7500 Emerald Drive,"Emerald Isle, NC 28594",Carteret,(252) 354-2445,bwalker@emeraldisle-nc.org,1645,"7500 Emerald Drive Emerald Isle, NC 28594",34.6668942,-77.0269853
"Enfield Fire Department, Inc.",Ronald D. Locke,P.O. Box 815,"Enfield, NC 27823",Halifax,(252) 883-8902,rlocke@enfieldnc.org,4203,"P.O. Box 815 Enfield, NC 27823",36.1809865,-77.6666415
"Godwin-Falcon Fire Department, Inc.",Keith  Matthews,7723 Godwin Falcon Rd,"Falcon, NC 28342",Cumberland,unknown,gffd1701@nc.rr.com,2606,"7723 Godwin Falcon Rd Falcon, NC 28342",35.1983224,-78.6587556
"Belvoir Volunteer Fire Department, Inc.",Thomas W Harris,P O Box 57,"Falkland, NC 27827",Pitt,(252) 757-2888,tharris40@suddenlink.net,7413,"P O Box 57 Falkland, NC 27827",35.6993257,-77.5130257
Fayetteville Fire Department,Mike  Hill,632 Langdon Street,"Fayetteville, NC 28301",Cumberland,(910) 433-1725,mhill@ci.fay.nc.us,2607,"632 Langdon Street Fayetteville, NC 28301",35.0779662,-78.8946088
"Cumberland Road Volunteer Fire Department, Inc.",Steven W Parrish,3543 Cumberland Rd.,"Fayetteville, NC 28306",Cumberland,(910) 425-3119,crfd501@nc.rr.com,2604,"3543 Cumberland Rd. Fayetteville, NC 28306",35.0138181,-78.9348849
"Stoney Point Fire Department, Inc.",Freddy L Johnson,7221 Stoney Point Rd.,"Fayetteville, NC 28306",Cumberland,(910) 424-0694,Spfd1301@nc.rr.com,2619,"7221 Stoney Point Rd. Fayetteville, NC 28306",34.9840889,-79.021713
"Fletcher Fire and Rescue Department, Inc.",Greg Alan Garland,49 East Fanning Bridge Rd.,"Fletcher, NC 28732",Henderson,(828) 684-0864,ggarland@fletcherfirerescue.com,4506,"49 East Fanning Bridge Rd. Fletcher, NC 28732",35.431071,-82.5002742
Forest City Fire Department,Ferrell Reece Hamrick,186 South Church Street,"Forest City, NC 28043",Rutherford,(828) 245-2111,ferrellhamrick@townofforestcity.com,8105,"186 South Church Street Forest City, NC 28043",35.3326434,-81.8696858
"Northwest Harnett Volunteer Fire Department, Inc.",Henry C Prince,6015 Christian Light Rd.,"Fuquay-Varina, NC 27526",Harnett,(919) 552-8371,cprince@nwharnettfire.com,4318,"6015 Christian Light Rd. Fuquay-Varina, NC 27526",35.5170947,-78.8666176
Fuquay-Varina Fire Department,Anthony B Mauldin,134 North Main Street,"Fuquay-Varina, NC 27526",Wake,(919) 552-0422,amauldin@fuquay-Varina.org,9208,"134 North Main Street Fuquay-Varina, NC 27526",35.5862853,-78.7995702
"Garysburg Volunteer Fire Department, Inc.",Nathaniel  Ausby,P.O. Drawer Y,"Garysburg, NC 27831",Northampton,(252) 536-4248,lola002@charter.net,6608,"P.O. Drawer Y Garysburg, NC 27831",36.450985,-77.5588661
Gastonia Fire Department,Phillip B Welch,260 N. Myrtle School Rd.,"Gastonia, NC 28052",Gaston,(704) 866-6807,welch_phil@cityofgastonia.com,3612,"260 N. Myrtle School Rd. Gastonia, NC 28052",35.2624599,-81.2225379
"Crowders Mountain Volunteer Fire & Rescue, Inc.",Woodrow  Thomas,480 Bethany Road,"Gastonia, NC 28052",Gaston,(704) 867-4451,cmfrchief@gmail.com,3629,"480 Bethany Road Gastonia, NC 28052",35.1892982,-81.2545378
"Union Road Volunteer Fire Department, Inc.",Stanley C Huffstetler,4060 Union Rd.,"Gastonia, NC 28056-8045",Gaston,(704) 865-2611,urvfd5100@yahoo.com,3628,"4060 Union Rd. Gastonia, NC 28056-8045",35.1962978,-81.1523991
"Gerton Volunteer Fire Department and Rescue, Inc.",Jay  Alley,P.O. Box 52,"Gerton, NC 28735",Henderson,(828) 674-0066,chief@gertonfire.org,4511,"P.O. Box 52 Gerton, NC 28735",35.4792846,-82.3481715
Gibsonville Fire Dept.,James W Todd,218 Piedmont,"Gibsonville, NC 27249",Guilford,(336) 449-6969,jtodd@gibsonville.net,4109,"218 Piedmont Gibsonville, NC 27249",36.1071977,-79.5400146
Glen Alpine Volunteer Fire Department,Adam Franklin Marlowe,P.O. Box 898,"Glen Alpine, NC 28628",Burke,(828) 584-2622,amarlowe@townofglenalpine.org,1269,"P.O. Box 898 Glen Alpine, NC 28628",35.7334283,-81.777335
Goldsboro Fire Department,Joseph  Dixon,204 S. Center Street,"Goldsboro, NC 27530",Wayne,(919) 580-4262,jdixon@goldsboronc.gov,9611,"204 S. Center Street Goldsboro, NC 27530",35.3804623,-77.9975072
"Thoroughfare Volunteer Fire Department, Inc.",Randy Lee Pipkin,157 Herring Rd,"Goldsboro, NC 27530",Wayne,(919) 252-7815,pipkin7815@gmail.com,9629,"157 Herring Rd Goldsboro, NC 27530",35.2986982,-78.0825981
Goldston Rural Fire Department,Wade  Kirkman,P. O. Box 432,"Goldston, NC 27252",Chatham,(919) 898-2225,wadekirkman@hotmail.com,1903,"P. O. Box 432 Goldston, NC 27252",35.5932028,-79.3283539
"Eli Whitney Volunteer Fire Department, Inc.",Robert Louis Pascucci,7618 S. NC 87 Hwy,"Graham, NC 27253",Alamance,(336) 796-9078,bob.pascucci@gmail.com,104,"7618 S. NC 87 Hwy Graham, NC 27253",35.9357549,-79.3333057
Graham Fire Department,John Thomas Cole,201 S. Main Street,"Graham, NC 27253",Alamance,(336) 570-6707,tcole@cityofgraham.com,107,"201 S. Main Street Graham, NC 27253",36.0676498,-79.4010568
Grace Chapel Volunteer Fire Department,Bryan J Edwards,4548 Grace Chapel Rd,"Granite Falls, NC 28630",Caldwell,(828) 396-1702,bjedwards@gcfdnc.com,1403,"4548 Grace Chapel Rd Granite Falls, NC 28630",35.8147492,-81.365334
Granite Quarry Fire Department,Matthew J Hord,P.O. Box 351,"Granite Quarry, NC 28072",Rowan,(704) 279-5597,jhord@granitequarrync.gov,8057,"P.O. Box 351 Granite Quarry, NC 28072",35.615239,-80.4472547
"Fire District Number Thirteen, Incorporated",James S Neal,6912 Spencer Dixon Rd,"Greensboro, NC 27405",Guilford,(336) 375-5507,Fd13@triadbiz.rr.com,4106,"6912 Spencer Dixon Rd Greensboro, NC 27405",36.1920316,-79.7927743
Greensboro Fire Department,Bobby W Nugent,1514 N. Church Street,"Greensboro, NC 27405",Guilford,(336) 373-2297,bobby.nugent@greensboro-nc.gov,4110,"1514 N. Church Street Greensboro, NC 27405",36.0970655,-79.7821792
"Alamance Community Fire District, Inc.",Kevin G Bowers,4108 Presbyterian Road,"Greensboro, NC 27406",Guilford,(336) 697-0572,bowersk@alamancefd.com,4101,"4108 Presbyterian Road Greensboro, NC 27406",36.0202311,-79.7076466
"Pinecroft-Sedgefield Fire District, Inc.",Steve R Allred,2239 Bishop Road,"Greensboro, NC 27406",Guilford,(336) 299-4421,sallred@psfd.com,4119,"2239 Bishop Road Greensboro, NC 27406",35.9927676,-79.8612379
Greenville Fire And Rescue Department,Eric T Griffin,P.O. Box 7207,"Greenville, NC 27835-7207",Pitt,(252) 329-4404,egriffin@greenvillenc.gov,7455,"P.O. Box 7207 Greenville, NC 27835-7207",35.61,-77.37
"West Yadkin Volunteer Fire Dept., Inc.",Christopher Lee Messick,3205 US Hwy 21,"Hamptonville, NC 27020",Yadkin,(336) 468-2844,cmessick@westyadkinvfd.com,9918,"3205 US Hwy 21 Hamptonville, NC 27020",36.1226805,-80.7747405
Harrisburg Fire Department,Bryan Robert Dunn,6450 Morehead Road,"Harrisburg, NC 28075",Cabarrus,(704) 455-3574,bdunn@hfdnc.org,1306,"6450 Morehead Road Harrisburg, NC 28075",35.3243888,-80.6627327
"Harlowe Volunteer Fire Department of Craven and Carteret Counties, N.C.",Floyd  Bullock,3930 Highway 101,"Havelock, NC 28532",Craven,(252) 447-1891,fbullock62@gmail.com,2508,"3930 Highway 101 Havelock, NC 28532",34.8819333,-76.8103737
Hicksboro Fire Department (City of Henderson FD),Chad S Blake,2589 Thomas Road,"Henderson, NC 27537",Vance,(252) 492-4070,blakesgrading@yahoo.com,9109,"2589 Thomas Road Henderson, NC 27537",36.437481,-78.4024475
"Edneyville Volunteer Fire and Rescue Department, Inc.",Robert  Griffin,1 Firehouse Rd,"Hendersonville, NC 28792",Henderson,(828) 685-7311,r.griffin@edneyvillefire.com,4504,"1 Firehouse Rd Hendersonville, NC 28792",35.3890915,-82.3458248
Hendersonville Fire Department,James   Miller,632 Sugarloaf Rd.,"Hendersonville, NC 28792",Henderson,(828) 697-3024,dmiller@hvlnc.gov,4508,"632 Sugarloaf Rd. Hendersonville, NC 28792",35.3390925,-82.4312209
"Valley Hill Fire & Rescue Department, INC",Kenneth T Garren,P.O. Box 726,"Hendersonville, NC 28793",Henderson,(828) 692-2581,timgarren@vhfd.com,4512,"P.O. Box 726 Hendersonville, NC 28793",35.3528692,-82.4384611
"Hiddenite Fire Department, Inc.",Timothy H. Keever,P.O. Box 72,"Hiddenite, NC 28636",Alexander,(828) 632-4228,tkeever@taylorsvillesavings.com,203,"P.O. Box 72 Hiddenite, NC 28636",35.9038065,-81.0905569
Highlands Fire & Rescue,Steven Ryan Gearhart,P.O. Box 460,"Highlands, NC 28741-0460",Macon,(828) 526-3645,chief.gearhart@highlandsnc.org,5703,"P.O. Box 460 Highlands, NC 28741-0460",35.0525909,-83.1968173
"Orange Grove Volunteer Fire Company, Inc.",Steve  McCauley,6800 Orange Grove Road,"Hillsborough, NC 27278",Orange,(919) 967-5858,chief@ogfire.org,6807,"6800 Orange Grove Road Hillsborough, NC 27278",35.9801235,-79.1935159
"Orange Rural Fire Department No. 1, Inc.",Jeff  Cabe,P.O. Box 1511,"Hillsborough,, NC 27278",Orange,(919) 732-7911,Jeff.Cabe@orfd.net,6811,"P.O. Box 1511 Hillsborough,, NC 27278",36.0754183,-79.0997347
"Holly Ridge Volunteer Fire & Rescue Department, Inc.",Brandon S Longo,P.O. Box 40,"Holly Ridge, NC 28445",Onslow,(910) 329-5101,hollyridge700@gmail.com,6707,"P.O. Box 40 Holly Ridge, NC 28445",34.4954448,-77.5549696
"Turkey Creek Fire and Rescue, Inc.",Richard D Hardison,115 Tar Landing Road,"Holly Ridge, NC 28445",Onslow,,rickyhardison@yahoo.com,6718,"115 Tar Landing Road Holly Ridge, NC 28445",34.5246043,-77.4762471
"Cotton Volunteer Fire Department, Inc.",Owen  Harris,P.O. Box 129,"Hope Mills, NC 28348",Cumberland,(910) 425-9385,cfd402@nc.rr.com,2603,"P.O. Box 129 Hope Mills, NC 28348",34.9155618,-78.9175088
