Facility,Industry,State,Latitude,Longitude,Total
109TH AIRLIFT WING NEW YORK AIR NATL GUARD STRATTON ANG BASE,National Defense, NY,42.85178,-73.91808,1
10TH STREET SITE,Waste Management, NE,41.427194,-97.3595,1
10X GENOMICS,Electronics Industry, CA,34.436167,-119.846412,1
10X GENOMICS,Electronics Industry, CA,37.694849,-121.924924,1
10X GENOMICS,Textiles and Leather, CA,37.717438,-121.925933,1
11 SOUTH GOLD DRIVE BLDG @ SOUTH GOLD IND PK,Printing, NJ,40.20565,-74.62709,1
110 SAND CLEAN FILL DISPOSAL SITE,Waste Management, NY,40.761858,-73.433772,1
1104 11TH AVE  DELANO  CA 93215,Waste Management, CA,35.770798,-119.242955,1
1108TH AVCRAD,Metal Coating, MS,30.415417,-89.06,1
1108TH AVCRAD,National Defense, MS,30.415417,-89.06,1
1109TH AVIATION CLASSIFICATION & REPAIR DEPOT,National Defense, CT,41.333735,-72.047046,1
1111 CHANDLER AVENUE,Metal Coating, NJ,40.649006,-74.249424,1
111616 OPCO DELAWARE INC,Chemical Mfg, NY,43.215661,-77.659046,1
112 CORPORATE DRIVE E-CITY,Electronics Industry, NC,36.36106,-76.29594,1
112 FOURTH AVEUNE LLC,Printing, NY,40.73261,-73.99046,1
1121 LLC,Printing, NY,40.68064,-73.97014,1
1165 ARQUES,Electronics Industry, CA,37.38049,-121.99747,1
11685 DAVE HILL RD SRSTP,Waste Management, PA,41.697785,-79.357517,1
1-17 CHAMPLIN,Oil and Gas, WY,41.515579,-109.465402,1
117TH AIR REFUELING WING  ALABAMA AIR NATIONAL GUARD,National Defense, AL,33.56931,-86.75589,1
12 TECHNOLOGY INC,Electronics Industry, MA,42.63701,-71.2386,1
1200 AUBURN AVENUE,Plastics and Resins, MI,42.63521,-83.25205,1
1200 BLAIR MILL ROAD MEMBER  LLC,Waste Management, MD,38.98993,-77.02893,1
1200 W 20TH ST OKMULGEE,Chemical Mfg, OK,35.6096,-95.98504,1
121 CD ASSOCIATES QUAKERTOWN FAC,Chemical Mfg, PA,40.452578,-75.344562,1
121 REGIONAL DISPOSAL FACILITY,Waste Management, TX,33.29857,-96.53586,1
1-2-3 QUICK PRINT,Printing, NJ,40.514139,-74.273932,1
123 SANGAMON,Printing, IL,41.88368,-87.6509,1
1247 S 27 ST  BAY 15,Airports, AZ,33.434178,-112.022444,1
125TH FIGHTER WING FLORIDA AIR NATIONAL GUARD,National Defense, FL,30.488198,-81.702794,1
126 LLC D/B/A PASSAIC RIVER TERMINALS  LLC.,Petroleum, NJ,40.757219,-74.165834,1
126TH AVENUE CLASS III LANDFILL,Waste Management, FL,27.886418,-82.714721,1
12727-FIRST STUDENT,Petroleum, CA,33.815223,-118.172021,1
127898 - HIGHLAND INDUSTRIES  INC.,Textiles and Leather, NC,36.11971,-80.07056,1
12901 S WESTERN AVENUE  LLC,Metal Coating, CA,33.91467,-118.3091,1
12TH STREET PUMP STATION FORCEMAIN,Waste Management, PA,40.77625,-79.528063,1
130 ENVIRONMENTAL PARK,Waste Management, TX,29.952,-97.664,1
1301 HYBLA ROAD,Waste Management, VA,37.472611,-77.591416,1
1304 THROUGH 1306 ROSECRANS ST,Waste Management, CA,32.72691,-117.232325,1
1310 K ST  1318 K ST.,Waste Management, CA,32.708367,-117.159989,1
1320 NINTH STREET,Chemical Mfg, CA,37.879235,-122.297855,1
132-20 MERRICK BLVD BUILDING,Cleaning Product Mfg, NY,40.678882,-73.759196,1
133RD AIRLIFT WING MN AIR NATIONAL GUARD,National Defense, MN,44.8913,-93.201442,1
1366 TECHNOLOGIES,Electronics Industry, MA,42.48174,-71.26314,1
138 BRUCKNER BLVD LLC,Textiles and Leather, NY,40.803536,-73.920761,1
138 SAINT JOE RD SRSTP,Waste Management, PA,40.90478,-79.8055,1
14 20 JUNCTION,Oil and Gas, OK,36.214484,-98.601914,1
1400 EDDY LLC,Paper Mills and Products, MI,43.602878,-83.872748,1
1420-ROSEDALE SHELL,Waste Management, MD,39.3134,-76.52375,1
1426 - CASTLE MARINA SHELL,Waste Management, MD,38.976389,-76.29,1
145TH  STREET WATER AND SEWER IMPROVEMENT DISTRICT NO. 345 OF PULASKI COUNTY,Waste Management, AR,34.618731,-92.241544,1
1478 COTA AVENUE,Chemical Mfg, CA,33.78631,-118.216594,1
14TH AVENUE LANDFILL,Waste Management, CA,38.62474,-121.35679,1
1-5 CHAMPLIN,Oil and Gas, WY,41.515579,-109.465402,1
150 E AURORA ST,Electronics Industry, CT,41.57435,-73.05693,1
1500 SOUTH TIBBS LLC D/B/A AURORIUM INDIANAPOLIS LLC,Chemical Mfg, IN,39.73,-86.26,1
1510 BROADWAY LLC - DRY CLEANER SITE,Chemical Mfg, NY,40.686791,-73.917479,1
1520 LUNA ROAD,Chemical Mfg, TX,32.94293,-96.92526,1
15332 OLD STATE ROAD PROPERTIES MIDDLEFIELD WAREHOUSE,Textiles and Leather, OH,41.451256,-81.07283,1
1551 - DORSEY ROAD SHELL,Waste Management, MD,39.158889,-76.711389,1
155TH STREET DISPOSAL SITE,Waste Management, CA,34.263484,-118.29907,1
1-5F,Oil and Gas, WY,41.30704,-110.72742,1
16 EAGLE CREST WWTF,Waste Management, MO,38.223457,-92.648236,1
16 RD LANDFILL,Waste Management, CO,38.933086,-108.227265,1
1600 OSGOOD STREET LLC,Electronics Industry, MA,42.73063,-71.11278,1
1602 TACOMA PARTNERS LLC,Electronics Industry, CA,37.486048,-122.212035,1
16033 ROUTE 6 SRSTP,Waste Management, PA,41.78364,-78.49687,1
163RW CA ANG AIR OPS AND SUPPORT FACILITY SOCAL LOGISTICS AIRPORT,Airports, CA,34.5913,-117.3669,1
163RW CAL AIR NATL GUARD AIR OPS AND SUPPORT FAC SO CAL LOGISTICS AIRPORT,Airports, CA,34.56672,-117.362392,1
165 AIRLIFT WING AND COMBAT READINESS TRAINING CENTER,National Defense, GA,32.13235,-81.18673,1
167TH AIRLIFT WING,Airports, WV,39.406265,-77.991046,1
167TH AIRLIFT WING,National Defense, WV,39.406265,-77.991046,1
1-6E,Oil and Gas, WY,41.251971,-110.976653,1
16TH ST  (DEL RIO) CSWLF,Waste Management, AZ,33.350066,-112.490727,1
1702-RUNWAY 14-32 GADSDEN QUINCY AIRPORT,Airports, FL,30.59841,-84.55518,1
171 SOUTH NEWMAN ST,Glass Products, NJ,40.87514,-74.05647,1
172 PARKER AVENUE  LLC,Paints and Coatings, CA,37.783987,-122.461323,1
174TH FIGHTER WING @ HANCOCK FIELD AIR NATIONAL GUARD BASE,Airports, NY,43.09921,-76.09905,1
174TH FIGHTER WING @ HANCOCK FIELD AIR NATIONAL GUARD BASE,National Defense, NY,43.09921,-76.09905,1
177 FIGHTER WING  NJ AIR NATIONAL GUARD,National Defense, NJ,39.441129,-74.580984,1
1776 ENERGY OPERATORS DRAGON PRODUCTION FACILITY,Oil and Gas, TX,29.148489,-97.672068,1
1776 ENERGY OPERATORS LLC - MARY 2H,Oil and Gas, TX,29.127854,-97.661606,1
1776 ENERGY OPERATORS  LLC-FLORES 2H,Oil and Gas, TX,29.226723,-97.74943,1
1776 ENERGY OPERATORS  LLC-KOENNING 5H,Oil and Gas, TX,29.178384,-97.605195,1
1776 ENERGY OPERATORS  LLC-MAALI 8H,Oil and Gas, TX,29.175485,-97.58534,1
1776 ENERGY OPERATORS  LLC-PERKINS 10H,Oil and Gas, TX,29.184941,-97.595496,1
178TH OANG TACTICAL FIGHTER GROUP,National Defense, OH,39.846599,-83.730343,1
179 11TH STREET LLC,Metal Coating, NJ,40.580046,-74.450423,1
17TH AVE DEMO - SIS BUILDING,Furniture and Carpet, MN,45.538898,-94.238591,1
17Z GAS PLANT - CHEVRON USA INC.,Oil and Gas, CA,35.44186,-119.764579,1
1804 LTD. LLC - SPRINGBROOK GAS PLANT,Oil and Gas, ND,48.2297,-103.519,1
181ST STREET NEIGHBORHOOD GRAVITY SEWER SYSTEM,Waste Management, FL,26.94428,-80.14212,1
182ND AIRLIFT WING IL AIR NATL,National Defense, IL,40.656783,-89.703324,1
1836,Oil and Gas, TX,29.030419,-97.668785,1
1841 POWELL STREET  LLC,Paints and Coatings, CA,37.802081,-122.410912,1
1845 OIL FIELD SERVICES,Waste Management, TX,29.151637,-97.444043,1
185 BEAVER STREET LLC  AKRON BULK PLANT,Petroleum, OH,41.07332,-81.49988,1
18601 KRAUSE STREET,Metal Machinery Mfg, MI,42.17303,-83.17419,1
1880 TOWN,Waste Management, SD,43.887244,-101.141939,1
1888 MILLS GRIFFIN PLANT,Textiles and Leather, GA,33.222528,-84.278557,1
188TH WING ARKANSAS AIR NATIONAL GUARD,National Defense, AR,35.337988,-94.374781,1
190 ARW  FORBES FIELD (ANG),National Defense, KS,38.942389,-95.693522,1
19115 LEE ROAD FACILITY,Airports, TX,29.99604,-95.30881,1
19175 LEE ROAD FACILITY,Airports, TX,29.996744,-95.310817,1
193 DOCK FACILITY,Petroleum, LA,30.037596,-92.637763,1
19577 LEE ROAD FACILITY,Airports, TX,30.002438,-95.308893,1
1962,Waste Management, CA,34.473203,-119.054592,1
1969-QUINCY GADSDEN AIRPORT TAXIWAY A,Airports, FL,30.610709,-84.590346,1
19TH AVENUE CSWLF,Waste Management, AZ,33.350076,-112.490737,1
1G4 - GRAND CANYON WEST,Airports (Part 139), AZ,35.98611111,-113.8169167,1
1K FULTON LLC,Cleaning Product Mfg, IL,41.88675,-87.65216,1
1LT JIMMIE L. MONTEITH USARC/AMSA #90(G),National Defense, VA,37.49124,-77.4694,1
1LT RICHARD T. SHEA ARC,National Defense, VA,36.851053,-76.477132,1
1MICRO LLC,Electronics Industry, MN,44.84141,-93.78475,1
1SG ADAM S. BRANDT MEMORIAL USARC,National Defense, MD,39.19982,-76.59552,1
1ST AYD CORPORATION,Cleaning Product Mfg, IL,42.06573,-88.34327,1
1ST CHOICE SEPTIC PUMPING,Waste Management, MO,38.077318,-92.82578,1
1ST ENVIRO SAFETY INC,Cleaning Product Mfg, FL,26.609197,-82.112777,1
1ST QUALITY CYLINDERS INC,Metal Coating, TX,29.442318,-98.505096,1
1ST RECOVERY,Chemical Mfg, FL,27.951768,-82.422511,1
1ST RECOVERY,Chemical Mfg, FL,27.988039,-82.396968,1
1ST RECOVERY,Textiles and Leather, FL,27.951768,-82.422511,1
1ST RECOVERY,Textiles and Leather, FL,27.988039,-82.396968,1
1VISION,Printing, TX,29.78735,-95.54904,1
1VISION,Printing, TX,29.917083,-95.648013,1
1X LIFESCAN INC.,Metal Machinery Mfg, CA,37.41655,-121.89226,1
2 O'CLOCK BAYOU LAND CORP 13 #1 & 14 #1 TANK BATTERY,Oil and Gas, LA,30.448887,-91.755793,1
2 XL CORP,Chemical Mfg, IL,41.671853,-88.079249,1
20 10 PRODUCTS INCORPORATED,Cleaning Product Mfg, OR,44.966849,-123.012698,1
20 THORNWOOD DRIVE,Electronics Industry, NY,42.48411,-76.46405,1
200 BARTLETT ST PROPERTY,Metal Coating, MA,42.32012,-71.60807,1
2006 MUSTANG CREEK DEVELOPMENT WWTP,Waste Management, TX,29.5205,-95.395,1
201415321 NORTH AIRFIELD FUEL STATION,Airports, CO,39.875,-104.676,1
2017 TURNAROUND PROJECT,Chemical Mfg, TX,29.7062,-95.24984,1
2019 FLOOD ORPHAN CONTAINER COLLECTION AREA,Waste Management, MO,40.409746,-95.512167,1
2019 FLOOD ORPHAN CONTAINER COLLECTION AREA MOUND CITY,Waste Management, MO,40.124615,-95.252743,1
2019 IOWA FLOOD RESPONSE,Waste Management, IA,41.031237,-95.81607,1
2021 MOXA FIELD PAD RECLAMATION,Airports, WY,41.1959,-104.87204,1
2022 WATER TREATMENT PLANT IMPROVEMENTS,Waste Management, KS,39.86491,-95.254016,1
203D RED HORSE SQUADRON VIRGINIA AIR NATIONAL GUARD,National Defense, VA,36.81879,-75.982,1
2040 HOLDINGS  LLC,Textiles and Leather, CA,33.661665,-117.829748,1
205 ST JOE RD SRSTP,Waste Management, PA,40.905101,-79.803006,1
2050 W 16TH ST,Chemical Mfg, CA,33.787152,-118.193049,1
208 AVIATION WAY 27N,Airports, TX,32.824991,-97.355977,1
20TH CBRNE COMMAND-CARA,National Defense, AL,33.898305,-86.087153,1
20TH CBRNE COMMAND-CARA,Waste Management, AL,33.898305,-86.087153,1
20X24 HOLDINGS LLC,Metal Machinery Mfg, MA,42.24481,-71.43359,1
21 INDUSTRIAL DR,Cleaning Product Mfg, NJ,40.44667,-74.2431,1
2139 GREENWOOD ROAD,Waste Management, LA,32.48559,-93.77329,1
215 INDUSTRIAL ROAD LIMITED PARTNERSHIP,Metal Coating, SC,33.033661,-80.203162,1
2193 ANCHOR COURT,Metal Machinery Mfg, CA,34.19548,-118.92491,1
21CENTURY COOP - GREENFIELD,Petroleum, IA,41.296278,-94.461972,1
21MT ELLIS ROAD,Metal Machinery Mfg, NC,35.93949,-78.85627,1
21ST CENTURY CONTAINE,Plastics and Resins, GA,33.756433,-84.54151,1
21ST CENTURY CONTAINERS LTD,Plastics and Resins, GA,33.75405,-84.54382,1
21ST CENTURY COOP-CUMBERLAND-MAIN (SBGP),Petroleum, IA,41.272497,-94.870476,1
21ST CENTURY COOP-MASSENA (C-STORE),Petroleum, IA,41.25835,-94.76724,1
21ST CENTURY ENV MNGMT OF CALIFORNIA LP,Waste Management, CA,37.36996,-121.94848,1
21ST CENTURY ENVIRONMENTAL MANAGEMENT,Textiles and Leather, RI,41.731459,-71.445662,1
21ST CENTURY ENVIRONMENTAL MANAGEMENT,Waste Management, RI,41.731459,-71.445662,1
21ST CENTURY ENVIRONMENTAL MANAGEMENT OF CA  LP,Waste Management, CA,38.54287,-121.228277,1
21ST CENTURY ENVIRONMENTAL MANAGEMENT OF CA. LP,Waste Management, CA,37.381944,-122.088035,1
21ST CENTURY ENVIRONMENTAL MANAGEMENT OF NEVADA LLC,Waste Management, NV,39.61028,-119.2031,1
21ST CENTURY ENVIRONMENTAL MGMT INC OF NV,Waste Management, MO,39.103412,-94.599735,1
21ST CENTURY PERKINS,Metal Coating, MA,42.468531,-71.212196,1
21ST CENTURY PLASTICS CORPORATION,Plastics and Resins, MI,42.62171,-84.74718,1
22 LINK DRIVE - CRESTRON ELECTRONICS,Electronics Industry, NJ,41.006905,-73.934259,1
22 PLEASANT STREET LLC,Metal Machinery Mfg, MA,42.29839,-71.35617,1
220 GULF COAST BASIN DEC,Oil and Gas, OK,35.471006,-97.519302,1
220 LABORATORIES  INC.,Paints and Coatings, CA,33.98292,-117.36131,1
2261 S VALLEY RD SRSTP,Waste Management, PA,40.017778,-75.465278,1
22ND AVENUE CSWLF,Waste Management, AZ,33.422176,-112.106617,1
230 ARKLA BASIN QEP ENERGY COMPANY,Oil and Gas, OK,36.06097,-95.9407,1
23RD AVENUE WASTEWATER TREATMENT PLANT,Waste Management, AZ,33.42424,-112.10627,1
24 KARAT CLASSICS,Metal Coating, AZ,33.519924,-112.16872,1
2401 GLORIA WAY WELL WATER TREATMENT,Waste Management, CA,37.46844,-122.138884,1
249 OCCIDENTAL  LLC,Petroleum, CA,34.060936,-118.275417,1
24M TECHNOLOGIES INC,Printing, MA,42.202187,-71.151956,1
24TH ST LANDFILL,Waste Management, AZ,33.42051,-112.03026,1
25 LOGISTICS AND SOLUTION INC,Waste Management, CA,33.866965,-118.049551,1
251ST STREET LANDFILL INC,Waste Management, OK,36.02263,-95.97666,1
2590 - RC MILLER OIL CO,Petroleum, KY,36.97522,-84.10209,1
260 - EAST TEXAS BASIN GATHERING/BOOSTING,Oil and Gas, TX,29.77455,-95.61949,1
260 EAST TEXAS BASIN - BP AMERICA PRODUCTION COMPANY,Oil and Gas, TX,29.775402,-95.60233,1
260 RESOURCE MANAGEMENT LLC,Oil and Gas, CA,38.58951,-121.72226,1
260 RESOURCE MANAGEMENT  LLC,Oil and Gas, CA,38.672922,-121.744092,1
2-6E,Oil and Gas, WY,41.251971,-110.976653,1
26TH STREET LANDFILL,Waste Management, CA,32.83864,-117.23574,1
26TH STREET LANDFILL,Waste Management, CO,38.85392,-104.88405,1
2700 S 25TH W AVE,Waste Management, OK,36.12261,-96.02029,1
272 4TH AVE LLC BCP #C224298,Mining and Refining, NY,40.675938,-73.984221,1
275 MATHILDA LLC-ICOP,Textiles and Leather, CA,37.387487,-122.015427,1
275 N. MATHILDA LLC-ICOP,Textiles and Leather, CA,37.387487,-122.015427,2
2800 60TH AVE,Waste Management, CO,39.805305,-105.023418,1
28210 28216 DOROTHY DRIVE  LLC,Textiles and Leather, CA,34.139252,-118.760299,1
2864 ATLANTIC REALTY LLC REDEVELOPMENT,Plastics and Resins, NY,40.67675,-73.88807,1
29 PALMS GROUND FUELS ISSUE POINT,National Defense, CA,34.231233,-116.056218,1
295 W HOLDINGS LLC,Plastics and Resins, NY,40.70225,-73.94771,1
29TH STREET CSWLF,Waste Management, AZ,32.1995,-110.9777,1
2F INC,Petroleum, IL,37.74108,-88.53775,1
2LANE TRUCKING INC,Waste Management, CA,37.481938,-122.135831,1
2ND & JUANITA DUMP,Waste Management, CA,34.263484,-118.29907,1
2SPEC MANUFACTURING,Metal Machinery Mfg, CA,37.29252,-121.84599,1
2SPEC MANUFACTURING,Metal Machinery Mfg, CA,37.296925,-121.897062,1
3 BEAR LIBBY GAS PLANT,Oil and Gas, NM,32.542358,-103.525728,1
3 DIMENSION GRAPHICS INC,Printing, FL,25.78626,-80.32675,1
3 P INDUSTRIES,Metal Coating, TX,32.43772,-95.18814,1
3 RIVERS ICE CREAM SERVICE INC-DOCK,Waste Management, PA,40.78663,-80.03456,1
3 SIGMA LLC,Paper Mills and Products, OH,40.05033,-84.24183,1
3 SIGMA LLC PLANT 3,Paper Mills and Products, OH,39.73456,-82.66827,1
3 TEC #8 PRODUCTION FACILITY,Oil and Gas, LA,29.872215,-91.538272,1
3 TUBS COMPRESSOR STATION,Oil and Gas, OK,36.77554,-101.3319,1
30 CES/CEIEC,National Defense, CA,37.502758,-122.494583,1
30 CHARLOTTE ST LLC,Metal Coating, NY,42.10621,-75.93337,1
30 HUDSON,Cleaning Product Mfg, NJ,40.714224,-74.035013,1
300 CG OWNER  LLC,Textiles and Leather, CA,33.916543,-118.398392,1
3000 WILSHIRE,Textiles and Leather, CA,34.061782,-118.286717,1
301 KWIKIE INC,Printing, FL,27.346513,-82.531082,1
30-25 QUEENS BLVD NYCOER 22TMP0096Q,Waste Management, NY,40.74876,-73.93664,1
303 WYTHE LLC,Waste Management, NY,40.7145,-73.96504,1
30-30 GAS PLANT,Oil and Gas, TX,33.050301,-102.903363,1
30-30 GAS PLANT,Oil and Gas, TX,33.05188,-102.88792,1
31 INC. (0679000284),Consumer Products, OH,40.2814,-81.56784,1
31 OPERATING - ANT HILL 30-42,Oil and Gas, CO,40.108063,-108.209857,1
31 OPERATING - ANT HILL UNIT 7-43,Oil and Gas, CO,40.151379,-108.432077,1
31 OPERATING - ANT HILL UNIT 8-12,Oil and Gas, CO,39.992102,-107.24343,1
31 OPERATING - ANT HILL UNIT 8-12,Oil and Gas, CO,40.16187,-108.191297,1
31 OPERATING - ANT HILL WYATT 25-43,Oil and Gas, CO,40.107361,-108.224386,1
31 OPERATING - ANT HILL WYATT 36-13,Oil and Gas, CO,40.104346,-108.224192,1
31 OPERATING - MEEKER GAS PLANT,Oil and Gas, CO,40.10243,-108.19358,1
31 OPERATING - WRD DOW 20-22,Oil and Gas, CO,40.129238,-108.191254,1
31 OPERATING - WRD FEDERAL 19-11,Oil and Gas, CO,40.133701,-108.214546,1
31 OPERATING - WRD FEDERAL 19-13 NORTH,Oil and Gas, CO,40.13271,-108.205681,1
31 OPERATING - WRD FEDERAL 25-31D,Oil and Gas, CO,40.088471,-108.803676,1
31 OPERATING - WRD FEDERAL 4-23,Oil and Gas, CO,40.122371,-108.239292,1
31 OPERATING - WRD FEDERAL 6-26,Oil and Gas, CO,40.114578,-108.243263,1
31 OPERATING - WRD UNIT 20-33,Oil and Gas, CO,40.124404,-108.187619,1
31 OPERATING - WRD UNIT 29-23,Oil and Gas, CO,40.114425,-108.186634,1
31 OPERATING - WRD UNIT 29-23,Oil and Gas, CO,40.121947,-108.200056,1
31 OPERATING - WRD UNIT 29-31 30-34D,Oil and Gas, CO,40.111051,-108.195394,1
31 OPERATING - WRD UNIT 29-33,Oil and Gas, CO,40.11084,-108.18676,1
31 SOUTH ST LLC,Electronics Industry, NY,40.90788,-73.85009,1
311 K STREET NW,Petroleum, DC,38.905104,-77.015531,1
316 MINING QUARTZ CREEK DRAINAGE MINE SITE,Mining and Refining, AK,65.3659,-164.7141,1
316 TRADITIONAL REMEDIES,Cleaning Product Mfg, RI,41.716444,-71.461796,1
3-18F,Oil and Gas, WY,41.30704,-110.72742,1
31ST STREET ENERGY LLC,Waste Management, IL,41.834962,-87.916392,1
31ST STREET LANDFILL,Waste Management, WV,38.42667,-82.39335,1
3222 SKYLANE DR STE 101 CARROLLTON TX 75006,Paints and Coatings, TX,32.97841,-96.84615,1
3247 CM LLC,Chemical Mfg, CA,34.857589,-114.62736,1
32500 CITY OF LIVONIA LF SITE,Waste Management, MI,42.379,-83.365,1
32-7 NO301 SALT WATER DISPOSAL,Oil and Gas, NM,36.93281,-107.55993,1
329 BAY STREET,Petroleum, CA,37.794894,-122.422279,1
32ND STREET NAVAL STATION,National Defense, CA,32.683799,-117.125741,1
334 RECYCLING & TRANSFER STATION,Waste Management, IN,39.94954,-86.36229,1
3401 PACIFIC LLC,Metal Coating, CA,34.168627,-118.346485,1
3427 WEST BROADWAY RD,Metal Coating, AZ,33.406206,-112.133726,1
34270 RIVIERA LLC,Metal Coating, MI,42.5491,-82.93886,1
3431 GALAXY PL DBA ELITE METAL FINISHING LLC,Paints and Coatings, CA,34.206944,-119.126111,1
3441 HALIFAX ST,Plastics and Resins, TX,32.81212,-96.87753,1
345 - ARKOMA BASIN GATHERING/BOOSTING,Oil and Gas, TX,29.77455,-95.61949,1
345 ARKOMA BASIN - BP AMERICA PRODUCTION COMPANY,Oil and Gas, TX,29.775402,-95.60233,1
345 ARKOMA BRAVO NR,Oil and Gas, OK,36.06097,-95.9407,1
3515 N SHERIDAN,Airports, OK,36.20222,-95.90186,1
3520 3RD STREET,Waste Management, CA,37.744868,-122.387367,1
355 CHATAUQUE PLATFORM,Oil and Gas, OK,35.56719,-97.49827,1
35TH AVE SITE,Petroleum, AL,33.557464,-86.799671,1
360 ANADARKO BASIN,Oil and Gas, OK,35.56719,-97.49827,1
360 ANADARKO BASIN,Oil and Gas, TX,29.75993,-95.366413,1
360 ANADARKO BASIN - BP AMERICA PRODUCTION COMPANY,Oil and Gas, TX,29.775402,-95.60233,1
360 ANADARKO BASIN DEC,Oil and Gas, OK,35.471006,-97.519302,1
360 ANADARKO CAMINO PRODUCTION,Oil and Gas, CO,39.751289,-104.998105,1
360 RECYCLING LLC,Waste Management, MA,42.147486,-72.721813,1
366 ENTERPRISE AVENUE VACANT LAND,Plastics and Resins, NJ,40.23953,-74.737361,1
3-6E,Oil and Gas, WY,41.251971,-110.976653,1
374 JATKO ROAD  BERRY CREEK,Waste Management, CA,39.62331,-121.40077,1
376745,Petroleum, CA,38.699406,-120.850797,1
3821 RIVER RD INC,Plastics and Resins, NY,42.979711,-78.930485,1
3841,Metal Machinery Mfg, MA,42.58503,-71.32161,1
38TH ROAD POULTRY LLC,Waste Management, NE,40.498183,-96.6666,1
395 WILLISTON BASIN,Oil and Gas, TX,29.75993,-95.366413,1
395 WILLISTON BASIN GB WPX,Oil and Gas, OK,35.471006,-97.519302,1
395 WILLISTON BASIN QEP ENERGY COMPANY,Oil and Gas, CO,39.74731,-104.994881,1
3A COMPOSITES USA INC,Plastics and Resins, KY,36.86642,-88.35834,1
3A COMPOSITES USA  INC.,Paper Mills and Products, NC,35.808333,-80.944722,1
3-B RATTLESNAKE REFINING CORP,Petroleum, TX,31.560209,-102.913977,1
3BEAR ENERGY LLC / ALL COMPRESSOR STATIONS,Oil and Gas, NM,32.488077,-103.59393,1
3BEAR LLC/ALL ELEVATION FIELD SERVICES  LLC FACILITIES,Oil and Gas, CO,40.029369,-104.932911,1
3COM CORPORATION,Electronics Industry, CA,37.41087,-121.98478,1
3D ART INC,Plastics and Resins, UT,40.664147,-112.014643,1
3D BIOMATRIX LLC,Chemical Mfg, MI,42.38506,-83.50498,1
3D CAR CARE WAREHOUSE & TRAINING,Cleaning Product Mfg, FL,27.123274,-80.196753,1
3-D CHEMICAL LLC,Chemical Mfg, LA,30.085,-91.849722,1
3D GLASS SOLUTIONS,Electronics Industry, NM,35.19608,-106.58533,1
3D GLASS SOLUTIONS,Electronics Industry, NM,35.199577,-106.584031,1
3D GLASS SOLUTIONS  INC.,Electronics Industry, NM,35.199723,-106.583646,1
3D INTERNATIONAL LLC,Cleaning Product Mfg, CA,34.423956,-118.528234,1
3-D MACHINING,Metal Machinery Mfg, FL,26.775849,-80.067942,1
3D PRINT BUREAU OF TEXAS,Plastics and Resins, TX,29.7217,-95.53038,1
3D SYSTEMS CORPORATION,Metal Machinery Mfg, CO,39.619629,-105.147582,1
3D TECHNOLOGY LABORATORIES,Chemical Mfg, CA,37.422179,-122.07658,1
3F CHIMICA AMERICAS INC,Chemical Mfg, NC,35.27772,-80.87519,1
3F CHIMICA AMERICAS INC,Petroleum, NC,35.27772,-80.87519,1
