10 HUC,CON,Column1,Column2
Bear Swamp Creek-Tar River,"Bear Swamp Creek-Tar River , NC",36.1508956,-78.296014
Beard Creek,"Beard Creek , NC",35.0691277,-76.8605638
Bearskin Creek,"Bearskin Creek , NC",34.9942483,-80.5771645
Bearskin Swamp,"Bearskin Swamp , NC",34.9763451,-78.458142
Beasley Branch-Buckhorn Creek,"Beasley Branch-Buckhorn Creek , NC",35.7595731,-79.0192997
Beason Creek-Buffalo Creek,"Beason Creek-Buffalo Creek , NC",35.2205228,-81.4220357
Beaver Creek,"Beaver Creek , NC",36.3773478,-81.5023274
Beaver Creek-South Fork New River,"Beaver Creek-South Fork New River , NC",36.3773478,-81.5023274
Beaver Dam Creek,"Beaver Dam Creek , NC",35.0037479,-79.4633546
Beaver Island Creek,"Beaver Island Creek , NC",36.3900393,-80.0758425
Beaver Pond Creek-Grassy Creek,"Beaver Pond Creek-Grassy Creek , NC",36.5635198,-81.3492091
Beaverdam Branch-South Yadkin River,"Beaverdam Branch-South Yadkin River , NC",35.928692,-80.8093135
Beaverdam Creek,"Beaverdam Creek , NC",35.8205516,-78.6540574
Beaverdam Creek-French Broad River,"Beaverdam Creek-French Broad River , NC",35.5627536,-82.8631741
Beaverdam Creek-Gum Swamp Creek,"Beaverdam Creek-Gum Swamp Creek , NC",35.3088357,-77.6908317
Beaverdam Creek-Pigeon River,"Beaverdam Creek-Pigeon River , NC",35.7595731,-79.0192997
Beaverdam Creek-Trent River,"Beaverdam Creek-Trent River , NC",35.0532419,-77.389313
Beaverdam Creek-Yadkin River,"Beaverdam Creek-Yadkin River , NC",35.7595731,-79.0192997
Beaverdam Swamp,"Beaverdam Swamp , NC",35.7595731,-79.0192997
Beaverpond Creek,"Beaverpond Creek , NC",36.5365383,-77.6192302
Beckys Creek-New Topsail Inlet,"Beckys Creek-New Topsail Inlet , NC",34.4516963,-77.5763151
Beddingfield Creek-Rattlesnake Creek,"Beddingfield Creek-Rattlesnake Creek , NC",35.7595731,-79.0192997
Bee Branch-Cypress Creek,"Bee Branch-Cypress Creek , NC",34.7515554,-77.7049757
Beech Branch,"Beech Branch , NC",35.7595731,-79.0192997
Beech Creek-Johnson Creek,"Beech Creek-Johnson Creek , NC",36.2576242,-81.9006707
Beech Creek-Watauga River,"Beech Creek-Watauga River , NC",36.1941825,-81.734942
Belews Creek-Belews Lake,"Belews Creek-Belews Lake , NC",36.2182892,-80.0758425
Belews Lake,"Belews Lake , NC",36.308756,-80.0339312
Bell Branch-South Yadkin River,"Bell Branch-South Yadkin River , NC",35.928692,-80.8093135
Bell Swamp-Rice Creek,"Bell Swamp-Rice Creek , NC",34.1332265,-78.0961046
Bellamy Branch-Waccamaw River,"Bellamy Branch-Waccamaw River , NC",33.6959905,-78.9224708
Bellamy Lake-Rocky Swamp,"Bellamy Lake-Rocky Swamp , NC",36.1576837,-77.7577251
Benaja Creek-Haw River,"Benaja Creek-Haw River , NC",36.094939,-79.3569372
Bennett Millpond-Rockyhock Creek,"Bennett Millpond-Rockyhock Creek , NC",36.1463969,-76.6622072
Bennetts Creek,"Bennetts Creek , NC",36.3766453,-76.7018919
Bens Creek,"Bens Creek , NC",36.3828881,-77.9481605
Bent Creek-French Broad River,"Bent Creek-French Broad River , NC",35.5090006,-82.6079028
Bethel Creek,"Bethel Creek , NC",36.1428887,-76.5314771
Betty Creek-Little Tennessee River,"Betty Creek-Little Tennessee River , NC",34.9931388,-83.4269815
Betty McGees Creek-Uwharrie River,"Betty McGees Creek-Uwharrie River , NC",35.6236922,-79.9276551
Biddie Toe Creek-Tar River,"Biddie Toe Creek-Tar River , NC",35.9215052,-78.1721183
Big Bluewing Creek,"Big Bluewing Creek , NC",36.5443944,-78.8184399
Big Branch-Upper Drowning Creek,"Big Branch-Upper Drowning Creek , NC",35.124204,-79.5489482
Big Buffalo Creek,"Big Buffalo Creek , NC",35.5137004,-79.2169147
Big Bugaboo Creek,"Big Bugaboo Creek , NC",36.2630216,-80.9732885
Big Camp Creek,"Big Camp Creek , NC",35.4846309,-81.9070925
Big Crabtree Creek,"Big Crabtree Creek , NC",35.8332498,-82.1550418
Big Creek,"Big Creek , NC",35.7351337,-83.1742311
Big Creek-Nantahala River,"Big Creek-Nantahala River , NC",36.4978583,-80.3435908
Big Creek-Waccamaw River,"Big Creek-Waccamaw River , NC",36.4978583,-80.3435908
Big Flatty Creek,"Big Flatty Creek , NC",36.1482458,-76.1348892
Big Govenors Creek,"Big Govenors Creek , NC",35.426224,-79.3437322
Big Horse Creek,"Big Horse Creek , NC",36.5383698,-81.5870023
Big Horse Creek-Broad River,"Big Horse Creek-Broad River , NC",35.7595731,-79.0192997
Big Laurel Creek,"Big Laurel Creek , NC",35.915235,-82.6427863
Big Muddy Lake-Big Muddy Creek,"Big Muddy Lake-Big Muddy Creek , NC",35.7595731,-79.0192997
Big Pine Creek-French Broad River,"Big Pine Creek-French Broad River , NC",35.7595731,-79.0192997
Big Rock Creek,"Big Rock Creek , NC",36.0947382,-82.1822266
Big Swamp,"Big Swamp , NC",34.7790474,-78.7360505
Big Town Creek-Little River,"Big Town Creek-Little River , NC",35.2387268,-82.6290119
Black Creek,"Black Creek , NC",35.6351589,-77.9330403
Black Swamp Creek,"Black Swamp Creek , NC",34.8923895,-77.1571317
Black Swamp Creek-White Oak River,"Black Swamp Creek-White Oak River , NC",34.8923895,-77.1571317
Bloomery Swamp,"Bloomery Swamp , NC",35.7390031,-77.9824294
Blue Creek-New River,"Blue Creek-New River , NC",34.7540836,-77.4693666
Blue Hole Swamp-Roanoke River,"Blue Hole Swamp-Roanoke River , NC",36.0573793,-77.2663537
Blue Mud Creek-Smith Creek,"Blue Mud Creek-Smith Creek , NC",36.5253448,-78.2006141
Bluff Shoal-Gull Shoal,"Bluff Shoal-Gull Shoal , NC",35.3701717,-75.980181
Bluff Shoal-Middle Ground,"Bluff Shoal-Middle Ground , NC",35.249336,-76.094351
Boggy Swamp-Waccamaw River,"Boggy Swamp-Waccamaw River , NC",33.6959905,-78.9224708
Bogue Banks-Bear Island,"Bogue Banks-Bear Island , NC",34.6946061,-76.8146587
Bogue Banks-Bogue Sound,"Bogue Banks-Bogue Sound , NC",34.6946061,-76.8146587
Bogue Banks-Shackleford Banks,"Bogue Banks-Shackleford Banks , NC",34.6946061,-76.8146587
Bogue Sound-Bogue Inlet,"Bogue Sound-Bogue Inlet , NC",34.6946061,-76.8146587
Bogue Swamp,"Bogue Swamp , NC",34.3338256,-78.5717591
Bones Creek,"Bones Creek , NC",35.0862929,-79.0588518
Bowden Branch,"Bowden Branch , NC",36.0600152,-79.4155285
Bowes Branch-Hyco River,"Bowes Branch-Hyco River , NC",36.6837502,-78.7319498
Boyds Creek-Haw River,"Boyds Creek-Haw River , NC",36.1219279,-79.3648583
Boylston Creek,"Boylston Creek , NC",35.3156694,-82.6606798
Briar Creek-Yadkin River,"Briar Creek-Yadkin River , NC",35.2121169,-80.7907103
Bridgers Creek-Roanoke River,"Bridgers Creek-Roanoke River , NC",36.2463687,-77.3574541
Bridges Creek,"Bridges Creek , NC",35.8798809,-80.8540667
Bridle Creek-New River,"Bridle Creek-New River , NC",36.619013,-81.2434284
Brier Creek-Big Swamp,"Brier Creek-Big Swamp , NC",35.2121169,-80.7907103
Brier Creek-First Broad River,"Brier Creek-First Broad River , NC",35.2076278,-81.6062443
Briery Run,"Briery Run , NC",35.3065829,-77.5819894
Broad Creek,"Broad Creek , NC",34.720556,-76.936667
Broad Creek-Cashie River,"Broad Creek-Cashie River , NC",34.720556,-76.936667
Broad Creek-Roanoke River,"Broad Creek-Roanoke River , NC",34.720556,-76.936667
Broad Creek-Roanoke Sound,"Broad Creek-Roanoke Sound , NC",34.720556,-76.936667
Brooks Swamp,"Brooks Swamp , NC",35.2560067,-78.0730343
Brown Marsh Swamp,"Brown Marsh Swamp , NC",35.7595731,-79.0192997
Browns Creek,"Browns Creek , NC",35.7595731,-79.0192997
Brunswick River-Cape Fear River,"Brunswick River-Cape Fear River , NC",34.2178671,-77.9767183
Brush Creek,"Brush Creek , NC",35.7827523,-79.7119403
Brush Creek-Little Tennessee River,"Brush Creek-Little Tennessee River , NC",35.7595731,-79.0192997
Brushy Creek,"Brushy Creek , NC",35.7595731,-79.0192997
Brushy Fork,"Brushy Fork , NC",36.2257645,-81.7239979
Bryan Millpond-Black Swamp,"Bryan Millpond-Black Swamp , NC",35.7595731,-79.0192997
Bryant Swamp,"Bryant Swamp , NC",34.5468438,-78.787437
Buck Creek,"Buck Creek , NC",35.0776586,-83.6029035
Buck Marsh Branch,"Buck Marsh Branch , NC",35.1626854,-77.8667414
Buck Swamp-Little River,"Buck Swamp-Little River , NC",35.4834179,-78.0537813
Buck Swamp-Tar River,"Buck Swamp-Tar River , NC",35.7567658,-77.4351508
Buckhorn Creek,"Buckhorn Creek , NC",35.7595731,-79.0192997
Buckhorn Swamp-Meherrin River,"Buckhorn Swamp-Meherrin River , NC",35.7595731,-79.0192997
Buffalo Creek,"Buffalo Creek , NC",35.4836656,-82.184866
Buffalo Creek-Deep River,"Buffalo Creek-Deep River , NC",36.0048676,-79.976619
Buffalo Creek-Neuse River,"Buffalo Creek-Neuse River , NC",35.1312747,-76.5038153
Buffalo Shoals Creek,"Buffalo Shoals Creek , NC",35.768819,-81.0450998
Buies Creek,"Buies Creek , NC",35.4132168,-78.7355728
Bull Creek,"Bull Creek , NC",35.7595731,-79.0192997
Bull Creek-Ararat River,"Bull Creek-Ararat River , NC",36.4682019,-80.5437971
Bull Creek-Deep Creek,"Bull Creek-Deep Creek , NC",35.7595731,-79.0192997
Bull Run-Deep River,"Bull Run-Deep River , NC",36.0048676,-79.976619
Burgaw Creek,"Burgaw Creek , NC",34.5587086,-77.8938745
Burn Coat Creek-Northeast Cape Fear River,"Burn Coat Creek-Northeast Cape Fear River , NC",35.1763017,-77.7522328
Burningtown Creek,"Burningtown Creek , NC",35.2485696,-83.5123332
Burnt Coat Swamp-Beech Swamp,"Burnt Coat Swamp-Beech Swamp , NC",36.2350455,-77.730885
Burnt Mill Creek,"Burnt Mill Creek , NC",34.2493817,-77.9291538
Bush Creek,"Bush Creek , NC",35.7827523,-79.7119403
Buzzard Bay-Roanoke Sound,"Buzzard Bay-Roanoke Sound , NC",35.9477268,-75.6557206
Bynum Mill Creek,"Bynum Mill Creek , NC",35.7765836,-77.6509171
Cabin Creek,"Cabin Creek , NC",35.7595731,-79.0192997
Caesar Swamp-Little Coharie Creek,"Caesar Swamp-Little Coharie Creek , NC",35.148278,-78.5348497
Calabash Creek,"Calabash Creek , NC",33.8911546,-78.5670571
Camp Branch-Black Creek,"Camp Branch-Black Creek , NC",35.6351589,-77.9330403
Camp Branch-Rocky River,"Camp Branch-Rocky River , NC",35.2501409,-80.3764606
Camp Lejeune-New River,"Camp Lejeune-New River , NC",34.583589,-77.3603934
Campbell Creek-Goose Creek,"Campbell Creek-Goose Creek , NC",36.2282145,-76.0279797
Cane Creek,"Cane Creek , NC",35.7595731,-79.0192997
Cane Creek-Dan River,"Cane Creek-Dan River , NC",36.5049877,-79.5554428
Cane Creek-Hyco Lake,"Cane Creek-Hyco Lake , NC",36.4774842,-79.105455
Caney Fork,"Caney Fork , NC",35.3447021,-83.0576156
Canoe Creek,"Canoe Creek , NC",35.7595731,-79.0192997
Canty Mill Creek-Black River,"Canty Mill Creek-Black River , NC",34.7238244,-78.2440526
Caraway Creek,"Caraway Creek , NC",35.7651427,-79.9192587
Carolina Branch-Little Pee Dee River,"Carolina Branch-Little Pee Dee River , NC",34.1715296,-79.536862
Carrot Island-Beaufort Inlet,"Carrot Island-Beaufort Inlet , NC",34.6937732,-76.6663185
Carson Creek-French Broad River,"Carson Creek-French Broad River , NC",35.5098745,-82.5229613
Carters Creek-Yadkin River,"Carters Creek-Yadkin River , NC",36.060108,-81.5650931
Cartledge Creek,"Cartledge Creek , NC",35.0222132,-79.818457
Carvers Creek,"Carvers Creek , NC",35.7595731,-79.0192997
Cascade Creek,"Cascade Creek , NC",35.7595731,-79.0192997
Cataloochee Creek,"Cataloochee Creek , NC",35.6616837,-83.0791625
Catawba Creek,"Catawba Creek , NC",35.2159722,-81.130611
Catawba River-Lake Norman,"Catawba River-Lake Norman , NC",34.4668123,-80.8889704
Catheys Creek,"Catheys Creek , NC",35.2036559,-82.783247
Cattail Creek-Little River,"Cattail Creek-Little River , NC",35.2387268,-82.6290119
Cattail Swamp,"Cattail Swamp , NC",35.7764046,-77.8311709
Cawcaw Swamp,"Cawcaw Swamp , NC",33.9627472,-78.5660539
Cedar Cliff Lake-Tuckasegee River,"Cedar Cliff Lake-Tuckasegee River , NC",35.2460433,-83.0878071
Cedar Creek,"Cedar Creek , NC",34.9559997,-78.7572427
Cedar Creek-Cape Fear River,"Cedar Creek-Cape Fear River , NC",34.9559997,-78.7572427
Cedar Creek-Thompson Creek,"Cedar Creek-Thompson Creek , NC",35.77941,-78.8049909
Cedar Island-Oyster Creek,"Cedar Island-Oyster Creek , NC",35.0081042,-76.3153827
Cedar Island-West Bay,"Cedar Island-West Bay , NC",35.0081042,-76.3153827
Charles Branch-Beaverdam Creek,"Charles Branch-Beaverdam Creek , NC",35.4119923,-78.0922909
Chatuge Lake,"Chatuge Lake , NC",34.991424,-83.7849672
Cheek Creek,"Cheek Creek , NC",35.2184565,-79.8856824
Cherry Point Marine Corps Air Station-Slocum Creek,"Cherry Point Marine Corps Air Station-Slocum Creek , NC",34.9518267,-76.8946632
Cherry Point-Hancock Creek,"Cherry Point-Hancock Creek , NC",34.895216,-76.8547978
Cherry Point-Neuse River,"Cherry Point-Neuse River , NC",35.1312747,-76.5038153
Cherry Run-Lower Tranters Creek,"Cherry Run-Lower Tranters Creek , NC",35.75858,-77.2290053
Cherryfield Creek-French Broad River,"Cherryfield Creek-French Broad River , NC",35.1803329,-82.8087905
Chestnut Creek,"Chestnut Creek , NC",35.4478026,-82.7367371
Chilhowee Lake-Little Tennessee River,"Chilhowee Lake-Little Tennessee River , NC",35.7595731,-79.0192997
Chinkapin Creek,"Chinkapin Creek , NC",35.0622369,-80.4966058
Chinkapin Swamp,"Chinkapin Swamp , NC",36.2162464,-76.8201911
Chinquapin Branch,"Chinquapin Branch , NC",35.1001826,-77.4590772
Chiska Creek-Cashie River,"Chiska Creek-Cashie River , NC",36.0299558,-76.9839271
Chocowinity Creek,"Chocowinity Creek , NC",35.4507434,-77.0737136
City of Danville-Dan River,"City of Danville-Dan River , NC",36.5049877,-79.5554428
City of Fayetteville-Cape Fear River,"City of Fayetteville-Cape Fear River , NC",35.0523673,-78.8783774
City of Franklin-Blackwater River,"City of Franklin-Blackwater River , NC",36.6776507,-76.9224608
City of Greenville-Tar River,"City of Greenville-Tar River , NC",35.612661,-77.3663538
City of Kinston-Neuse River,"City of Kinston-Neuse River , NC",35.1312747,-76.5038153
City of New Bern-Neuse River,"City of New Bern-Neuse River , NC",35.1312747,-76.5038153
City of New Bern-Trent River,"City of New Bern-Trent River , NC",35.108493,-77.0441143
City of Ossipee-Reedy Fork,"City of Ossipee-Reedy Fork , NC",36.1682873,-79.5137163
City of Roanoke Rapids-Roanoke River,"City of Roanoke Rapids-Roanoke River , NC",36.4615395,-77.6541464
City of Tarboro-Tar River,"City of Tarboro-Tar River , NC",35.8968236,-77.5358049
City of Williamston-Roanoke River,"City of Williamston-Roanoke River , NC",35.8546039,-77.0555114
City of Wilson-Contentnea Creek,"City of Wilson-Contentnea Creek , NC",35.7258286,-77.9111237
Clark Mill Creek-Pungo River,"Clark Mill Creek-Pungo River , NC",35.5881699,-76.471491
Clarke Creek,"Clarke Creek , NC",35.402121,-80.7547149
Clarks Creek,"Clarks Creek , NC",35.2785824,-80.0185572
Clayroot Swamp,"Clayroot Swamp , NC",35.4271442,-77.2448186
Clayroot Swamp-Swift Creek,"Clayroot Swamp-Swift Creek , NC",35.4271442,-77.2448186
Clear Creek,"Clear Creek , NC",35.2020886,-80.6000676
Clear Run-Black River,"Clear Run-Black River , NC",34.331868,-78.0325363
Cleghorn Creek-Broad River,"Cleghorn Creek-Broad River , NC",35.7595731,-79.0192997
Clubfoot Creek,"Clubfoot Creek , NC",34.8837972,-76.7509648
Coinjock Bay-Currituck Sound,"Coinjock Bay-Currituck Sound , NC",36.4035306,-75.9724491
Cold Springs Creek-Pigeon River,"Cold Springs Creek-Pigeon River , NC",35.7646575,-82.9893752
Cold Water Creek,"Cold Water Creek , NC",35.4062286,-80.5549493
Cole Creek-Sarem Creek,"Cole Creek-Sarem Creek , NC",36.3849358,-76.7942376
Coley Creek-South Fork Catawba River,"Coley Creek-South Fork Catawba River , NC",35.1495863,-81.0328533
Collie Swamp,"Collie Swamp , NC",35.7612706,-77.2107948
Collins Creek,"Collins Creek , NC",35.9010178,-79.2169132
Colvins Creek,"Colvins Creek , NC",34.5182704,-78.179241
Community of Ferguson-W Kerr Scott Reservoir,"Community of Ferguson-W Kerr Scott Reservoir , NC",35.7595731,-79.0192997
Community of Francis Mill-Cashie River,"Community of Francis Mill-Cashie River , NC",36.1359903,-77.1080158
Compass Creek,"Compass Creek , NC",36.0018768,-77.8024075
Conaby Creek,"Conaby Creek , NC",35.8538711,-76.7365371
Coniott Creek-Roanoke River,"Coniott Creek-Roanoke River , NC",36.1442401,-77.1588948
Connaritsa Swamp,"Connaritsa Swamp , NC",36.1433957,-77.0737081
Connlley Creek-Tuckasegee River,"Connlley Creek-Tuckasegee River , NC",35.3886304,-83.3548923
Corapeake Swamp,"Corapeake Swamp , NC",36.5137637,-76.5460606
Core Banks-Drum Inlet,"Core Banks-Drum Inlet , NC",34.706389,-76.458889
Core Creek,"Core Creek , NC",34.8284943,-76.6929868
Cove Creek,"Cove Creek , NC",36.3034459,-81.7568253
Cove Creek-Green River,"Cove Creek-Green River , NC",36.3034459,-81.7568253
Cow Haul Swamp-Beech Swamp,"Cow Haul Swamp-Beech Swamp , NC",36.0762665,-77.5255276
Coward Swamp-Ashpole Swamp,"Coward Swamp-Ashpole Swamp , NC",34.3637769,-79.0464217
Cowee Creek,"Cowee Creek , NC",35.2719362,-83.3949587
Coweeta Creek-Little Tennessee River,"Coweeta Creek-Little Tennessee River , NC",35.0709185,-83.4056393
Cowhorn Swamp-New River,"Cowhorn Swamp-New River , NC",34.7540836,-77.4693666
Cowpen Swamp-Bear Swamp,"Cowpen Swamp-Bear Swamp , NC",35.7595731,-79.0192997
Crab Creek-Little River,"Crab Creek-Little River , NC",35.2442534,-82.5612177
Crabtree Creek-Pigeon River,"Crabtree Creek-Pigeon River , NC",35.6009455,-82.9279663
Cranberry Creek,"Cranberry Creek , NC",36.448974,-81.301152
Crane Creek,"Crane Creek , NC",36.0133813,-82.09518
Crane Creek-High Rock Lake,"Crane Creek-High Rock Lake , NC",35.6516286,-80.3018107
Crawley Swamp,"Crawley Swamp , NC",34.6060285,-78.767422
Creeping Swamp,"Creeping Swamp , NC",35.4171358,-77.206019
Cribs Creek,"Cribs Creek , NC",35.095263,-80.2460615
Cricket Swamp,"Cricket Swamp , NC",36.0917981,-76.8003668
Crisp Creek,"Crisp Creek , NC",35.8636746,-77.3667977
Croatan Sound,"Croatan Sound , NC",35.8466239,-75.7022567
Crooked Creek,"Crooked Creek , NC",35.2870616,-82.4734531
Crooked Creek-Eno River,"Crooked Creek-Eno River , NC",36.0876172,-78.996519
Crooked Creek-Lake Wallace,"Crooked Creek-Lake Wallace , NC",35.2833731,-82.4722296
Crooked Run Creek-First Broad River,"Crooked Run Creek-First Broad River , NC",35.470012,-81.6007594
Crooked Swamp-Fishing Creek,"Crooked Swamp-Fishing Creek , NC",36.1326325,-81.0656355
Cross Canal-Dismal Swamp Canal,"Cross Canal-Dismal Swamp Canal , NC",35.7595731,-79.0192997
Cross Creek,"Cross Creek , NC",35.0658439,-78.8948741
Cross Way Creek-Black River,"Cross Way Creek-Black River , NC",34.3754273,-78.0689373
Crow Creek-Uwharrie River,"Crow Creek-Uwharrie River , NC",43.9555496,-99.2231555
Crystal Lake-Mill Creek,"Crystal Lake-Mill Creek , NC",34.0985047,-78.0863819
Cub Creek,"Cub Creek , NC",36.1103682,-81.1499347
Cub Creek-Yadkin River,"Cub Creek-Yadkin River , NC",36.060108,-81.5650931
Cullowhee Creek,"Cullowhee Creek , NC",35.2674834,-83.186335
Culpeper Island-Dismal Swamp,"Culpeper Island-Dismal Swamp , NC",36.5437632,-76.3352188
Currituck Sound-Albemarle Sound,"Currituck Sound-Albemarle Sound , NC",36.0786612,-75.946324
Curtis Creek,"Curtis Creek , NC",35.6889132,-82.193114
Cutawhiskie Creek,"Cutawhiskie Creek , NC",36.3175444,-77.1714671
Cypress Creek,"Cypress Creek , NC",34.7515554,-77.7049757
Cypress Creek-White Marsh,"Cypress Creek-White Marsh , NC",34.7515554,-77.7049757
Cypress Swamp,"Cypress Swamp , NC",35.7595731,-79.0192997
Daniels Creek-Cape Fear River,"Daniels Creek-Cape Fear River , NC",35.7595731,-79.0192997
Dark Branch-Northeast Cape Fear River,"Dark Branch-Northeast Cape Fear River , NC",34.9991661,-77.9009014
Davidson River,"Davidson River , NC",35.2534477,-82.6840127
Dawson Creek,"Dawson Creek , NC",35.0284175,-76.8110047
Deadfall Creek,"Deadfall Creek , NC",34.8246289,-80.208419
Deals Creek-Yadkin River,"Deals Creek-Yadkin River , NC",36.060108,-81.5650931
Deep Cove-Middle Ground,"Deep Cove-Middle Ground , NC",35.7595731,-79.0192997
Deep Creek,"Deep Creek , NC",34.8529329,-80.1586735
Deep Creek-Little River,"Deep Creek-Little River , NC",35.2387268,-82.6290119
Deep Run-Broad Creek,"Deep Run-Broad Creek , NC",34.720556,-76.936667
Dennis Branch-Little River,"Dennis Branch-Little River , NC",35.2387268,-82.6290119
Densons Creek,"Densons Creek , NC",35.4037911,-79.8772781
Devils Cradle Creek,"Devils Cradle Creek , NC",36.2151143,-78.2718039
Devils Gut-Roanoke River,"Devils Gut-Roanoke River , NC",35.8444773,-76.9488472
Dicks Creek-Little River,"Dicks Creek-Little River , NC",35.2387268,-82.6290119
Dillard Millpond-Indian Creek,"Dillard Millpond-Indian Creek , NC",36.2303191,-76.6705084
Dillingham Creek,"Dillingham Creek , NC",35.7776118,-82.4592956
Dooley Creek-Nottely River,"Dooley Creek-Nottely River , NC",35.0898051,-84.0763001
Double Creek,"Double Creek , NC",35.7595731,-79.0192997
Double Creek-Dan River,"Double Creek-Dan River , NC",36.5049877,-79.5554428
Double Creek-Yadkin River,"Double Creek-Yadkin River , NC",36.060108,-81.5650931
Dowdy Bay-Currituck Sound,"Dowdy Bay-Currituck Sound , NC",36.2302517,-75.8563004
Drowning Creek-Catawba River,"Drowning Creek-Catawba River , NC",35.7595731,-79.0192997
Dry Creek-Cape Fear River,"Dry Creek-Cape Fear River , NC",34.7256634,-78.4904278
Dry Creek-Haw River,"Dry Creek-Haw River , NC",36.094939,-79.3569372
Dry Creek-Pee Dee River,"Dry Creek-Pee Dee River , NC",34.1715296,-79.536862
Duck Creek-Pamlico River,"Duck Creek-Pamlico River , NC",34.5957195,-77.2821782
Duff Creek,"Duff Creek , NC",34.7846131,-78.0524873
Duharts Creek-South Fork Catawba River,"Duharts Creek-South Fork Catawba River , NC",35.2526723,-81.1106359
Duke Swamp,"Duke Swamp , NC",36.4395983,-76.6277287
Dunn Swamp,"Dunn Swamp , NC",34.3575355,-78.887087
Dutch Creek-Watauga River,"Dutch Creek-Watauga River , NC",36.1879164,-81.7954438
Dutchman Creek,"Dutchman Creek , NC",35.7414729,-78.5895047
Dykers Creek-Yadkin River,"Dykers Creek-Yadkin River , NC",35.7595731,-79.0192997
Eagle Creek,"Eagle Creek , NC",35.7203926,-78.7291986
Eagle Swamp-Contentnea Creek,"Eagle Swamp-Contentnea Creek , NC",35.37338,-77.4802231
East Fork French Broad River,"East Fork French Broad River , NC",35.1194624,-82.7347004
East Fork Pamlico River-Pamlico River,"East Fork Pamlico River-Pamlico River , NC",35.3182214,-76.4327016
East Fork Pigeon River,"East Fork Pigeon River , NC",35.3578398,-82.8176057
East Fork Twelvemile Creek,"East Fork Twelvemile Creek , NC",34.9964015,-80.6718714
East Prong Little Yadkin River,"East Prong Little Yadkin River , NC",36.349298,-80.3630677
