Site,Name,PFAS,Latutude,Longtitude
Waterways,Mines Creek,1564.86,34.8143,-78.83299
Waterways,ECF3,1518.71,34.851255,-78.812674
Well,Willis Creek,1213.49,34.85856,-78.84861
Waterways,ECF4,1157.33,34.875713,-78.807885
Military Site,Stanly County Airport,985,35.4145,-80.1511
Waterways,ECF4,965.69,34.875708,-78.807792
Waterways,ECF2,895.18,34.832281,-78.811858
Drinking Water,Pittsboro,845,35.7201463,-79.1772371
Drinking Water,TOWN OF PITTSBORO NC,844.8,35.72015,-79.17724
Well,Kirks Mill Creek,823.44,34.85734,-78.85188
Waterways,Willis Creek,759.93,34.855962,-78.834184
Drinking Water,Cape Fear Public Utility Authority - Wilmington,634,34.24151153,-77.94636656
Drinking Water,City of Cherryville,607,35.38102512,-81.38095355
Waterways,ECF2,557.16,34.832272,-78.811773
Drinking Water,Pender County Utilities,426,34.5512534,-77.9186064
Waterways,Willis Creek,425.59,34.858392,-78.848121
Well,PENDER COUNTY UTILITIES: LCFWSA,425.52,34.5567,-77.9041
Drinking Water,PENDER COUNTY UTILITIES NC,425.5,34.55125,-77.91861
Drinking Water,Bladen Bluffs Water System,425,34.5882404,-78.5660852
Drinking Water,BLADEN BLUFFS WATER SYSTEM NC,423.5,34.58824,-78.56609
Drinking Water,BLADEN BLUFFS WATER SYSTEM: CAPE FEAR RIVER,423.4891,34.75672939,-78.79532611
Well,BLADEN BLUFFS WATER SYSTEM: CAPE FEAR RIVER,423.48,34.6236,-78.5482
Well,CFPUA-WILMINGTON: LOWER CAPE FEAR WSA - KINGS BLUFF,406.02,34.4107,-78.316
Drinking Water,CFPUA-WILMINGTON NC,406,34.24043,-77.86741
Well,Kirks Mill Creek,395.82,34.85734,-78.85188
Drinking Water,BRUNSWICK COUNTY WATER SYSTEM NC,395.4,33.95928,-78.08303
Drinking Water,ÿBrunswick County Water System,395,33.99806451,-78.00899844
Well,TOWN OF MAYSVILLE  : Well,334.4,34.9029,-77.23
Drinking Water,Corning Inc,315,34.30057893,-77.8766128
Well,INTERNATIONAL PAPER COMPANY: CAPE FEAR RIVER,299,34.6131,-78.6079
Well,CFPUA-WILMINGTON: CAPE FEAR RIVER KINGS BLUFF,281.42,34.3926,-78.2882
Drinking Water,CFPUA-WILMINGTON,279.1,34.24043,-77.86741
Drinking Water,Harnett County,218,35.3578648,-78.8835548
Drinking Water,HARNETT REGIONAL WATER NC,217.5,35.41462,-78.81106
Drinking Water,CFPUA/NHC NC,207.8,34.24043,-77.86741
Well,CFPUA/NHC: WELL B - CASTLE HAYNE,207.8,34.2955,-77.8089
Drinking Water,FAYETTEVILLE PUBLIC WORKS COMM,191.9,35.03362,-78.87073
Drinking Water,Bradley Creek Boataminium,188,34.21419482,-77.83399695
Drinking Water,HARRIS NUCLEAR PLANT WATER SYSTEM,172.5,35.63287,-78.95422
Waterways,NH-558 NR WILMINGTON  NC CASTLE HAYNE,158.1,34.29945,-77.80233
Well,BLADEN CO WTR DIST-WEST BLADEN: WELL #8,154.168,34.6347,-78.7982
Drinking Water,College View Mobile Home Park,152,35.73288671,-79.093812
Drinking Water,ÿCollege View Mobile Home Park,152,35.99306377,-77.93688996
Military Site,Cherry Point Marine Corps Air Station,151,34.8859,-76.9051
Military Site,Military Ocean Terminal Sunny Point,150,33.9913,-78.0667
Drinking Water,Robeson County,150,34.62618241,-79.22126924
Drinking Water,BLADEN CO WTR DIST-WEST BLADEN NC,144.5,34.53779,-78.7958
Well,JOHNSTON CO-WEST: NEUSE RIVER,134.1,35.6156,-78.3471
Drinking Water,Willow Woods Arbor,132,34.20409131,-77.85812168
Drinking Water,ÿCity of Greensboro,124,36.0726354,-79.7919754
Well,ORANGE WATER & SEWER AUTHORITY: CANE CREEK RESERVOIR,119.02,35.9635,-79.2203
Drinking Water,"Graham, NC",118,36.0679144,-79.4003887
Drinking Water,Moore County Public Util. - Pinehurst,118,35.30748329,-79.41511793
Well,FAYETTEVILLE PUBLIC WORKS COMM: CAPE FEAR RIVER,112,34.6239,-78.5491
Well,CHATHAM COUNTY : JORDAN LAKE,111.9,35.7421,-79.0253
Drinking Water,TOWN OF CARY NC,110.6,35.79154,-78.78112
Drinking Water,BLADEN CO WTR DIST-EAST BLADEN NC,107.4,34.53411,-78.78699
Well,BLADEN CO WTR DIST-EAST BLADEN,107.342,34.7787,-78.7124
Drinking Water,Harris Nuclear Plant Water System,106,35.6328719,-78.9542169
Drinking Water,AURORA WATER SYSTEM NC,104.3,35.75957,-79.0193
Drinking Water,ÿAurora Water System,104,34.99572961,-78.10220393
Waterways,CLEAR CREEK AT SR3181 NR MINT HILL  NC,103,35.20833,-80.58
Well,HARRIS NUCLEAR PLANT WATER SYSTEM: HARRIS LAKE,101,35.6341,-78.9416
Drinking Water,CITY OF GREENSBORO  NC,100.8,36.07264,-79.79198
Waterways,Yadkin River,98.1,36.21492,-80.96029
Well,"CARY, TOWN OF : JORDAN LAKE",95.62,35.8223,-78.982
Drinking Water,ORANGE WATER & SEWER AUTHORITY NC,91.4,35.90846,-79.08059
Drinking Water,LINCOLN COUNTY WTP: LAKE NORMAN,90.2,35.53161403,-80.9897951
Waterways,BOLIN CREEK AT VILLAGE DRIVE AT CHAPEL HILL  NC,90,35.92231,-79.066
Waterways,BRIAR CREEK NEAR CHARLOTTE  NC,90,35.23611,-80.77111
Waterways,CAMPBELL CREEK NR CHARLOTTE  NC,90,35.18667,-80.73667
Waterways,ELLERBE CREEK NEAR GORMAN  NC,90,36.05931,-78.83251
Waterways,ENO RIVER AT HILLSBOROUGH  NC,90,36.07111,-79.09556
Waterways,FLAT RIVER AT BAHAMA  NC,90,36.18278,-78.87889
Waterways,GOOSE CREEK AT SR1525 NR INDIAN TRAIL  NC,90,35.125,-80.60278
Waterways,IRVINS CREEK AT SR3168 NR CHARLOTTE  NC,90,35.15861,-80.71333
Waterways,LITTLE HOPE CR AT SENECA PLACE AT CHARLOTTE  NC,90,35.16444,-80.85306
Waterways,LTL SUGAR CR AT MEDICAL CENTER DR AT CHARLOTTE  NC,90,35.20361,-80.83694
Waterways,MARSH CREEK NEAR NEW HOPE  NC,90,35.81694,-78.59306
Waterways,MCALPINE CREEK AT SR3150 NR IDLEWILD  NC,90,35.17583,-80.71917
Waterways,MCKEE CREEK AT SR2804 NR WILGROVE  NC,90,35.25389,-80.64806
Waterways,MCMULLEN CR AT SHARON VIEW RD NEAR CHARLOTTE  NC,90,35.14083,-80.82
Waterways,MIDDLE CREEK NEAR CLAYTON  NC,90,35.57083,-78.59056
Waterways,MORGAN CREEK NEAR CHAPEL HILL  NC,90,35.89333,-79.01972
Waterways,MOUNTAIN CREEK AT SR1617 NR BAHAMA  NC,90,36.14972,-78.89667
Waterways,N BUFFALO CR AT WESTOVER TERRACE AT GREENSBORO  NC,90,36.07917,-79.81278
Waterways,REEDY FORK NEAR OAK RIDGE  NC,90,36.1725,-79.95278
Waterways,SANDY CREEK AT CORNWALLIS RD NEAR DURHAM  NC,90,35.98322,-78.95681
Waterways,SOUTH BUFFALO CREEK NR POMONA  NC,90,36.04944,-79.85528
Waterways,STEWART CREEK AT STATE ST AT CHARLOTTE  NC,90,35.24028,-80.86833
Waterways,SWIFT CREEK NEAR APEX  NC,90,35.71889,-78.75222
Waterways,THIRD FORK CR AT WOODCROFT PARKWAY NR BLANDS  NC,90,35.92264,-78.95242
Waterways,TORRENCE CR AT BRADFORD HILL LN NR HUNTERSVLLE  NC,90,35.40361,-80.88278
Waterways,W. BR ROCKY R B MTH OF S PRONG R NR CORNELIUS  NC,90,35.46778,-80.79028
Drinking Water,City of Dunn,90,35.3062743,-78.6089028
Drinking Water,CITY OF WINSTON-SALEM  NC,85.2,36.09986,-80.24422
Drinking Water,Town of Smithfield,85,35.5084935,-78.3394455
Drinking Water,TOWN OF SMITHFIELD NC,84.9,35.50849,-78.33945
Military Site,Fort Bragg,84.1,35.1487,-79.0027
Drinking Water,CITY OF HIGH POINT  NC,83.7,35.95569,-80.00532
Well,"SMITHFIELD, TOWN OF: NEUSE RIVER",83.22,35.5201,-78.3499
Well,COUNTY OFÿANSON,80,35.0026,-79.9103
Drinking Water,Town of Fuquay-Varina,80,35.5843235,-78.8000128
Drinking Water,INTERNATIONAL PAPER COMPANY NC,72,35.75957,-79.0193
Military Site,MCOLF Atlantic,70,34.893,-76.3492
Well,FAYETTEVILLE PUBLIC WORKS COMM: GLENVILLE LAKE,70,35.1736,-83.1518
Well,CITY OF ROCKY MOUNTÿ : TAR R @ RESERVR,68,35.9556,-78.1977
Drinking Water,CITY OF BURLINGTON  NC,67.6,36.09596,-79.43725
Well,HARRIS NUCLEAR PLANT WATER SYSTEM: HARRIS LAKE AUX RESERV,67,35.6341,-78.9165
Drinking Water,Johnston County - West,67,35.4403514,-78.3842227
Drinking Water,JOHNSTON CO-WEST NC,66.6,35.44035,-78.38422
Drinking Water,City of High Point,66,35.9551294,-80.0020672
Drinking Water,CHATHAM CO-NORTH NC,65.4,35.69784,-79.29021
Well,CITY OF GREENSBORO  : LAKE BRANDT,65,36.1759,-79.8641
Drinking Water,Siler City,63,35.7234734,-79.4622431
Well,CITY OF SILER CITY : ROCKY RIVER (LOWER),62.82,35.7174,-79.4584
Drinking Water,TOWN OF SILER CITY NC,62.8,35.72347,-79.46224
Waterways,BE-116 NR WINDSOR  NC UPPER CAPE FEAR,60,35.9779,-76.95266
Waterways,BE-117 NR AULANDER  NC UPPER CAPE FEAR,60,36.21441,-77.12928
Waterways,BO-464 CITY OF WASHINGTON-6,60,35.52494,-76.96111
Waterways,PA-184 PAMLICO COUNTY VANDEMERE 1,60,35.18861,-76.68
Waterways,PE-125 NR SURF CITY  NC CASTLE HAYNE,60,34.45775,-77.56584
Well,CITY OF GREENSBORO : LAKE BRANDT,60,36.1646,-79.8474
Drinking Water,TOWN OF SELMA NC,59.4,35.53655,-78.28444
Well,TOWN OF SELMA,59.4,35.5391,-78.2825
Drinking Water,NEUSE REGIONAL WTR & SWR AUTH NC,58.2,35.89737,-78.56917
Drinking Water,Neuse Regional Water and Sewer Authority,58,35.5546941,-77.2999073
Drinking Water,PIEDMONT TRIAD REGIONAL NC,57.7,35.75957,-79.0193
Well,PIEDMONT TRIAD REGIONAL: RANDLEMAN LAKE,57.6,35.8657,-79.8246
Well,NEUSE REGIONAL WTR & SWR AUTH: NEUSE RIVER,57,35.215,-76.6027
Drinking Water,City of Lumberton,57,34.6182199,-79.0086424
Waterways,SA-134 NR CLINTON  NC,56.7,34.99083,-78.28417
Waterways,YD-203 NR BOONVILLE  NC MAFIC GNEISS,56.7,36.23023,-80.69953
Drinking Water,CITY OF LUMBERTON  NC,56.6,34.61822,-79.00864
Drinking Water,"LUMBERTON, CITY OF : LUMBER RIVER",56.52,34.6000138,-79.1205403
Well,CITY OF LUMBERTON : LUMBER RIVER,56.5,34.6057,-79.1533
Well,TOWN OF PITTSBORO :  HAW RIVER,54.32,36.0937,-79.3695
Drinking Water,CITY OF ASHEBORO  NC,53.4,35.70791,-79.81364
Drinking Water,City of Burlington,51,43.326012,-79.7982923
Waterways,Oconaluftee Overlook M97S1,50,35.60802,-83.43569
Drinking Water,Bell Arthur Water Corporation,50,35.5880165,-77.5116806
Drinking Water,SOUTH GRANVILLE WTR&SEWER AUTHORITY NC,49.4,35.75957,-79.0193
Drinking Water,South Granville Water and Sewer Authority,49,36.13995065,-78.7632476
Drinking Water,CITY OF GOLDSBORO NC,48.2,35.38488,-77.99277
Drinking Water,City of Goldsboro,48,35.38487482,-77.99317019
Drinking Water,CITY OF WILSON  NC,47.8,35.72583,-77.91112
Well,"CARTHAGE, TOWN OF: NICKS CREEK",45.452,35.2514,-79.413
Well,SOUTH GRANVILLE WTR&SEWER AUTHORITY,45.02,36.1377,-78.7978
Well,CITY OF   ASHEBORO : LAKE LUCAS,44.808,35.7222,-79.862
Drinking Water,CITY OF SANFORD NC,44.6,35.47988,-79.1803
Waterways,CB-156 NR HARRISBURG  NC FELSIC INTRUSIVE IGNEOUS,43.7,35.31778,-80.60194
Waterways,CR-543 COVE CITY RS R23x2 CASTLE HAYNE,43,35.17211,-77.31107
Well,"PILGRIM""S PRIDE WATER SYSTEM: DEEP RIVER",42.22,35.4963,-79.2047
Drinking Water,PILGRIM`S PRIDE WATER SYSTEM NC,42.2,35.75957,-79.0193
Drinking Water,"Sanford, NC 27330",42,35.4798757,-79.1802994
Drinking Water,Brookwood Community NC,42,35.7595731,-79.0192997
Drinking Water,Cliffdale West,41,35.0628314,-79.0712581
Drinking Water,Bessemer City,41,35.284782,-81.2839183
Drinking Water,City of Asheboro,41,35.7079146,-79.8136446
Well,CITY OF GREENSBORO : LAKE TOWNSEND,40,36.1806,-79.7591
Drinking Water,Grand Strand Water and Sewer Authority,40,33.7827418,-79.0245755
Drinking Water,City of Conway,37,33.8360034,-79.0478143
Drinking Water,Jamestown,37,37.2116383,-76.7752102
Drinking Water,City of Conway,37,33.8352132,-79.0460752
Drinking Water,Selma,36,35.55120996,-78.31027545
Drinking Water,TOWN OF WADE NC,34,35.16298,-78.73593
Drinking Water,City of Wilson,33,35.7258286,-77.9111237
Drinking Water,TOWN OF PINE LEVEL NC,32.3,35.51322,-78.24444
Military Site,Fort Bragg - Camp Mackall,32,35.0329,-79.4889
Drinking Water,CITY OF BESSEMER CITY  NC,31.5,35.28478,-81.28392
Drinking Water,CITY OF CONCORD  NC,30.2,35.40875,-80.57951
Waterways,AM-222 NR OSSIPEE  NC FELSIC METAIGNEOUS,30,36.16725,-79.51095
Waterways,BE-115 NR WINDSOR  NC UPPER CAPE FEAR,30,36.20658,-76.86251
Waterways,BK-128 NR NEBO  NC MAFIC GNEISS,30,35.76038,-81.90683
Waterways,BL-072,30,34.83489,-78.82558
Waterways,BL-094,30,34.65156,-78.72418
Waterways,BL-121 IN ELIZABETHTOWN  NC,30,34.62406,-78.60029
Waterways,BL-227 NR WHITE LAKE,30,34.64864,-78.53253
Waterways,BL-263 NR TARHEEL  NC,30,34.8348,-78.82567
Waterways,BO-384 BATH RS O17I2 NEAR BATH  NC,30,35.47572,-76.78327
Waterways,BO-418 LU-10A NEAR PANTEGO  NC,30,35.59628,-76.79247
Waterways,BO-438 LU-14A NR CHOCOWINITY  NC SURFICIAL,30,35.42917,-77.02389
Waterways,BO-443 BEAUFORT CO. DISTRICTS VI AND VII-1,30,35.29194,-76.86139
Waterways,BO-446 BEAUFORT CO. DISTRICTS VI AND VII-62,30,35.44889,-77.05528
Waterways,BO-448 BEAUFORT CO. DISTRICTS VI AND VII-64,30,35.4775,-77.06861
Waterways,BR-279 SPMT 44-A SOUTHPORT  NC CASTLE HAYNE,30,34.00624,-77.98581
Waterways,BU-112 NR BLACK MOUNTAIN  NC QUARTZITE,30,35.61487,-82.28919
Waterways,CA-087A LU-03A NR SOUTH MILLS  NC SURFICIAL,30,36.42417,-76.27556
Waterways,CH-251 NR PITTSBORO  NC FELSIC METAVOLCANIC,30,35.68537,-79.15526
Waterways,CR-685 CITY OF HAVELOCK-5,30,34.85694,-76.89083
Waterways,CR-708 FIRST CRAVEN SANITARY DISTRICT-1,30,35.12139,-77.00556
Waterways,CR-715 TOWN OF RIVER BEND-1,30,35.07222,-77.14694
Waterways,CS-148 NR YANCEYVILLE  NC MAFIC GNEISS,30,36.39329,-79.44998
Waterways,CT-153 NC-139 CAMP GLENN RS X17j5 CASTLE HAYNE,30,34.72333,-76.75333
Waterways,CT-203 BOGUE BANKS 2,30,34.66722,-77.02556
Waterways,CT-206 NR MERRIMON  NC CASTLE HAYNE,30,34.94364,-76.64301
Waterways,DU-134 NC-224 ROSE HILL RS V32v3 CASTLE HAYNE,30,34.84767,-78.02221
Waterways,ED-125 CITY OF PINETOPS NEW WELL 4,30,35.7646,-77.63942
Waterways,ED-193 NEAR PINETOPS  NC,30,35.76475,-77.63897
Waterways,GA-067 SUNBURY RS  C15S7  AT PLYMOUTH  NC,30,36.44626,-76.60412
Waterways,GM-023 NR SANTEETLAH  NC QUARTZITE,30,35.36765,-83.85392
Waterways,GR-165 LU-S15A NEAR HOOKERTON  NC,30,35.45067,-77.50681
Waterways,GV-155 NR STEM  NC FELSIC METAIGNEOUS,30,36.17841,-78.79728
Waterways,HF-101 NR WINTON  NC UPPER CAPE FEAR,30,36.37883,-77.03187
Waterways,HY-173 LU-S9C NEAR FAIRFIELD  NC,30,35.53928,-76.18192
Waterways,HY-192 NR SWANQUARTER  NC CASTLE HAYNE,30,35.63018,-76.55974
Waterways,IR-190 NR STATESVILLE  NC MAFIC GNEISS,30,35.87382,-80.92498
Waterways,JO-075 LU-S20B NEAR MAYSVILLE  NC SURFICIAL,30,34.94178,-77.27625
Waterways,JO-076 MAS 21 AT POLLOCKSVILLE  NC,30,35.00333,-77.21972
Waterways,LN-216 NORTH LENOIR 11,30,35.30167,-77.72917
Waterways,LN-222 NORTH LENOIR 17,30,35.38361,-77.50194
Waterways,MD-062 NR MARSHALL  NC FELSIC GNEISS,30,35.85599,-82.67018
Waterways,MR-462 NR JAMESVILLE  NC CASTLE HAYNE,30,35.81062,-76.90336
Waterways,MR-463 NR JAMESVILLE  NC CASTLE HAYNE,30,35.83135,-76.81137
Waterways,NA-218 NR SPRING HOPE  NC FELSIC METAVOLCANIC,30,35.95228,-78.10958
Waterways,ON-308 MAS 14 NR DIXON  NC,30,34.56667,-77.48944
Waterways,ON-309 MAS-25 AT HUBERT  NC,30,34.71222,-77.23278
Waterways,ON-418 CITY OF JACKSONVILLE BP2,30,34.79269,-77.42933
Waterways,PA-176 PAMLICO COUNTY GRANTSBORO 1,30,35.08694,-76.8375
Waterways,PE-097 MAS 10 NR HOLLY SHELTER NR WALKERS  NC,30,34.55222,-77.8125
Waterways,PE-123 NR TOPSAIL  NC CASTLE HAYNE,30,34.38327,-77.71513
Waterways,PI-652 BELL ARTHUR CORPORATION 5,30,35.54917,-77.48139
Waterways,PI-653 BELL ARTHUR 6,30,35.7125,-77.52139
Waterways,PI-705 NR GRIFTON  NC CASTLE HAYNE,30,35.36779,-77.38512
Waterways,PO-025 NR COLUMBUS  NC FELSIC GNEISS,30,35.26191,-82.21392
Waterways,RA-175 NR SOPHIA  NC ARGILLITE,30,35.76972,-79.89139
Waterways,SA-142 IN TURKEY  NC,30,34.99469,-78.18056
Waterways,SA-144 IN ROSEBORO  NC,30,34.95861,-78.50472
Waterways,ST-252 NR ALBEMARLE  NC METAVOLCANIC,30,35.37659,-80.07382
Waterways,ST-253 NR OAKBORO  NC ARGILLITE,30,35.23526,-80.32778
Waterways,SW-048 NR CHEROKEE  NC QUARTZITE,30,35.56801,-83.33915
Waterways,TR-067 NR ROSMAN  NC FELSIC GNEISS,30,35.14545,-82.8253
Waterways,UN-149 NR WAXHAW  NC FELSIC METAVOLCANIC,30,34.86933,-80.74819
Waterways,WA-167 WALNUT CREEK 3,30,35.30127,-77.86665
Waterways,WA-320 LU-13A NEAR PIKEVILLE,30,35.48472,-77.99583
Waterways,WL-419 TOWN OF STANTONSBURG 2,30,35.60139,-77.81083
Waterways,WR-155 NR LITTLETON  NC SCHIST,30,36.4886,-77.94212
Waterways,WS-140 WASHINGTON COUNTY 1,30,35.87222,-76.62083
Waterways,WS-143 NR PLYMOUTH  NC CASTLE HAYNE,30,35.84968,-76.74173
Waterways,WT-127 NR SEVEN DEVILS  NC PHYLLITE,30,36.15383,-81.80276
Drinking Water,orange water and sewer authority,30,35.90362439,-79.09757402
Drinking Water,CITY OF STATESVILLE  NC,29.5,35.7846,-80.88833
Well,THE VILLAGE OF BALD HEAD ISLAND: ROYAL JAMES WELLÿ,28.81,33.8645,-77.9937
Drinking Water,Treasure Cove S/d,28,34.27134066,-77.7928452
Well,LAKE CONCORD/COLDWATER CR,27.01,35.4794,-80.5861
Drinking Water,The Village of Bald Head Island,27,33.8737069,-78.0015309
Drinking Water,The Village of Bald Head Island,27,33.86387755,-77.98634094
Drinking Water,THE VILLAGE OF BALD HEAD ISLAND NC,26.8,33.87371,-78.00153
Well,ANSON COUNTY WATER SYSTEM: PEE DEE RIVER,26.15,35.2177,-80.0364
Well,"WILSON, CITY OF: LAWNDALE DR @TOISNOT RESEVOIR",26,35.7044,-77.951
Drinking Water,Liberty,26,37.3492244,-79.1784123
Drinking Water,"liberty, NC : Well",25.6201,35.85514777,-79.57594481
Drinking Water,TOWN OF LIBERTY NC,25.6,35.85347,-79.57169
Well,TOWN OF LIBERTY,25,35.9397,-79.4756
Drinking Water,ROANOKE RAPIDS SANITARY DIST,24.6,36.46154,-77.65415
Drinking Water,CITY OF RALEIGH NC,24.1,35.77959,-78.63818
Drinking Water,TOWN OF NEWTON GROVE NC,24,35.24516,-78.35417
Drinking Water,CITY OF MONROE NC,23.8,34.98543,-80.54951
Drinking Water,GREENVILLE UTILITIES COMM,23.2,35.61268,-77.43227
Drinking Water,Greenvilleÿ,23,34.8526176,-82.3940104
Drinking Water,Town of Tarboro,23,35.8968236,-77.5358049
Drinking Water,TOWN OF TARBORO NC,22.5,35.89682,-77.5358
Well,"WILSON, CITY OF: WIGGINS MILL POND",21.81,35.6987,-77.9599
Drinking Water,TOWN OF SIMS NC,21.4,35.76099,-78.05888
Drinking Water,CITY OF LINCOLNTON NC,21.3,35.47375,-81.25453
Well,CITY OFÿÿLINCOLNTON : S FORK CATAWBA RIVER,21.3,35.1516,-81.0376
Drinking Water,Brookwoodÿwater ,21,33.8836398,-84.0400713
Drinking Water,City of Lincolnton,21,35.473745,-81.2545251
Drinking Water,"Denton, NC",21,35.6334712,-80.1158813
Drinking Water,"Sims, NC",21,35.7609903,-78.0588786
Drinking Water,TOWN OF CARTHAGE NC,20.6,35.34599,-79.41697
Well,"CARTHAGE, TOWN OF: TOWN POND",20.6,35.3314,-79.4095
Drinking Water,TOWN OF DENTON NC,19.1,35.63347,-80.11588
Well,WELDON WATER SYSTEM: ROANOKE RIVER,19.07,36.498,-77.7376
Drinking Water,ANSON COUNTY WATER SYSTEM NC,18.8,34.90547,-80.18751
Drinking Water,CITY OF GRAHAM NC,18.5,36.06791,-79.40039
Drinking Water,DAVIDSON WATER INC NC,18,35.92028,-80.24732
Drinking Water,ROXBORO STEAM PLANT NC,17.8,36.48411,-79.07405
Drinking Water,RICHMOND COUNTY WATER SYSTEM NC,17.4,35.00305,-79.78484
Drinking Water,CITY OF THOMASVILLE NC,17,35.88264,-80.08199
Drinking Water,WELDON WATER SYSTEM NC,17,36.4271,-77.59553
Drinking Water,Weldon,17,36.4279282,-77.60956904
Drinking Water,TOWN OF MICRO NC,16.9,35.56377,-78.20444
Drinking Water,CITY OF NEWTON  NC ,16.8,35.66986,-81.22147
Drinking Water,CITY OF DURHAM  NC,16.8,35.99403,-78.89862
Well,"WINSTON-SALEM, CITY OF SALEM LAKE",16.21,36.0987,-80.182
Drinking Water,DAVIE COUNTY WATER SYSTEM,15.7,35.9367,-80.58828
Drinking Water,ROBESON COUNTY WATER SYSTEM NC,15.5,34.63839,-79.10969
Well,CITY OF   ASHEBORO : LAKE BUNCH,15.206,35.7387,-79.8713
Drinking Water,City of Durham,15,36.00846439,-78.87804733
Well,MARTIN COUNTY REGIONAL WASA : ROANOKE RIVER,14.92,36.0964,-77.2493
Drinking Water,MARTIN CO REGIONAL WASA NC,14.9,35.75957,-79.0193
Well,TOWN OF WAGRAM,14.65,34.8841,-79.3726
Well,MONTGOMERY COUNTY : LAKE TILLERY,14.41,35.2779,-80.1011
Drinking Water,MONTGOMERY COUNTY WATER SYSTEM NC,14.4,35.75957,-79.0193
Drinking Water,CITY OF REIDSVILLE NC,14.3,36.35486,-79.66447
Drinking Water,ÿCity of Rocky Mount,14,35.9382103,-77.7905339
Drinking Water,Montgomery County,14,39.1547426,-77.2405153
Drinking Water,CITY OF ROCKY MOUNT NC,13.9,35.93821,-77.79053
Waterways,Cape Fear River,13.7,34.92337,-78.7982
Waterways,Catawba River,13.7,35.82241,-81.18403
Drinking Water,TOWN OF DALLAS NC,13.5,35.31654,-81.17581
Drinking Water,CITY OF ALBEMARLE  NC,13.1,35.35014,-80.20006
Waterways,Cape Fear River,13,35.17608,-78.80974
Waterways,Cape Fear River,13,35.50852,-78.96071
Waterways,Catawba River,13,35.85241,-81.18404
Waterways,Chowan River,13,36.4717,-76.94345
Drinking Water,MORGANTON CITY OF NC,13,35.74541,-81.68482
Drinking Water,"Norwood, NC",13,35.2195898,-80.1189477
Well,TOWN OF NORWOOD : LAKE TILLERY,12.91,35.2309,-80.0988
Drinking Water,TOWN OF NORWOOD NC,12.9,35.21959,-80.11895
Drinking Water,PERQUIMANS COUNTY WATER SYSTEM NC,12.8,36.18917,-76.46528
