Name,Type,Latitude,Logitude
New River,Stream,34.5299,-77.3372
Newport River,Stream,34.6924,-76.6722
North Flat River,Stream,36.251,-78.93
North Fork Catawba River,Stream,35.729,-81.984
North Fork French Broad River,Stream,35.1429,-82.839
North Fork Little River,Stream,36.151,-78.9417
North Fork Mills River,Stream,35.3926,-82.6104
North Fork New River,Stream,36.546,-81.3532
North Fork Reddies River,Stream,36.2435,-81.2684
North Fork Swannanoa River,Stream,35.6046,-82.3687
North Fork Tar River,Stream,36.2896,-78.7014
North Landing River,Stream,36.4599,-75.9524
North Mayo River,Stream,36.5407,-79.9889
North Prong Bay River,Stream,35.1435,-76.7627
North Prong South Fork Mitchell River,Stream,36.3737,-80.9006
North Prong White Oak River,Stream,34.9238,-77.3644
North River,Stream,34.6993,-76.5908
North River,Stream,36.151,-75.8871
North Rocky River Prong,Stream,35.8032,-79.485
North Toe River,Stream,36.029,-82.3271
Northeast Cape Fear River,Stream,34.241,-77.9539
Northwest Fork Alligator River,Stream,35.6988,-76.1688
Northwest Prong Newport River,Stream,34.7929,-76.9105
Northwest River,Stream,36.5121,-76.0747
Nottely River,Stream,35.0898,-84.0763
Oconaluftee River,Stream,35.4462,-83.3838
Old Catawba River,Stream,35.7285,-81.8257
Pamlico River,Stream,35.3182,-76.4327
Pasquotank River,Stream,36.1571,-76.0308
Perquimans River,Stream,36.0968,-76.2847
Pungo River,Stream,35.3866,-76.5427
Red River Branch,Stream,34.9152,-80.0281
Reddies River,Stream,36.1524,-81.147
Right Fork Davidson River,Stream,35.2923,-82.8454
Right Fork Swannanoa River,Stream,35.6921,-82.3279
Right Hand Prong West Fork Pigeon River,Stream,35.3704,-82.9385
Right Prong South Toe River,Stream,35.7221,-82.2468
River Prong,Stream,35.8721,-76.8005
River Swamp,Stream,34.0324,-78.1822
Roanoke River,Stream,35.9424,-76.6949
Roaring River,Stream,36.2018,-81.0087
Rocky River,Stream,35.6171,-79.1503
Rocky River,Stream,35.1432,-80.0764
Scuppernong River,Stream,35.9438,-76.3235
Second Broad River,Stream,35.2221,-81.759
Shallotte River,Stream,33.9088,-78.3826
Smith River,Stream,36.4807,-79.7511
South Branch North Fork New River,Stream,36.3529,-81.6807
South Flat River,Stream,36.251,-78.93
South Fork Catawba River,Stream,35.1496,-81.0329
South Fork Little River,Stream,36.151,-78.9417
South Fork Mills River,Stream,35.3926,-82.6104
South Fork Mitchell River,Stream,36.3376,-80.8195
South Fork New River,Stream,36.5462,-81.3532
South Fork Reddies River,Stream,36.2407,-81.2881
South Mayo River,Stream,36.5407,-79.9892
South Prong Bay River,Stream,35.1435,-76.7627
South Prong Green River,Stream,35.1654,-82.5643
South Prong Little River,Stream,35.1493,-82.6996
South Prong Little River,Stream,35.6107,-79.8592
South Prong West Branch Rocky River,Stream,35.4679,-80.7903
South Prong White Oak River,Stream,34.9238,-77.3644
South River,Stream,34.9877,-76.5908
South River,Stream,34.5832,-78.2694
South Toe River,Stream,35.9435,-82.1862
South Yadkin River,Stream,35.7457,-80.4609
Southwest Fork Alligator River,Stream,35.7279,-76.1996
Southwest Prong Newport River,Stream,34.7929,-76.9099
Swannanoa River,Stream,35.5682,-82.5637
Tar River,Stream,35.1888,-77.7803
Tar River,Stream,35.5524,-77.0847
Trent River,Stream,35.101,-77.0366
Tuckasegee River,Stream,35.4348,-83.5846
Upper Little River,Stream,35.799,-81.3331
Upper Little River,Stream,35.3327,-78.707
Uwharrie River,Stream,35.3807,-80.0581
Valley River,Stream,35.0926,-84.0394
West Branch Rocky River,Stream,35.4574,-80.7726
West Fork Deep River,Stream,35.9976,-79.96
West Fork Eno River,Stream,36.1282,-79.1578
West Fork French Broad River,Stream,35.1429,-82.839
West Fork Linville River,Stream,36.0718,-81.8732
West Fork Little River,Stream,35.3901,-79.8281
West Fork Pigeon River,Stream,35.479,-82.8821
West Fork South River,Stream,34.891,-76.5208
West Fork Tuckasegee River,Stream,35.2682,-83.1229
West Prong Little Yadkin River,Stream,36.3235,-80.402
West Prong Roaring River,Stream,36.2946,-81.0962
White Oak River,Stream,34.6382,-77.113
Wiccacon River,Stream,36.341,-76.7558
Yadkin River,Stream,35.3807,-80.0598
Yeopim River,Stream,36.0743,-76.4066
Acre Swamp,Stream,35.5713,-76.8355
Adams Swamp,Stream,36.5488,-76.6094
Alexander Swamp,Stream,35.0899,-76.9036
Alligator Swamp,Stream,34.1585,-78.4858
Alligator Swamp,Stream,34.3454,-79.1289
Appletree Swamp,Stream,35.5032,-77.7722
Aycock Swamp,Stream,35.6015,-77.8855
Bachelors Delight Swamp,Stream,34.8143,-77.4739
Back Swamp,Stream,34.6096,-79.1011
Back Swamp,Stream,35.824,-77.0719
Back Swamp,Stream,36.0177,-78.0644
Back Swamp,Stream,34.7524,-77.7205
Bagley Swamp,Stream,36.2388,-76.5088
Bakers Swamp,Stream,35.0891,-78.7772
Bakers Swamp,Stream,35.9218,-76.6144
Barbeque Swamp,Stream,36.1524,-76.863
Bear Ford Swamp,Stream,34.6191,-78.8056
Bear Grass Swamp,Stream,35.739,-77.165
Bear Swamp,Stream,36.3196,-77.2761
Bear Swamp,Stream,34.6166,-79.0842
Bear Swamp,Stream,35.0999,-78.0522
Bear Swamp,Stream,36.2577,-77.883
Bear Swamp,Stream,36.3029,-76.9088
Bear Swamp Creek,Stream,36.1232,-78.3175
Bearskin Swamp,Stream,34.9399,-78.4708
Beaver Dam Swamp,Stream,34.1791,-78.7067
Beaverdam Swamp,Stream,33.9393,-78.0919
Beaverdam Swamp,Stream,35.0704,-78.3686
Beaverdam Swamp,Stream,35.5371,-76.9583
Beaverdam Swamp,Stream,34.0321,-78.2678
Beaverdam Swamp,Stream,34.1674,-78.1308
Beaverdam Swamp,Stream,35.2135,-78.3653
Beaverdam Swamp,Stream,35.2285,-78.5972
Beaverdam Swamp,Stream,36.1477,-77.7636
Beaverdam Swamp,Stream,36.2074,-77.6544
Beaverdam Swamp,Stream,36.2288,-76.0499
Beaverdam Swamp,Stream,35.0821,-77.6208
Beaverdam Swamp,Stream,35.2441,-77.0655
Beaverdam Swamp,Stream,35.4027,-78.4614
Beaverdam Swamp,Stream,35.0099,-78.2311
Beaverdam Swamp,Stream,36.1935,-76.9894
Bell Swamp,Stream,34.1535,-78.4803
Bell Swamp,Stream,34.1193,-78.0783
Bell Swamp,Stream,34.7096,-77.2497
Big Cowpen Swamp,Stream,34.3727,-79.1628
Big Cypress Swamp,Stream,34.0585,-78.6664
Big Indian Swamp,Stream,34.4604,-79.0453
Big Marsh Swamp,Stream,34.776,-78.872
Big Middle Swamp,Stream,34.9091,-79.2284
Big Shakey Swamp,Stream,34.5474,-77.5586
Big Swamp,Stream,35.3307,-78.7959
Big Swamp,Stream,35.6307,-77.0563
Big Swamp,Stream,34.456,-78.9428
Big Swamp,Stream,34.8929,-78.5356
Bills Swamp,Stream,34.8154,-78.3656
Black Swamp,Stream,35.0252,-77.5455
Black Swamp,Stream,34.6724,-78.8167
Black Swamp,Stream,36.1071,-77.8147
Black Swamp,Stream,35.6199,-77.5997
Black Swamp Creek,Stream,34.861,-77.2119
Black Swamp Creek,Stream,34.4146,-78.2356
Bloomery Swamp,Stream,35.716,-77.9697
Bogue Swamp,Stream,34.8799,-79.0159
Bogue Swamp,Stream,34.2643,-78.5578
Boots Swamp,Stream,34.6077,-78.7881
Bracey Swamp,Stream,34.5152,-79.3109
Breeches Swamp,Stream,36.2171,-77.7069
Briery Swamp,Stream,35.694,-77.193
Brooks Swamp,Stream,35.2502,-78.0772
Broomfield Swamp Creek,Stream,35.2799,-76.7822
Brown Marsh Swamp,Stream,34.4699,-78.6342
Browns Swamp,Stream,35.1121,-78.6536
Browns Swamp,Stream,34.6099,-77.2669
Bryant Swamp,Stream,35.0991,-78.5281
Bryant Swamp,Stream,34.5229,-78.8642
Buck Swamp,Stream,35.4493,-78.0261
Buck Swamp,Stream,35.9424,-77.6983
Buckhorn Swamp,Stream,34.8654,-78.927
Buckle Swamp Creek,Stream,34.3802,-78.1242
Buckskin Swamp,Stream,34.9691,-77.9533
Bull Neck Swamp,Stream,36.2074,-77.2986
Burnt Coat Swamp,Stream,36.1968,-77.6586
Burnt Swamp,Stream,34.7057,-79.1025
Caesar Swamp,Stream,35.1163,-78.5214
Camp Swamp,Stream,34.0029,-78.7445
Cattail Swamp,Stream,35.7863,-77.7766
Cawcaw Swamp,Stream,33.9504,-78.6439
Cedar Swamp Creek,Stream,34.7813,-76.8772
Chapel Swamp,Stream,35.9404,-76.5563
Cherry Tree Swamp,Stream,34.1218,-78.1331
Chinkapin Swamp,Stream,36.2543,-76.8497
Clayroot Swamp,Stream,35.3627,-77.2305
Cokey Swamp,Stream,35.8271,-77.6478
Collie Swamp,Stream,35.7613,-77.2108
Connaritsa Swamp,Stream,36.0993,-77.045
Conoconnara Swamp,Stream,36.2646,-77.41
Contrary Swamp,Stream,34.5085,-79.317
Cooper Swamp,Stream,35.8074,-76.9325
Corapeake Swamp,Stream,36.5138,-76.5461
Corduroy Swamp,Stream,36.4846,-77.2372
Cow Haul Swamp,Stream,36.0763,-77.5255
Cow Swamp,Stream,35.5457,-77.2152
Cowford Swamp,Stream,34.4932,-79.2339
Cowhorn Swamp,Stream,34.8749,-77.5344
Cowpen Swamp,Stream,34.4135,-79.1798
Craddock Swamp,Stream,35.1952,-78.3264
Crawley Swamp,Stream,34.6016,-78.8439
Creeping Swamp,Stream,35.3816,-77.2311
Cricket Swamp,Stream,36.0532,-76.7752
Crooked Swamp,Stream,36.1438,-77.8789
Cross Swamp,Stream,35.5135,-77.2458
Cypress Swamp,Stream,36.4202,-76.8338
Cypress Swamp,Stream,36.091,-77.295
Cypress Swamp,Stream,36.2288,-76.8308
Deep Run Swamp,Stream,35.8013,-76.9352
Deep Swamp Branch,Stream,36.309,-76.7233
Duke Swamp,Stream,36.4396,-76.6277
Dunn Swamp,Stream,34.3446,-78.9292
Eagle Swamp,Stream,35.3513,-77.4269
Eason Swamp,Stream,36.1688,-76.9894
East Fork Pine Swamp Creek,Stream,36.2899,-81.4468
Eastern Prong Middle Swamp,Stream,34.4504,-78.5686
Eastmost Swamp,Stream,36.0532,-76.7752
Elkton Swamp,Stream,34.471,-78.6358
Etheridge Swamp,Stream,35.976,-77.3191
Fall Swamp,Stream,34.0371,-78.3078
First Cross Swamp,Stream,34.1357,-78.4036
First Swamp,Stream,34.6007,-79.3117
Fisher Swamp,Stream,35.2324,-77.0719
Flat Swamp,Stream,35.1579,-77.4816
Flat Swamp,Stream,35.2913,-77.2897
Flat Swamp,Stream,34.5613,-77.6058
Flat Swamp,Stream,35.7727,-77.265
Flat Swamp,Stream,36.3127,-76.935
Flat Swamp,Stream,36.269,-76.833
Flat Swamp,Stream,36.2749,-76.8161
Flat Swamp Creek,Stream,35.6154,-80.2248
Flat Swamp Creek,Stream,36.0746,-76.8822
Folly Swamp,Stream,36.4896,-76.5502
Fork Swamp,Stream,35.3671,-77.1263
Fork Swamp,Stream,35.4299,-77.355
Fork Swamp,Stream,35.6021,-76.8502
Fullermore Swamp,Stream,34.5657,-79.2564
Gallberry Swamp,Stream,34.7774,-78.8714
Gapway Swamp,Stream,34.2127,-78.9353
Gapway Swamp,Stream,34.2474,-78.2347
Gideon Swamp,Stream,36.1249,-77.9528
Gilmore Swamp,Stream,35.0449,-78.2322
Goodman Swamp,Stream,34.6777,-78.8159
Goodman Swamp,Stream,36.5193,-76.6505
Gorham Swamp,Stream,35.4404,-77.1813
Goshen Swamp,Stream,35.0241,-77.8472
Goss Swamp,Stream,35.6024,-77.7969
Great Run Swamp,Stream,36.1402,-76.3594
Great Swamp,Stream,35.6132,-77.9378
Grissett Swamp,Stream,34.0571,-78.6614
Gum Swamp,Stream,35.271,-78.8289
Gum Swamp,Stream,35.4627,-78.4461
Gum Swamp,Stream,35.6638,-77.1
Gum Swamp,Stream,34.1779,-78.7661
Gum Swamp,Stream,34.7068,-79.267
Gum Swamp,Stream,35.3354,-79.0589
Gum Swamp,Stream,34.1452,-78.6983
Gum Swamp,Stream,35.2402,-77.4589
Gum Swamp,Stream,35.5404,-77.4202
Gum Swamp Creek,Stream,35.2982,-77.7019
Gum Swamp Run,Stream,34.1624,-78.5803
Gum Swamp Run,Stream,35.4393,-77.0502
Gum Swamp Run,Stream,35.2557,-76.7888
Gumberry Swamp,Stream,36.4668,-77.4997
Gumberry Swamp,Stream,36.3221,-77.4711
Hackley Swamp,Stream,36.4696,-76.7744
Half Hell Swamp,Stream,34.0082,-78.1428
Hall Swamp,Stream,35.5352,-76.978
Harding Swamp,Stream,35.4807,-77.1972
Harrell Swamp,Stream,36.4452,-76.6244
Harris Swamp,Stream,34.1082,-78.0842
Hoe Swamp,Stream,35.1104,-78.2506
Holy Swamp,Stream,34.6538,-79.07
Hominy Swamp,Stream,35.6527,-77.9
Horn Camp Swamp,Stream,34.4846,-79.1864
Hornet Swamp,Stream,35.1202,-78.512
Horse Pen Swamp,Stream,34.1246,-78.5375
Horse Swamp,Stream,36.3127,-76.935
Horsepen Swamp,Stream,35.671,-77.1683
Horsepen Swamp,Stream,35.5099,-77.4239
Horseshoe Swamp,Stream,34.4993,-78.5692
Horseway Swamp,Stream,35.4946,-77.1647
Hull Swamp,Stream,34.7643,-76.816
Huskanaw Swamp,Stream,35.8332,-77.2025
Indian Swamp,Stream,34.371,-79.0764
Indian Well Swamp,Stream,35.4516,-77.2738
Island Swamp,Stream,35.5024,-77.1769
Ivy Swamp,Stream,35.596,-77.8403
Jack Horse Swamp,Stream,36.1768,-77.7894
Jacket Swamp,Stream,36.2115,-77.7189
Jacks Swamp,Stream,35.7288,-77.0675
Jacks Swamp,Stream,36.5577,-77.4886
Jackson Swamp,Stream,34.6199,-78.8445
Jacob Swamp,Stream,34.5727,-78.9681
Jenkins Swamp,Stream,34.8949,-77.5136
John K Swamp,Stream,35.3004,-78.4492
Johns Swamp Branch,Stream,34.5766,-78.3783
Johnson Swamp,Stream,35.3399,-78.4031
Jones Swamp,Stream,35.1027,-78.6528
Jordan Swamp,Stream,34.7652,-79.27
Juniper Swamp,Stream,35.576,-78.0075
Juniper Swamp,Stream,34.0854,-78.7181
Juniper Swamp,Stream,35.4807,-77.1472
Juniper Swamp,Stream,35.4018,-78.3761
Juniper Swamp,Stream,34.5713,-77.6269
Kehukee Swamp,Stream,36.0865,-77.3164
Kill Swamp,Stream,35.2049,-78.3631
Kit Swamp,Stream,35.2327,-77.068
Lane Swamp,Stream,36.0813,-77.7433
Lanier Swamp,Stream,35.8013,-76.9352
Lee Swamp,Stream,35.6263,-78.0164
Lewis Swamp,Stream,34.1738,-78.1447
Lighter Knot Swamp,Stream,35.6132,-77.6764
Little Back Swamp,Stream,34.6071,-79.1595
Little Bear Swamp,Stream,34.7268,-79.2106
Little Burnt Swamp,Stream,34.7282,-79.1478
Little Cawcaw Swamp,Stream,33.9402,-78.5839
Little Cokey Swamp,Stream,35.8963,-77.7439
Little Creek Swamp,Stream,34.7543,-76.778
Little Horseshoe Swamp,Stream,34.511,-78.5256
Little Indian Swamp,Stream,34.4563,-79.0375
Little Jacob Swamp,Stream,34.5899,-79.0136
Little Marsh Swamp,Stream,34.8107,-78.8945
Little Pine Log Swamp,Stream,34.4849,-78.5467
Little Raft Swamp,Stream,34.7827,-79.0989
Little Royal Oak Swamp,Stream,34.026,-78.3375
Little Sandy Run Swamp,Stream,34.6235,-77.5927
Little Swamp,Stream,34.1666,-78.4772
Little Swamp,Stream,35.6938,-78.0203
Little Swamp,Stream,35.824,-78.0011
Little Swamp,Stream,34.5721,-78.8614
Little Swamp Branch,Stream,35.3104,-78.4672
Little Tenmile Swamp,Stream,34.7432,-79.0023
Long Swamp,Stream,34.8018,-79.2286
Loosing Swamp,Stream,36.2188,-76.9686
Maple Swamp,Stream,35.9957,-77.5441
Marsh Swamp,Stream,36.0154,-77.4411
Marsh Swamp,Stream,35.6971,-78.0603
Marsh Swamp,Stream,36.2074,-77.6544
Marsh Swamp,Stream,35.1077,-78.3858
Martin Swamp,Stream,36.334,-77.6714
Mauls Swamp,Stream,35.2949,-77.148
McMilly Swamp,Stream,33.9538,-78.4219
Merkle Swamp,Stream,35.1346,-78.3872
Middle Swamp,Stream,34.0307,-78.1753
Middle Swamp,Stream,35.5141,-77.5091
Middle Swamp,Stream,34.4893,-78.5806
Middle Swamp,Stream,36.4896,-76.6416
Mill Branch Swamp,Stream,34.156,-78.7072
Mill Swamp,Stream,36.3374,-77.7441
Mill Swamp,Stream,35.0496,-78.2317
Mill Swamp,Stream,36.3018,-77.6583
Mill Swamp,Stream,35.6524,-77.0205
Mill Swamp,Stream,34.916,-77.5436
Mill Swamp,Stream,35.0641,-78.5275
Mill Swamp,Stream,34.6374,-78.8406
Mill Swamp,Stream,35.9365,-76.9505
Milliken Swamp,Stream,34.0374,-78.5011
Millis Swamp,Stream,34.7729,-76.9702
Mingo Swamp,Stream,35.2079,-78.6303
Mitchell Swamp,Stream,34.5152,-79.3109
Mollie Swamp,Stream,34.1402,-78.7056
Money Island Swamp,Stream,34.799,-76.7963
Monie Swamp,Stream,34.0816,-78.6967
Moore Swamp,Stream,36.0115,-77.5458
Morgan Swamp,Stream,35.9671,-76.7155
Moss Neck Swamp,Stream,34.6468,-79.1295
Mott Swamp,Stream,35.2166,-77.5795
Nahunta Swamp,Stream,35.5127,-77.7325
Nelson Swamp,Stream,35.5977,-78.0753
Old Ford Swamp,Stream,35.6385,-77.0908
Old Mill Swamp,Stream,35.1238,-78.3892
Old Tree Swamp,Stream,36.3621,-77.0677
Opossum Swamp,Stream,35.1391,-78.4956
Palmetto Swamp,Stream,35.3293,-77.1922
Panther Swamp,Stream,36.3768,-77.1327
Panther Swamp Creek,Stream,35.4391,-77.6569
Parrot Swamp,Stream,34.6752,-77.1616
Peak Swamp,Stream,34.7724,-76.9494
Persimmon Swamp,Stream,33.9202,-78.5767
Persimmon Swamp,Stream,34.5079,-79.3356
Peter Swamp,Stream,35.8465,-77.0233
Pine Log Swamp,Stream,34.4913,-78.5556
Pine Swamp Branch,Stream,35.9048,-82.3332
Pine Swamp Creek,Stream,36.3129,-81.4654
Pine Swamp Creek,Stream,36.4762,-81.1173
Pine Tree Swamp,Stream,35.2518,-77.0041
Polland Swamp,Stream,35.4018,-77.1975
Pollock Swamp,Stream,36.0707,-76.6483
Possum Swamp,Stream,35.1821,-76.9658
Poundpole Swamp Branch,Stream,35.3527,-76.9702
Pungo Swamp,Stream,35.5316,-76.733
Quarter Swamp,Stream,36.2896,-77.3416
Quincosin Swamp,Stream,35.4404,-78.2278
Quioccosin Swamp,Stream,36.2188,-76.9686
Raft Swamp,Stream,34.6349,-79.0498
Raynor Swamp,Stream,36.4396,-76.6277
Reedy Meadow Swamp,Stream,34.6779,-78.7772
Richland Swamp,Stream,34.6932,-79.0809
Robin Swamp,Stream,35.6174,-78.0533
Rocky Swamp,Stream,36.1571,-77.7528
Rogers Swamp,Stream,36.4846,-77.2372
Ross Swamp,Stream,35.8332,-77.2025
Royal Oak Swamp,Stream,34.0096,-78.2547
Rye Swamp,Stream,34.9802,-78.5114
Sandy Run Swamp,Stream,34.6249,-77.6883
Sassarixa Swamp,Stream,35.4707,-78.4403
Savannah Bridge Swamp,Stream,35.1807,-76.9583
Saw Pit Swamp,Stream,33.9399,-78.482
Scippio Swamp,Stream,33.9807,-78.6258
Second Cross Swamp,Stream,34.1549,-78.3875
Sevenmile Swamp,Stream,35.1843,-78.3633
Shelter Swamp Creek,Stream,34.6191,-77.6747
Shingletree Swamp,Stream,33.9418,-78.6172
Short Swamp,Stream,34.5996,-79.3103
Slades Swamp,Stream,34.4535,-78.6475
Smiths Swamp,Stream,34.7768,-76.8641
Smiths Swamp Branch,Stream,34.7777,-76.8538
Snows Swamp Branch,Stream,34.7682,-76.8372
Soules Swamp,Stream,34.3057,-78.6867
South Prong Wet Ash Swamp,Stream,34.0346,-78.4972
Starlins Swamp,Stream,35.2282,-78.617
Stephens Swamp,Stream,34.8735,-77.7561
Swamp Creek,Stream,35.9165,-76.8291
Tan Swamp,Stream,35.3616,-76.8647
Taylor Swamp,Stream,36.5263,-76.5716
Tea Swamp,Stream,34.9707,-77.9342
Tenmile Swamp,Stream,35.0188,-78.2286
Tenmile Swamp,Stream,34.7363,-78.8589
Thompson Swamp,Stream,35.6188,-77.6616
Thorofare Swamp,Stream,35.4643,-77.2344
Thoroughfare Swamp,Stream,35.3099,-78.1172
Thunder Swamp,Stream,35.2424,-78.1267
Toisnot Swamp,Stream,35.584,-77.7994
Tracey Swamp,Stream,35.2513,-77.4316
Trumpeter Swamp,Stream,34.4393,-77.7766
Tuckahoe Swamp,Stream,35.0185,-77.6052
Turkey Swamp,Stream,35.7329,-77.1741
Turner Swamp,Stream,35.6035,-77.8625
Twomile Swamp,Stream,35.1438,-78.5431
Urahaw Swamp,Stream,36.3627,-77.2039
Vine Swamp,Stream,35.1452,-77.4719
Wahtom Swamp,Stream,36.1307,-77.1322
Ward Swamp,Stream,35.1688,-78.3622
Watering Hole Swamp,Stream,34.6663,-79.157
Watering Hole Swamp,Stream,34.6149,-79.3064
West Fork Pine Swamp Creek,Stream,36.3129,-81.4654
Wet Ash Swamp,Stream,34.0543,-78.5622
Wheat Swamp,Stream,35.4191,-77.5586
Whiskey Swamp,Stream,34.0821,-78.7414
White Oak Swamp,Stream,35.5827,-78.033
White Oak Swamp,Stream,35.991,-77.6136
White Oak Swamp,Stream,36.1754,-77.9786
White Oak Swamp,Stream,34.6882,-78.8186
White Oak Swamp,Stream,35.001,-78.3769
White Swamp,Stream,35.7779,-77.7833
Whiteoak Swamp,Stream,36.0724,-76.9816
Whiteoak Swamp,Stream,35.8302,-78.0492
Whiteoak Swamp,Stream,35.6629,-77.8253
Whiteoak Swamp,Stream,36.2963,-76.9055
Wiccacanee Swamp,Stream,36.3918,-77.3472
Wildcat Swamp,Stream,36.1688,-76.9894
Wildcat Swamp,Stream,36.3821,-77.2758
Williams Swamp,Stream,35.281,-78.7606
Williamson Swamp,Stream,35.1699,-78.632
Wolf Swamp,Stream,34.7927,-77.3555
Wolf Swamp,Stream,34.8099,-77.0799
Worrell Mill Swamp,Stream,36.4468,-77.0744
Youngs Swamp,Stream,35.1782,-78.1642
A A Rauchfuss Lake Dam,Dam,36.0068,-81.5348
A G Phelps Dam,Dam,35.3852,-77.7947
A J White Dam,Dam,35.4118,-78.8314
A P Cobb Dam,Dam,35.3968,-77.798
A S U Dam,Dam,36.2401,-81.6715
Aberdeen Town Lake Dam,Dam,35.1335,-79.4298
Adams Dam,Dam,35.7552,-77.843
Adams Lake Dam,Dam,36.0235,-79.9064
Adcock Pond Dam,Dam,35.5768,-78.8481
Aero Plantation Lake Dam Number One,Dam,34.9951,-80.7448
Aero Plantation Lake Dam Number Two,Dam,34.9901,-80.7415
Air Bellows Dam,Dam,36.4351,-81.1281
Akins Pond Number One Dam,Dam,35.6302,-78.8014
Akins Pond Number Two Dam,Dam,35.6252,-78.8064
Albemarle City Lake Dam,Dam,35.3518,-80.2264
Alexander Pond Dam,Dam,35.3335,-79.9381
Allen Lake Dam,Dam,35.9435,-78.8564
Allen Steam Station Dam Number One,Dam,35.1851,-81.0098
Allen Steam Station Dam Number Two,Dam,35.1835,-81.0065
Allison Lake Dam,Dam,35.8918,-80.8198
Alsups Pond Dam,Dam,36.1285,-80.3931
Alton Thompson Dam,Dam,36.4951,-81.0331
American Legion Lake Dam,Dam,35.1818,-80.9648
Ames Lake Dam,Dam,36.2151,-79.6414
Ammons Pond Dam,Dam,35.8185,-78.3581
Angus Barn Pond Dam,Dam,35.8968,-78.7681
Annetts Pond Dam,Dam,34.3202,-78.8947
Apalachia Dam,Dam,35.1678,-84.2953
Apex Lake Dam,Dam,35.7335,-78.8164
Appalachian Ski Mountain Dam,Dam,36.1751,-81.6582
Archie Ellis Pond Dam,Dam,35.6435,-77.7997
Archie McDuffie Dam,Dam,35.3218,-79.6764
Aren Beshears Dam,Dam,36.2585,-81.3598
Arnie Shore Lake Dam,Dam,36.1985,-80.6765
Arnold Lake Dam,Dam,36.0968,-80.4931
Arran Lake Dam,Dam,35.0357,-78.9898
Arrowhead Dam,Dam,35.1351,-82.6865
Arrowhead Lake Dam,Dam,36.1568,-79.1347
