X,Y,OBJECTID,IncidentNumber,USTNum,IncidentName,Address,CityTown,ZipCode,County,Mgr,ROCode,DateOccurred,DateReported,ConfRisk,Risk,CloseOut,CurrStatus,CDNum,LURFiled,LandUse,LatDec,LongDec,FacilID,Comm,Reg,LUR_Resc,LUR_State,RRADate,RRARisk,RRARank,RRA_Rank,RRAAbate,DocsLink
796817.750568154,681980.982281555,746,3004,AS-3004,C.N. LEIGH ESTATE,HEMPHILL RD.,WAYNESVILLE,28786,Haywo,,ASH,1984/10/26 00:00:00+00,1984/10/26 00:00:00+00,L,,1989/08/03 00:00:00+00,A,301,,,35.556476,-83.046443,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AAS-3004%2A%22%7D
1472459.2722549,902353.981758489,747,3044,WS-3044,SOUTHERN BELL - MANHOLE - ELKIN,SR 1331 & CENT.,ELKIN,,YADKI,SEK,WS,,,U,,,C,0,,,36.216203,-80.788333,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-3044%2A%22%7D
2317601.29520149,157169.482164784,748,3066,WI-3066,EXXON CORPORATION,3340 RIVER ROAD,WILMINGTON,28401,New H,SAK,WIL,1995/08/03 00:00:00+00,1995/08/03 00:00:00+00,L,L,,C,0,,,34.177222,-77.95,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWI-3066%2A%22%7D
1758738.72423917,706536.891692802,749,3092,WS-3092,HARRELSON RUBBER COMPANY/TELEPHONE AVE.,408 TELEPHONE AVE.,ASHEBORO,,RANDO,SBW,WS,1996/02/21 00:00:00+00,1996/02/21 00:00:00+00,L,,2007/05/16 00:00:00+00,C,0,,,35.688611,-79.8125,00-0-0000010691,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-3092%2A%22%7D
1718159.74859565,921540.277307117,750,3116,WS-88159,"TURNER RESIDENCE, BOB",536 LEMONS ROAD,STOKESDALE,27357,ROCKI,SBW,WS,1996/09/11 00:00:00+00,1996/09/11 00:00:00+00,L,L,1996/09/18 00:00:00+00,A,335,,RES,36.278228,-79.956124,,N,N,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-88159%2A%22%7D
759517.535992867,624298.096612279,751,3124,AS-88182,CANNON BROS. OIL CO. SPILL,MAIN STREET,DILLSBORO,,JACKS,LKD,ASH,1985/10/11 00:00:00+00,1985/10/12 00:00:00+00,L,L,1998/01/02 00:00:00+00,A,301,,,35.393889,-83.163611,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AAS-88182%2A%22%7D
1608345.99554725,867068.621232956,752,3153,WS-3153,"SMITH RESIDENCE, HOWARD",3901 WOODVIEW DR,WINSTON-SALEM,27106,FORSY,LME,WS,1996/04/09 00:00:00+00,1996/04/09 00:00:00+00,L,,2009/09/23 00:00:00+00,C,0,,,36.125145,-80.326152,00-0-0000010941,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-3153%2A%22%7D
2694688.20673893,359902.11910252,753,3159,WI-3159,AVIATION FUEL TERMINAL TANK #8,296 RADIO ISLAND ROAD,BEAUFORT,28516,Carte,LEP,WIL,1988/01/18 00:00:00+00,1988/01/18 00:00:00+00,H,H,,C,0,,RES,34.716666,-76.688055,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWI-3159%2A%22%7D
2525439.91976609,660658.433876306,754,3171,WA-88302,INFINGER TRANSPORT COMPANY,FOSTER ROAD,GREENVILLE,27834,PITT,SNH,WAS,1989/07/11 00:00:00+00,1989/07/11 00:00:00+00,L,,1989/08/02 00:00:00+00,A,296,,RES,35.55243,-77.233372,,C,N,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWA-88302%2A%22%7D
2047645.85297914,272768.880519599,755,3175,FA-3175,WACCAMAW TRANSPORT INC.,HWY 242,BLADENBORO,28320,Blade,KEC,FAY,1986/03/04 00:00:00+00,1986/03/04 00:00:00+00,L,L,,C,0,,,34.499368,-78.841869,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AFA-3175%2A%22%7D
2489963.90609126,638030.438746433,756,3191,WA-88303,HADDOCK'S STORE,SR 1725 & SR 1700,AYDEN,28513,PITT,BDS,WAS,1988/01/02 00:00:00+00,1988/01/02 00:00:00+00,U,,,C,0,,RES,35.491944,-77.353888,,C,N,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWA-88303%2A%22%7D
1733390.74836442,912123.698840129,757,3204,WS-3204,"KELLAR, J.W.",8611 KELLAR DR.,SUMMERFIELD,,GUILF,,WS,1985/08/09 00:00:00+00,1985/08/09 00:00:00+00,L,,1996/05/02 00:00:00+00,A,336,,,36.252756,-79.904166,00-0-0000024638,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-3204%2A%22%7D
2433689.42531415,758013.382369953,758,3205,RA-3205,"EVERETT, VERNON","RT. 4; BOX 150",TARBORO,,Edgec,,WAS,1986/03/26 00:00:00+00,1986/03/26 00:00:00+00,U,,,C,0,,,35.823966,-77.536982,00-0-000-023558,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2ARA-3205%2A%22%7D
2034160.16422119,499542.236709156,759,3209,FA-88329,Lafayette Mobile Home Park,520 McArthur Road,Fayetteville,28301,CUMBE,JWB,FAY,2016/04/26 00:00:00+00,2016/04/26 00:00:00+00,L,U,2016/04/26 00:00:00+00,A,623,,RES,35.122538,-78.885761,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AFA-88329%2A%22%7D
1705262.38972645,853559.390278647,760,3216,WS-3216,NEIGHBORS,I-40 SANDY RIDGE RD.,COLFAX,,GUILF,,WS,1986/02/13 00:00:00+00,1986/02/13 00:00:00+00,L,,1997/10/19 00:00:00+00,A,337,,,36.091154,-79.997557,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-3216%2A%22%7D
1730454.16595613,854099.762409156,761,3237,WS-3237,"WALKER, LONNIE C.",15 HOLLY CREST CT,GREENSBORO,,GUILF,,WS,1986/05/20 00:00:00+00,1986/05/20 00:00:00+00,L,,1997/06/05 00:00:00+00,A,336,,,36.093304,-79.912316,00-0-0000017789,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-3237%2A%22%7D
1523650.99112653,912533.272338604,762,3238,WS-88310,J. H. HOBSON STORE,2141 RICHMOND HILL CHURCH RD.,RICHMOND HILL,,YADKI,SBW,WS,1988/05/12 00:00:00+00,1988/05/20 00:00:00+00,L,H,2011/03/01 00:00:00+00,C,0,,,36.24657,-80.61539,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-88310%2A%22%7D
2039324.49968085,297734.154311045,763,3243,FA-3243,SEABOARD COASTLINE,5 MILES WEST OF BLADENBORO,BLADENBORO,28320,ROBES,KEC,FAY,1986/06/20 00:00:00+00,1986/06/20 00:00:00+00,L,L,2002/03/03 00:00:00+00,C,0,,,34.568,-78.869378,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AFA-3243%2A%22%7D
2318150.51686214,161091.201230742,764,3262,WI-3262,"Koch, TANKS 1 & 4",3325 RIVER ROAD,WILMINGTON,28412,New H,LEP,WIL,1991/08/16 00:00:00+00,1991/08/16 00:00:00+00,L,H,2019/12/03 00:00:00+00,C,0,2019/10/04 00:00:00+00,,34.187981,-77.948047,,C,N,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWI-3262%2A%22%7D
2317277.63795383,161261.034607283,765,3264,WI-3264,"KOCH FUELS CO. NORTH WASTEWATER RELE; Invista",3308 RIVER ROAD,WILMINGTON,28412,New H,LEP,WIL,1998/06/25 00:00:00+00,1998/06/25 00:00:00+00,I,H,2023/05/23 00:00:00+00,A,0,,,34.188473,-77.950927,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWI-3264%2A%22%7D
1959637.94729071,624289.798395437,766,3265,RA-3265,"WEBER,USA INCORP.",2101 NASH ST.,SANFORD,,LEE,JWB,FAY,,,L,,1986/08/05 00:00:00+00,C,0,,,35.465277,-79.135555,00-0-0000034149,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2ARA-3265%2A%22%7D
2003269.82859058,978878.925743657,767,3266,RA-3266,"DAY, OTHA",137 ROXDALE PLACE,ROXBORO,27573,Perso,,RAL,1988/05/09 00:00:00+00,1988/05/09 00:00:00+00,U,,,C,0,,,36.439444,-78.988888,00-0-0000036130,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2ARA-3266%2A%22%7D
890196.223983336,730396.327608716,768,3271,AS-3271,C. SPROUSE RESIDENCE,NC 63,LEICESTER,28748,Bunco,,ASH,1986/04/15 00:00:00+00,1986/04/15 00:00:00+00,L,,1986/08/07 00:00:00+00,A,302,,,35.699449,-82.738839,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AAS-3271%2A%22%7D
2360735.30630995,404644.298366128,769,3275,WI-3275,SANDLINS OIL CO.,OLD BARN OFF HWY 41 SOUTH,BEULAVILLE,28518,Dupli,NPM,WIL,1993/10/13 00:00:00+00,1993/10/15 00:00:00+00,H,H,,C,0,,,34.855833,-77.7975,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWI-3275%2A%22%7D
1725815.74892936,852505.980869557,770,3278,WS-3278,"GILBARCO, INC",7300 W. FRIENDLY RD.,GREENSBORO,27420,GUILF,LJM,WS,1987/08/20 00:00:00+00,1987/10/18 00:00:00+00,L,L,,C,0,,IND,36.088808,-79.927964,00-0-0000024518,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-3278%2A%22%7D
2316985.55323633,159791.533776714,771,3279,WI-3279,EAST COAST OIL TRANSPORT (ATLANTIC DIVING & M,3330 RIVER ROAD,WILMINGTON,28401,New H,NPM,WIL,1986/09/04 00:00:00+00,1986/09/04 00:00:00+00,I,I,,C,0,,IND,34.184444,-77.951944,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWI-3279%2A%22%7D
2318103.45644091,173320.628780889,772,3283,WI-88320,ATC petroleum,1002 S. FRONT ST.,WILMINGTON,,NEW H,NPM,WIL,1988/08/29 00:00:00+00,1988/08/29 00:00:00+00,L,,,C,0,,RES,34.221583,-77.947774,,C,R,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWI-88320%2A%22%7D
2024734.29993481,817591.319095736,773,3285,RA-3285,BURTONS AUTO CLINIC,1105 W. CHAPEL HILL ST.,DURHAM,,Durha,STA,RAL,1986/07/11 00:00:00+00,1986/07/11 00:00:00+00,L,,1986/07/11 00:00:00+00,C,0,,,35.996388,-78.916388,00-0-0000005317,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2ARA-3285%2A%22%7D
2367460.96883364,963287.888853237,774,3288,WS-3288,ROCKINGHAM CO. - HEALTH DEPT.,HWY 65,WENTWORTH,,ROCKI,MJR,WS,1988/01/02 00:00:00+00,1988/01/02 00:00:00+00,L,L,2007/06/14 00:00:00+00,C,0,,IND,36.390277,-77.751666,,N,N,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-3288%2A%22%7D
1884448.3703636,771500.687131548,775,3303,WS-3303,SNOW CAMP,7918 holman mill road,SNOW CAMP,,ALAMA,ARW,WS,1986/07/22 00:00:00+00,1986/10/31 00:00:00+00,H,H,,C,0,,,35.869175,-79.390013,00-0-0000031504,N,N,,,2023/06/06 00:00:00+00,H,285,285,D,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-3303%2A%22%7D
2189250.3398929,84305.4596730042,776,3307,WI-3307,SHALLOTTE ICE & FUEL CO.,P.O. BOX 580 HWY 17 BUSINESS,SHALLOTE,28462,Bruns,LEP,WIL,1990/11/02 00:00:00+00,1990/11/02 00:00:00+00,H,H,,C,0,,,33.98,-78.375833,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWI-3307%2A%22%7D
2149398.03783772,249492.862201192,777,3309,FA-3309,CSX - ROSINDALE SITE,7 MI. EAST OF CLARKTON,CLARKTON,28433,BLADE,KEC,FAY,1996/11/14 00:00:00+00,1996/11/14 00:00:00+00,L,,,C,0,,,34.434491,-78.504549,, ,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AFA-3309%2A%22%7D
1144915.28498254,841548.072572648,778,3341,AS-3341,PETROLEUM WORLD-PINEOLA,US 221 & NC 181,PINEOLA,28062,Avery,,ASH,1987/01/14 00:00:00+00,1987/03/31 00:00:00+00,L,U,1993/05/05 00:00:00+00,A,300,,,36.028007,-81.892174,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AAS-3341%2A%22%7D
2026752.77603546,946426.336708157,779,3346,RA-3346,MORRISTOWN GROCERY,4339 Oxford Road (US HWY 158),ROXBORO,,Perso,,RAL,1986/09/02 00:00:00+00,1986/09/02 00:00:00+00,H,,,C,0,,,36.350277,-78.909166,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2ARA-3346%2A%22%7D
2284281.18373151,804596.459356709,780,3348,RA-3348,NC HIDE & FUR,P. O. BOX 7186,ROCKY MOUNT,,Nash,BRH,RAL,1986/12/05 00:00:00+00,1986/12/05 00:00:00+00,L,,2007/01/06 00:00:00+00,C,0,,,35.95694,-78.03944,00-0-0000000552,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2ARA-3348%2A%22%7D
1352758.34974598,783702.940522546,781,3353,MO-3353,TUFFY GAS & OIL,HWY 16 SOUTH,TAYLORSVILLE,28681,Alexa,DSG,MOR,1990/02/04 00:00:00+00,1990/02/04 00:00:00+00,L,U,2018/09/21 00:00:00+00,C,0,,,35.88375,-81.18514,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AMO-3353%2A%22%7D
1261162.42937917,766290.907222123,782,3354,AS-3354,ALICE STARNES RESIDENCE,"RT 2, BOX 244",HUDSON,28638,Caldw,JCA,ASH,1988/01/28 00:00:00+00,1988/01/28 00:00:00+00,L,L,2017/11/09 00:00:00+00,C,0,,RES,35.83,-81.492777,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AAS-3354%2A%22%7D
1721036.56253833,855925.453384842,783,3356,WS-3356,"ATLANTIC AERO, INC. - NONUST",6423 AIRPORT PKWY.,GREENSBORO,,GUILF,AED,WS,,,U,,,C,0,,,36.098077,-79.944248,00-0-0000015481,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-3356%2A%22%7D
2118748.82042093,600513.494172121,784,3357,FA-3357,LENA COATS/WENDELL TRANSPORT,NC 27 & SR 1703,COATS,,Harne,JWB,FAY,1988/04/02 00:00:00+00,1988/04/02 00:00:00+00,L,L,2020/10/01 00:00:00+00,C,0,,RES,35.399371,-78.601518,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AFA-3357%2A%22%7D
1726669.29480462,847419.510052683,785,3367,WS-3367,PLANTATION PIPELINE - TANK FARM,6907 W. MARKET STREET,GREENSBORO,27409,GUILF,LJM,WS,2023/02/13 00:00:00+00,2023/02/13 00:00:00+00,I,I,,C,0,,,36.074858,-79.924915,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-3367%2A%22%7D
939673.289565956,612286.323206887,786,3372,AS-3372,VAN WINGERDEN INTERNATIONAL,RT 191,HENDERSONVILLE,28739,Hende,,ASH,1987/02/25 00:00:00+00,1987/03/12 00:00:00+00,L,L,1987/07/02 00:00:00+00,A,301,,,35.380157,-82.558046,00-0-0000007160,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AAS-3372%2A%22%7D
2321339.03201467,798912.47521407,787,3375,RA-3375,BELK TYLER/JUDGE MATTHEWS,220-222 S. CHURCH ST.,ROCKY MOUNT,27804,Nash,,RAL,1987/01/31 00:00:00+00,1987/01/31 00:00:00+00,L,L,,C,0,,,35.940277,-77.914444,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2ARA-3375%2A%22%7D
2961636.96592866,788194.968827935,788,3384,WA-88174,MANNS HARBOR NCDOT,S.R. 1105,MANNS HARBOR,27953,DARE,WRC,WAS,1988/01/02 00:00:00+00,1988/01/02 00:00:00+00,L,,1988/12/13 00:00:00+00,A,294,,RES,35.87246,-75.75358,,C,N,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWA-88174%2A%22%7D
967210.016494407,590892.494851918,789,3414,AS-3414,"BOYD PONTIAC, INC.",P.O. BOX 748,HENDERSONVILLE,28739,Hende,,ASH,1987/04/29 00:00:00+00,1987/05/01 00:00:00+00,L,L,1987/07/10 00:00:00+00,A,301,,,35.324087,-82.463216,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AAS-3414%2A%22%7D
809033.341190802,697188.921215739,790,3432,AS-3432,GAS & GROCERIES NO. 5,US 276,MAGGIE VALLEY,28751,Haywo,,ASH,1987/05/28 00:00:00+00,1987/06/19 00:00:00+00,L,,1987/10/10 00:00:00+00,A,301,,,35.599586,-83.007469,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AAS-3432%2A%22%7D
928463.288252038,675558.834926874,791,3433,AS-88137,THURSTON MOTOR LINES,251 EAST OAK VIEW DRIVE,ASHEVILLE,,BUNCO,DRL,ASH,1987/06/04 00:00:00+00,1987/07/10 00:00:00+00,L,,1988/01/02 00:00:00+00,A,302,,,35.552777,-82.603333,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AAS-88137%2A%22%7D
1723908.34305402,847823.976781638,792,3448,WS-3448,PHILLIPS TANK FARM,301 GALLIMORE DAIRY ROAD,GREENSBORO,,GUILF,,WS,,,L,,2005/04/14 00:00:00+00,C,0,,,36.075898,-79.93427,,,,,,,,,0,,http://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand=%7B%5BWM%5D%3A%5BProgram_ID%5D%3D%22%2AWS-3448%2A%22%7D
