Site Name,State Territory or Tribe,Latitude,Longitude,Total
FEDERAL AVIATION ADMINISTRATION TECHNICAL CENTER (USDOT), NJ,39.458331,-74.583339,1
FISCHER & PORTER CO., PA,40.183889,-75.0925,1
FLETCHER'S PAINT WORKS & STORAGE, NH,42.8358,-71.6554,1
FOREST WASTE PRODUCTS, MI,43.198331,-83.545831,1
FORT DETRICK AREA B GROUND WATER, MD,39.434442,-77.446769,1
FORT DEVENS, MA,42.536111,-71.596111,1
FORT DEVENS-SUDBURY TRAINING ANNEX, MA,42.406944,-71.475278,1
FORT DIX (LANDFILL SITE), NJ,39.9801,-74.6244,1
FORT EUSTIS (US ARMY), VA,37.105,-76.568332,1
FORT GEORGE G. MEADE, MD,39.083333,-76.715278,1
FORT LEWIS LOGISTICS CENTER, WA,47.1142,-122.5365,1
FORT ORD, CA,36.625,-121.75,1
FORT RICHARDSON (USARMY), AK,61.258333,-149.7,1
FORT RILEY, KS,39.306647,-96.960906,1
FORT WAINWRIGHT, AK,64.823,-147.6106,1
G&H LANDFILL, MI,42.664719,-83.077769,1
GALLUP'S QUARRY, CT,41.665281,-71.924161,1
GARFIELD GROUND WATER CONTAMINATION, NJ,40.871858,-74.106431,1
GARY DEVELOPMENT LANDFILL, IN,41.614061,-87.426447,1
GEORGE AIR FORCE BASE, CA,34.595,-117.3833,1
GOLDISC RECORDINGS  INC., NY,40.7745,-73.0647,1
GRIFFISS AIR FORCE BASE (11 AREAS), NY,43.233331,-75.416661,1
GROVELAND WELLS, MA,42.753331,-71.038889,1
HANSCOM FIELD/HANSCOM AIR FORCE BASE, MA,42.470666,-71.289444,1
HELEN KRAMER LANDFILL, NJ,39.7801,-75.2003,1
HILL AIR FORCE BASE, UT,41.128547,-111.990643,1
HOMESTEAD AIR FORCE BASE, FL,25.489444,-80.396944,1
INDIAN BEND WASH AREA, AZ,33.466669,-111.9083,1
INDUSTRI-PLEX, MA,42.516669,-71.141669,1
IOWA ARMY AMMUNITION PLANT, IA,40.808331,-91.246669,1
IRON HORSE PARK, MA,42.583331,-71.265269,1
JACKSON PARK HOUSING COMPLEX (USNAVY), WA,47.58861,-122.695972,1
JACKSONVILLE NAVAL AIR STATION, FL,30.22111,-81.682777,1
JARD COMPANY  INC., VT,42.888861,-73.189111,1
K&L AVENUE LANDFILL, MI,42.283331,-85.718889,1
KEARSARGE METALLURGICAL CORP., NH,43.9721,-71.1293,1
KEDDY MILL, ME,43.734953,-70.424514,1
KEEFE ENVIRONMENTAL SERVICES (KES), NH,43.024169,-71.033331,1
KELLOGG-DEERING WELL FIELD, CT,41.13055,-73.43195,1
KENTWOOD LANDFILL, MI,42.8738,-85.5906,1
LAKE CITY ARMY AMMUNITION PLANT (NORTHWEST LAGOON), MO,39.103,-94.2783,1
LAMMERS BARREL FACTORY, OH,39.726389,-84.084306,1
LANDFILL & RESOURCE RECOVERY  INC. (L&RR), RI,41.9795,-71.589,1
LANE PLATING WORKS  INC, TX,32.687886,-96.769485,1
LANGLEY AIR FORCE BASE/NASA LANGLEY RESEARCH CENTER, VA,37.069999,-76.358611,1
LAUREL PARK  INC., CT,41.476939,-73.071661,1
LAWRENCE TODTZ FARM, IA,41.787781,-90.292639,1
LEEDS METAL, ME,44.237083,-70.08025,1
LEMBERGER LANDFILL  INC., WI,44.173331,-87.841669,1
LEMBERGER TRANSPORT & RECYCLING, WI,44.1655,-87.8448,1
LETTERKENNY ARMY DEPOT (PDO AREA), PA,40.0075,-77.64,1
LETTERKENNY ARMY DEPOT (SE AREA), PA,39.9957,-77.6444,1
LINEMASTER SWITCH CORP., CT,41.940561,-71.966939,1
LIPARI LANDFILL, NJ,39.720281,-75.141939,1
LONGHORN ARMY AMMUNITION PLANT, TX,32.665,-94.123339,1
LORING AIR FORCE BASE, ME,46.944444,-67.883888,1
LOUISIANA ARMY AMMUNITION PLANT, LA,32.5422,-93.421,1
LOWER DARBY CREEK AREA, PA,39.885556,-75.267778,1
LUDLOW SAND & GRAVEL, NY,42.959169,-75.226389,1
LUKE AIR FORCE BASE, AZ,33.54,-112.3567,1
MACKENZIE CHEMICAL WORKS, NY,40.788889,-73.205278,1
MADISON METROPOLITAN SEWERAGE DISTRICT LAGOONS, WI,43.034311,-89.346281,1
MARCH AIR FORCE BASE, CA,33.906389,-117.2557,1
MARTIN AARON  INC., NJ,39.926111,-75.119167,1
MASON COUNTY LANDFILL, MI,43.9185,-86.4292,1
MATHER AIR FORCE BASE (AC&W DISPOSAL SITE), CA,38.55695,-121.2972,1
MATTIACE PETROCHEMICAL CO.  INC., NY,40.8608,-73.6432,1
MCCHORD AIR FORCE BASE (WASH RACK/TREATMENT AREA), WA,47.141111,-122.4889,1
MCCLELLAN AIR FORCE BASE (GROUND WATER CONTAMINATION), CA,38.66,-121.3994,1
MCGUIRE AIR FORCE BASE #1, NJ,40.018056,-74.593611,1
MCKIN CO., ME,43.8841,-70.2942,1
MEMPHIS DEFENSE DEPOT (DLA), TN,35.093333,-90.003333,1
MICHNER PLATING - MECHANIC STREET, MI,42.253511,-84.40701,1
MICROFAB INC (FORMER), MA,42.842394,-70.959842,1
MIDDLETOWN AIR FIELD, PA,40.1763,-76.7173,1
MILAN ARMY AMMUNITION PLANT, TN,35.867781,-88.696111,1
MONITOR DEVICES  INC./INTERCIRCUITS  INC., NJ,40.185281,-74.119719,1
MOSES LAKE WELLFIELD CONTAMINATION, WA,47.204722,-119.315556,1
MOTTOLO PIG FARM, NH,42.989581,-71.173189,1
MOUNTAIN HOME AIR FORCE BASE, ID,43.04805,-115.8647,1
MOYERS LANDFILL, PA,40.155561,-75.433611,1
MW MANUFACTURING, PA,40.99,-76.641669,1
NASA WALLOPS FLIGHT FACILITY, VA,37.93327,-75.47226,1
NAVAL AIR DEVELOPMENT CENTER (8 WASTE AREAS), PA,40.1996,-75.0642,1
NAVAL AIR ENGINEERING CENTER, NJ,40.029719,-74.369161,1
NAVAL AIR STATION  WHIDBEY ISLAND (AULT FIELD), WA,48.344219,-122.6637,1
NAVAL AMPHIBIOUS BASE LITTLE CREEK, VA,36.906111,-76.147778,1
NAVAL INDUSTRIAL RESERVE ORDNANCE PLANT, MN,45.058831,-93.273669,1
NAVAL SURFACE WARFARE CENTER - DAHLGREN, VA,38.326667,-77.026944,1
NAVAL UNDERSEA WARFARE ENGINEERING STATION (4 WASTE AREAS), WA,47.6946,-122.622,1
NAVAL WEAPONS INDUSTRIAL RESERVE PLANT, MA,42.478889,-71.290277,1
NAVAL WEAPONS STATION - YORKTOWN, VA,37.245833,-76.588889,1
NAVAL WEAPONS STATION EARLE (SITE A), NJ,40.264581,-74.162919,1
NAVY SHIPS PARTS CONTROL CENTER, PA,40.225556,-76.99361,1
NEW BEDFORD, MA,41.643171,-70.919887,1
NEW BRIGHTON/ARDEN HILLS/TCAAP (USARMY), MN,45.079169,-93.1975,1
NEW HAMPSHIRE PLATING CO., NH,42.855833,-71.488888,1
NEW LONDON SUBMARINE BASE, CT,41.400139,-72.087081,1
NEWPORT NAVAL EDUCATION & TRAINING CENTER, RI,41.56445,-71.293469,1
NORFOLK NAVAL BASE (SEWELLS POINT NAVAL COMPLEX), VA,36.940278,-76.300278,1
NORFOLK NAVAL SHIPYARD, VA,36.821944,-76.294722,1
NORTH PENN - AREA 2, PA,40.293889,-75.297781,1
NORTH PENN - AREA 5, PA,40.2721,-75.2451,1
NORTON AIR FORCE BASE (LNDFLL #2), CA,34.098061,-117.2372,1
NUCLEAR METALS  INC., MA,42.441667,-71.421944,1
NYANZA CHEMICAL WASTE DUMP, MA,42.258611,-71.473611,1
OAKDALE DUMP, MN,45,-92.966669,1
O'CONNOR CO., ME,44.301916,-69.736944,1
OCONOMOWOC ELECTROPLATING CO.  INC., WI,43.2141,-88.5221,1
OLD BETHPAGE LANDFILL, NY,40.756939,-73.447219,1
OLD NAVY DUMP/MANCHESTER LABORATORY (USEPA/NOAA), WA,47.574443,-122.548055,1
OLD SPRINGFIELD LANDFILL, VT,43.272781,-72.466669,1
OLD WILMINGTON ROAD GW CONTAMINATION, PA,39.995833,-75.908333,1
OLIN CHEMICAL, MA,42.528056,-71.153889,1
ONONDAGA LAKE, NY,43.069444,-76.208056,1
ORANGE VALLEY REGIONAL GROUND WATER CONTAMINATION, NJ,40.779936,-74.225267,1
OSBORNE LANDFILL, PA,41.161111,-80.058331,1
OTIS AIR NATIONAL GUARD BASE/CAMP EDWARDS, MA,41.651666,-70.521388,1
OTTATI & GOSS/KINGSTON STEEL DRUM, NH,42.897219,-71.080561,1
PADUCAH GASEOUS DIFFUSION PLANT (USDOE), KY,37.120138,-88.811111,1
PANTEX PLANT (USDOE), TX,35.321944,-101.563611,1
PARKER SANITARY LANDFILL, VT,44.518611,-71.989439,1
PARRIS ISLAND MARINE CORPS RECRUIT DEPOT, SC,32.3528,-80.7031,1
PATUXENT RIVER NAVAL AIR STATION, MD,38.270694,-76.419444,1
PEASE AIR FORCE BASE, NH,43.080169,-70.82125,1
PENSACOLA NAVAL AIR STATION, FL,30.357222,-87.283054,1
PETERSON/PURITAN  INC., RI,41.929581,-71.4268,1
PICATINNY ARSENAL (USARMY), NJ,40.916669,-74.583339,1
PICILLO FARM, RI,41.671669,-71.709169,1
PJP LANDFILL, NJ,40.734719,-74.085561,1
PLATING  INC., KS,38.346542,-98.84946,1
PLATTSBURGH AIR FORCE BASE, NY,44.6575,-73.464719,1
PORT HADLOCK DETACHMENT (USNAVY), WA,48.083471,-122.729583,1
PORTSMOUTH NAVAL SHIPYARD, ME,43.084167,-70.741666,1
POWNAL TANNERY, VT,42.797167,-73.26575,1
PRECISION PLATING CORP., CT,41.84975,-72.447911,1
PRICE LANDFILL, NJ,39.415281,-74.52695,1
PSC RESOURCES, MA,42.153331,-72.330281,1
PUCHACK WELL FIELD, NJ,39.976667,-75.051944,1
PUGET SOUND NAVAL SHIPYARD COMPLEX, WA,47.559166,-122.647222,1
QUALITY PLATING, MO,36.96305,-89.557219,1
RAYMARK, PA,40.179719,-75.098611,1
RAYMARK INDUSTRIES  INC., CT,41.201278,-73.117222,1
REICH FARMS, NJ,40.0106,-74.2149,1
RE-SOLVE  INC., MA,41.688061,-71.033889,1
REVERE TEXTILE PRINTS CORP., CT,41.708331,-71.829169,1
RICHARDSON HILL ROAD LANDFILL/POND, NY,42.252781,-75.249169,1
RIVERFRONT, MO,38.613889,-91.214722,1
ROCKWELL INTERNATIONAL CORP. (ALLEGAN PLANT), MI,42.536669,-85.85,1
ROCKY FLATS PLANT (USDOE), CO,39.892897,-105.1996,1
ROCKY MOUNTAIN ARSENAL (USARMY), CO,39.833398,-104.842445,1
RODALE MANUFACTURING CO.  INC., PA,40.531111,-75.493333,1
ROSE DISPOSAL PIT, MA,42.5055,-73.2748,1
ROSE HILL REGIONAL LANDFILL, RI,41.470831,-71.491669,1
ROWE INDUSTRIES GROUND WATER CONTAMINATION, NY,40.982781,-72.3,1
SACO TANNERY WASTE PITS, ME,43.56055,-70.426389,1
SAFETY LIGHT CORPORATION, PA,41.015278,-76.376389,1
SAINT-GOBAIN PERFORMANCE PLASTICS, NY,42.8943,-73.3566,1
SALFORD QUARRY, PA,40.251944,-75.382222,1
SAND  GRAVEL AND STONE, MD,39.615281,-75.896389,1
SAVAGE MUNICIPAL WATER SUPPLY, NH,42.8418,-71.6884,1
SAVANNA ARMY DEPOT ACTIVITY, IL,42.21,-90.313331,1
SENECA ARMY DEPOT, NY,42.75,-76.85445,1
SHARPE ARMY DEPOT, CA,37.829169,-121.2672,1
SHIAWASSEE RIVER, MI,42.622781,-83.963611,1
SILRESIM CHEMICAL CORP., MA,42.628889,-71.313889,1
SOLVENT SAVERS, NY,42.665,-75.876661,1
SOLVENTS RECOVERY SERVICE OF NEW ENGLAND, CT,41.6196,-72.878,1
SOMERSWORTH SANITARY LANDFILL, NH,43.2489,-70.8845,1
SOUTH MACOMB DISPOSAL AUTHORITY (LANDFILLS #9 AND #9A), MI,42.682081,-82.907389,1
SOUTH MUNICIPAL WATER SUPPLY WELL, NH,42.8489,-71.9468,1
SOUTH WEYMOUTH NAVAL AIR STATION, MA,42.155277,-70.93347,1
SPARTAN CHEMICAL CO., MI,42.915831,-85.727781,1
SPECTRON  INC., MD,39.691249,-75.877778,1
ST. JULIENS CREEK ANNEX (U.S. NAVY), VA,36.794167,-76.312222,1
STATE DISPOSAL LANDFILL  INC., MI,43.013397,-85.590506,1
SULLIVAN'S LEDGE, MA,41.654719,-70.957219,1
SUTTON BROOK DISPOSAL AREA, MA,42.598222,-71.183194,1
SYLVESTER, NH,42.7197,-71.523111,1
TIBBETTS ROAD, NH,43.18,-71.0347,1
TINKER AIR FORCE BASE (SOLDIER CREEK/BUILDING 3001), OK,35.413973,-97.401494,1
TINKHAM GARAGE, NH,42.860831,-71.351111,1
TOBYHANNA ARMY DEPOT, PA,41.19305,-75.419439,1
TOOELE ARMY DEPOT (NORTH AREA), UT,40.526461,-112.410368,1
TRACY DEFENSE DEPOT (USARMY), CA,37.715281,-121.3911,1
TRAVIS AIR FORCE BASE, CA,38.26445,-121.9332,1
TROY MILLS LANDFILL, NH,42.802583,-72.186944,1
TUCSON INTERNATIONAL AIRPORT AREA, AZ,32.105561,-110.9333,1
TWIN CITIES AIR FORCE RESERVE BASE (SMALL ARMS RANGE LANDFILL), MN,44.863061,-93.204719,1
TYNDALL AIR FORCE BASE, FL,30.0875,-85.586667,1
UMATILLA ARMY DEPOT (LAGOONS), OR,45.836111,-119.45,1
UNION CHEMICAL CO.  INC., ME,44.21444,-69.189027,1
USN AIR STATION CECIL FIELD, FL,30.23861,-81.902777,1
VALMONT TCE SITE   (FORMER - VALMONT INDUSTRIAL PARK), PA,40.967778,-76.015556,1
W.R. GRACE & CO.  INC. (ACTON PLANT), MA,42.45055,-71.427781,1
WALTON & LONSBURY INC., MA,41.957778,-71.296944,1
WASH KING LAUNDRY, MI,43.8532,-85.853,1
WASHINGTON COUNTY LANDFILL, MN,45.008639,-92.918139,1
WASHINGTON NAVY YARD, DC,38.875,-76.9875,1
WATSON JOHNSON LANDFILL, PA,40.460139,-75.331861,1
WELLS G&H, MA,42.494719,-71.130839,1
WEST KINGSTON TOWN DUMP/URI DISPOSAL AREA, RI,41.496667,-71.535278,1
WESTERN SAND & GRAVEL, RI,41.9727,-71.595,1
WHITING FIELD NAVAL AIR STATION, FL,30.709722,-87.020417,1
WILLIAMS AIR FORCE BASE, AZ,33.30695,-111.6519,1
WILLOW GROVE NAVAL AIR AND AIR RESERVE STATION, PA,40.19222,-75.1475,1
WINTHROP LANDFILL, ME,44.275831,-69.988331,1
WRIGHT-PATTERSON AIR FORCE BASE, OH,39.8071,-84.0697,1
WURTSMITH AIR FORCE BASE, MI,44.45,-83.366666,1
YAWORSKI WASTE LAGOON, CT,41.66945,-71.964161,1
YUMA MARINE CORPS AIR STATION, AZ,32.654581,-114.5888,1
