FID,FID_,OVERSITE_P,SITE_NAME,SITE_ADD,SITE_CITY,SITE_ZIP,SITE_COUNT,LATITUDE,LONGITUDE,HOR_DATUM,COLLECT_ME,SITE_ID,ALT_SITE_N,SITE_MNGR,PHONE,EMAIL,EPA_INFO_L,DATE_OF_UP,DOC_LINK,x,y,GlobalID
87,,DOD,Buxton Naval Facility,Old Lighthouse Road,Buxton,27920,Dare,35.257778,-75.521667,,,NC9799F4825,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC9799F4825*%22},,,{208898A9-4583-4242-95AA-BBF500FCAFD3}
88,,NPL,Bypass 601 Groundwater Contamination,474 Concord Parkway North,Concord,28027-6737,Cabarrus,35.4098,-80.611344,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD044440303,,David Mattison,(919) 707-8336,David.Mattison@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402753,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD044440303*%22},,,{FE2395F7-1592-4C17-BE48-F5CCCBABB889}
89,,DOD,Camp Butner Trng Cmp,Uzzle Road,Butner,27572,Granville/Durham,36.26634,-78.785829,,,NC9799F4827,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,http://gis.hgl.com/Camp_Butner/RI/,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC9799F4827*%22},,,{1DD9A0E2-6AC1-4240-BB33-2CD97A50C65D}
90,,DOD,Camp Greene,522 Park Office Ln,Kings Mountain,28086,Gaston,35.212969,-81.293504,,,NC9799F4831,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC9799F4831*%22},,,{72D52CCB-DC7B-444C-963F-2747AC0A5790}
91,,NPL,Camp Lejeune Military Res.,1 Post Ln,Jacksonville,285420004,Onslow,34.71778,-77.34291,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NC6170022580,,Angela Moore,(919) 707-8368,angela.moore@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403185,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC6170022580*%22},,,{BBD9AC3E-EF69-4D13-AD90-F3BE52332081}
92,,DOD,Camp/Fort Davis,Off Preston Wells Road,Holly Ridge,28445,Onslow/Pender,34.526741,-77.602801,,,NC9799F4828,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC9799F4828*%22},,,{B63CBA1E-87C5-43F7-9847-6CF8A72BC938}
93,,NPL,Cape Fear Wood Preserving Co Inc,South Reilly Rd,Fayetteville,28314,Cumberland,35.04945,-79.02083,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD003188828,,Beth Hartzell,(919) 707-8335,beth.hartzell@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402634,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD003188828*%22},,,{650D2629-DA8C-492E-BCE4-A2A64E7DFD64}
94,,NPL,Carolina Transformer Co.,1434 Middle River Loop,Fayetteville,28312,Cumberland,35.06333,-78.845,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD003188844,,Beth Hartzell,(919) 707-8335,beth.hartzell@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402635,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD003188844*%22},,,{E19D0EB5-86FB-4028-BC8A-49BB8D9E9B94}
95,,NPL,Celanese Corporation,Blacksburg Road,Shelby,28150,Cleveland,35.2091,-81.5298,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD003446721,Shelby Fiber Operations,David Mattison,(919) 707-8336,David.Mattison@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402687,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD003446721*%22},,,{347282DB-375C-4A38-AE16-0885446A1CE1}
96,,NPL,Charles Macon Lagoon And Drum Storage,954 Old Cheraw Highway,Cordova,28330,Richmond,34.8913,-79.8377,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD980840409,Macon Dockery,David Mattison,(919) 707-8336,David.Mattison@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403095,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD980840409*%22},,,{229AAF1F-9396-4B51-B667-75FD9DD71196}
97,,DOD,Charlotte Air National Guard,4930 Minute Man Way,Charlotte,28208,Mecklenburg,35.216467,-80.931946,,,DODNC0002,,Beth Hartzell,(919) 707-8335,Beth.Hartzell@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*DODNC0002*%22},,,{F8A279FB-68E9-4970-9DE1-5EF6CB016E93}
98,,DOD,Charlotte Army Missile Plant,1776 Statesville Ave,Charlotte,28206,Mecklenburg,35.24741,-80.832826,,,NC9799F4838,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC9799F4838*%22},,,{D4E0026D-CF3B-4971-908E-507F51EA7044}
99,,DOD,Charlotte Naval Ammunition Depot,2820 Nevada Blvd,Charlotte,28273,Mecklenburg,35.121111,-80.928333,,,NC9799F4900,,Beth Hartzell,(919) 707-8335,Beth.Hartzell@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC9799F4900*%22},,,{C17CC193-81E0-4EA8-B07D-DC65491B6C89}
100,,NPL,Chemtronics Inc,180 Old Bee Tree Road,Swannanoa,28778,Buncombe,35.617744,-82.434521,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD095459392,,Beth Hartzell,(919) 707-8335,Beth.Hartzell@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402957,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD095459392*%22},,,{2D0E4D01-A45F-4544-A374-1AE780E94311}
101,,DOD,Corolla Naval Target,North Beach Access Road,Corolla,27627,Currituck,36.416944,-75.8375,,,NC9799F8874,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC9799F8874*%22},,,{C6D49912-C555-40F2-B20C-C50DAE74D446}
102,,NPL,Cristex Drum Site,500 E. Industry Drive,Oxford,27565,Granville,36.29669,-78.60655,NAD83,ON SCREEN PLACEMENT,NC0001606250,,Sue Murphy,(919) 707-8354,sue.murphy@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0406597,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC0001606250*%22},,,{C8AEF6A2-D6EA-419E-936A-85BF730AF273}
103,,Bankrupt,Crompton And Knowles,Spencer Mountain Road,Lowell,28098,Gaston,35.2858,-81.1049,,,NCD044444735,,Tessa Monday,(919)707-8380,tessa.monday@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD044444735*%22},,,{4838059C-1C7F-4402-800E-07CF5301693A}
104,,NPL,"Cts Of Asheville, Inc",235 Mills Gap Road,Asheville,28803,Buncombe,35.493056,-82.505835,WGS84,INTERPOLATION-PHOTO,NCD003149556,,Beth Hartzell,(919) 707-8335,beth.hartzell@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402598,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD003149556*%22},,,{A961546F-7D6A-4544-8F86-8524D7FCF1A3}
105,,NPL,Davis Park Road TCE,2307 Davis Park Road,Gastonia,28052-4463,Gaston,35.23166,-81.21888,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD986175644,,Tessa Monday,(919)707-8380,tessa.monday@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0405489,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD986175644*%22},,,{C2EBA3ED-F3A1-48CC-8E75-0EC5CFD59019}
106,,DOD,Duck Target Facility,1261 Duck Road,Duck,27949,Dare,36.181408,-75.753775,,,NC9799F7888,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC9799F7888*%22},,,{F378B0E1-792A-481B-8C28-AB8ED1C6EDBC}
107,,State Deferral,Ecusta Mill,1 Ecusta Road,Pisgah Forest,0,Transylvania,35.2667,-82.7059,,,NCD003166675,,Tessa Monday,(919)707-8380,tessa.monday@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD003166675*%22},,,{411A047B-7F7B-4F0A-8425-8B36193765B4}
108,,NPL Caliber,Estech General Chemicals Corporation,Navassa Rd/Hwy 74,Navassa,28451,Brunswick,34.26007,-77.99053,,ON SCREEN PLACEMENT,NCD051827905,,David Mattison,(919) 707-8336,David.Mattison@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402792,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD051827905*%22},,,{3A019C94-D442-46C0-9697-8D64E486198B}
109,,NPL,"FCX, Inc. (Statesville Plant)",1620 W. Front St.,Statesville,28677,Iredell,35.7865,-80.9163,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD095458527,,Beth Hartzell,(919) 707-8335,beth.hartzell@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404225,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD095458527*%22},,,{D98C4357-BD33-40B4-B217-18E0576821F8}
110,,NPL,"FCX, Inc. (Washington Plant)",Grimes Rd,Washington,27889,Beaufort,35.55958,-77.07445,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD981475932,,Beth Hartzell,(919) 707-8335,beth.hartzell@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404280,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD981475932*%22},,,{21EF3D9D-A788-43DA-A7B5-B2C56B6CEB2C}
111,,NPL Caliber,Flanders Filters,531 Flanders Filter Road,Washington,27889,Beaufort,35.5872,-77.1064,,,NCD045922986,,Tessa Monday,(919)707-8380,tessa.monday@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD045922986*%22},,,{F68CE581-4865-4D55-A0F0-C443084E9660}
112,,DOD,Fort Liberty (formerly Fort Bragg),3-1137 Rock Merritt Avenue,Fort Liberty,28310,Cumberland/Hoke,35.161122,-79.003191,,,NC8210020121,,Tessa Monday,(919)707-8380,tessa.monday@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC8210020121*%22},,,{AFEFAE05-8649-472A-A1B2-B62246032C82}
113,,NPL,Geigy Chemical Corp. (Aberdeen Plant),Route 211 4 Mile West Of Sr 2063,Aberdeen,28315,Moore,35.12611,-79.40666,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD981927502,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404170,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD981927502*%22},,,{CC584196-65C5-49FF-8ABA-74C1E1D10560}
114,,NPL,General Electric/Shepherd Farm,3010 Spartanburg Hwy.,East Flat Rock,28726,Henderson,35.2743,-82.415,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD079044426,,David Mattison,(919) 707-8336,David.Mattison@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402893,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD079044426*%22},,,{E106B001-68C9-4F4B-BC25-7854C8244899}
115,,NPL,Gmh Electronics,1800 Virgilina Road,Roxboro,27573,Person,36.416649,-78.94156,,,NCN000410161,,Beth Hartzell,(919) 707-8335,beth.hartzell@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0410161,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCN000410161*%22},,,{97B81EA5-EE6F-4560-A9BB-02F584068A6B}
116,,DOD,Greensboro Overseas Replacement Depot,"English St, Sullivan St, E Lindsay St, Phillips Ave",Greensboro,27405,Guilford,36.081624,-79.760942,,,NC9799F7942,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC9799F7942*%22},,,{A4ABB9C1-5708-44A4-A028-BF249327D869}
117,,State Deferral,Gresham'S Lake Industrial Park,Gresham'S Lake Road,Raleigh,27606,Wake,35.88369,-78.58073,,ON SCREEN PLACEMENT,NCD986232379,,David Mattison,(919) 707-8336,David.Mattison@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0406117,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD986232379*%22},,,{82672388-69E7-4D09-BDB4-DCA55D76F54B}
118,,NPL Caliber,Gurley Pesticide Burial,719 E. Preston Street,Selma,27576,Johnston,35.5303,-78.2792,,,NCD986172526,,Tessa Monday,(919)707-8380,tessa.monday@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD986172526*%22},,,{C0C98C03-B7ED-409F-BBBA-1B89F541D5D7}
119,,NPL,Hemphill Road TCE,Hemphill Road,Gastonia,28056,Gaston,35.1979,-81.1899,NAD83,INTERPOLATION-MAP,NC0002374445,,Angela Moore,(919) 707-8342,angela.moore@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0406819,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC0002374445*%22},,,{C4E25DBB-1028-4580-96D3-37049E510155}
120,,NPL,Holcomb Creosote Company,5016 Highway 601 North,Yadkinville,27055,Yadkin,36.158333,-80.675833,,INTERPOLATION-MAP,NCD024900987,,Angela Moore,(919) 707-8335,angela.moore@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402724,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD024900987*%22},,,{53113D77-C4BE-4882-955B-4100F266E317}
121,,NPL Cailber,Holtrachem/Honeywell Inc.,1 Industrial Drive,Riegelwood,28456,Columbus,34.35459,-78.20957,,ON SCREEN PLACEMENT,NCD991278631,,David Mattison,(919) 707-8336,David.Mattison@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403159,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD991278631*%22},,,{EE6BA3B5-103D-42DB-A8D1-B8AC9ECEA430}
122,,NPL,Horton Iron & Metal Co,2216 Us Highway 421 N,Wilmington,28401,New Hanover,34.26644,-77.95322,NAD83,ON SCREEN PLACEMENT,NCN000407480,,David Mattison,(919) 707-8336,David.Mattison@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0407480,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCN000407480*%22},,,{B6BCC345-E780-4F44-A72A-8A495B5EC233}
123,,NPL Cailber,J Street Site,State Rd. 1769,Erwin,28339,Harnett,35.33311,-78.68719,,ON SCREEN PLACEMENT,NCD981027915,,David Mattison,(919) 707-8336,David.Mattison@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403125,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD981027915*%22},,,{9AF72CA2-29DE-4FDC-B336-3C42D2B5BB18}
124,,NPL,Jadco-Hughes Facility,Nc Hwy 2035,Belmont,28012,Gaston,35.27583,-81.04111,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD980729602,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403079,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD980729602*%22},,,{588D3EF5-4423-4B89-B0EA-08C163252517}
125,,NPL,JFD Electronics/Channel Master,620 W Industry Dr,Oxford,27565,Granville,36.2998,-78.6089,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD122263825,,Sue Murphy,(919) 707-8354,sue.murphy@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0404327,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD122263825*%22},,,{1CB3EE6E-8416-4E95-A5EB-5D253BEA0AAD}
126,,NPL,Kerr-Mcgee Chemical Corp - Navassa,South Navassa Road,Navassa,28451,Brunswick,34.2509,-77.9986,,UNKNOWN,NCD980557805,,David Mattison,(919) 707-8336,David.Mattison@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0403028,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD980557805*%22},,,{7E653244-64D4-44B3-9BAB-37E59CDBBAFE}
127,,NPL,Koppers Co. (Morrisville Plant),Mccrimmon Parkway,Morrisville,27560,Wake,35.8471,-78.83833,NAD83,INTERPOLATION - DIGITAL MAP SRCE (TIGER),NCD003200383,,David Mattison,(919) 707-8336,David.Mattison@deq.nc.gov,https://cumulis.epa.gov/supercpad/cursites/csitinfo.cfm?id=0402647,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD003200383*%22},,,{308FD8EE-B1D7-423D-88CF-1DEFFE915CD2}
128,,DOD,Laurinburg-Maxton Ab,16701 Airport Road,Laurinburg,28364,Scotland,34.786667,-79.356389,,,NC9799F4829,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC9799F4829*%22},,,{F8B4505D-D1A0-4260-8EC0-1D092B23A5A9}
129,,DOD,Manteo Naval Auxiliary Air Station,410 Airport Road,Manteo,27954,Dare,35.919444,-75.698056,,,NC9799F7903,,George Adams,(919) 707-8131,george.adams@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NC9799F7903*%22},,,{5262282C-5E1D-44D3-A484-8B1F3980B905}
130,,State Deferral,Masonite Corp Fiberboard Div,Hwy 64 & Sr 1306,Spring Hope,,Nash,35.952667,-78.07522,,,NCD003233756,,Stuart Parker,(919)707-8377,Stuart.Parker@deq.nc.gov,,2023/10/03 00:00:00+00,https://edocs.deq.nc.gov/WasteManagement/Search.aspx?dbid=0&searchcommand={[WM]:[Program_ID]=%22*NCD003233756*%22},,,{C8EB4028-15DF-4F17-B18B-1BE25C068985}
