Site Type,Name,Total PFAS,sample Type,Lattitude,Longtitude
Drinking Water <,"Union Countyÿ, NC",906.00,Drinking Water,34.9338651,-80.543845
UCMR 4,"ROCKINGHAM, CITY OF",237.00,Drinking Water,34.9394992,-79.8072611
Drinking Water <,"Roseboro, NC",1.10,Drinking Water,34.9529475,-78.5086181
UCMR 4,TOWN OF WADESBORO,158.00,Drinking Water,34.9682097,-80.0767266
UCMR 4,"WINGATE, TOWN OF",79.00,Drinking Water,34.9806158,-80.4437781
Drinking Water <,"Wingate, NC",11.00,Drinking Water,34.9843176,-80.4492319
Drinking Water <,"City of Monroe, NC",24.00,Drinking Water,34.9854275,-80.5495112
Drinking Water <,"Richmond County, NC",21.00,Drinking Water,35.003045,-79.7848422
UCMR 4,"RAEFORD, CITY OF",79.00,Drinking Water,35.0432488,-79.2451149
Drinking Water >,Cliffdale West,41.00,Drinking Water,35.0628314,-79.0712581
UCMR 4,ROBESON COUNTY WATER SYSTEM,17.87,Drinking Water,35.0637521,-78.8722341
UCMR 4,LAMPLIGHTER SOUTH-DANBY,316.00,Drinking Water,35.080412,-80.8875861
UCMR 4,UNION COUNTY WATER SYSTEM,158.00,Drinking Water,35.1019648,-80.5993854
Drinking Water <,"New Bern, NC",1.40,Drinking Water,35.108493,-77.0441143
Drinking Water <,"Rosman, NC",7.10,Drinking Water,35.143721,-82.8212432
UCMR 4,"MOUNT OLIVE, TOWN OF",158.00,Drinking Water,35.168552,-78.0423683
Drinking Water <,"Southern Pines, NC",3.90,Drinking Water,35.1740471,-79.3922539
UCMR 4,TOWN OF SOUTHERN PINES,94.00,Drinking Water,35.1740471,-79.3922539
UCMR 4,"BREVARD, CITY OF",15.00,Drinking Water,35.2190534,-82.7778579
Drinking Water >,"Norwood, NC",13.00,Drinking Water,35.2195898,-80.1189477
UCMR 4,BROAD RIVER WATER AUTHORITY,79.00,River,35.2294387,-81.7458845
Drinking Water <,"Brevard, NC",13.00,Drinking Water,35.2334472,-82.7342919
Drinking Water <,"City of Belmont, NC",2.40,Drinking Water,35.2438483,-81.0377936
Drinking Water <,"Kings Mountain, NC",2.30,Drinking Water,35.2451342,-81.3411942
UCMR 4,"RANLO, TOWN OF",79.00,Drinking Water,35.2528422,-81.1526976
UCMR 4,"TRYON, TOWN OF",79.00,Drinking Water,35.2542295,-82.116955
UCMR 4,"LOWELL, CITY OF",79.00,Well,35.265536,-81.1030573
Drinking Water <,"Tuckaseigee , NC",7.10,Drinking Water,35.2703778,-83.1226416
UCMR 4,BRAGG COMMUNITIES/NTA,158.00,Drinking Water,35.2762929,-79.1774268
Drinking Water <,"Charlotte Water, NC",6.80,Drinking Water,35.2768287,-80.8893786
Drinking Water >,Bessemer City,41.00,Drinking Water,35.284782,-81.2839183
UCMR 4,JONES COUNTY WATER SYSTEM,395.00,Drinking Water,35.285623,-77.4931403
Drinking Water <,"City of Mount Holly, NC",3.30,Drinking Water,35.2956441,-81.0163388
Drinking Water >,City of Dunn,90.00,Drinking Water,35.3062743,-78.6089028
UCMR 4,"BESSEMER CITY, CITY OF",222.00,Drinking Water,35.3161558,-81.2739073
Drinking Water <,"Dallas, NC",14.00,Drinking Water,35.3165386,-81.1758091
UCMR 4,BEAUFORT CO SOUTHSIDE,94.00,Drinking Water,35.3167618,-76.7798172
Drinking Water <,"Harrisburg, NC",3.90,Drinking Water,35.3237528,-80.6559017
Drinking Water <,"Carthage, NC",21.00,Drinking Water,35.3459867,-79.4169711
UCMR 4,DARE CO-CAPE HATTERAS WATER,79.00,Drinking Water,35.3466072,-75.5101999
Drinking Water >,City of Albemarle,10.00,Drinking Water,35.3501426,-80.2000578
UCMR 4,SEYMOUR JOHNSON AFB,79.00,Drinking Water,35.3505693,-77.9681544
UCMR 4,"DALLAS, TOWN OF",79.00,Drinking Water,35.3532989,-81.1857736
UCMR 4,TOWN OF STANLEY,79.00,Drinking Water,35.3535258,-81.0903175
Drinking Water >,Harnett County,218.00,Drinking Water,35.3578648,-78.8835548
Drinking Water <,"ÿCleveland County NC, NC",3.00,Drinking Water,35.361354,-81.6035062
Drinking Water <,"Hyde Countyÿ, NC",4.60,Drinking Water,35.3777712,-76.1783739
UCMR 4,LILLINGTON WATER SYSTEM,79.00,Drinking Water,35.38163,-78.9061921
Drinking Water <,"Bayleaf Master, NC",110.00,Drinking Water,35.3954395,-77.9066503
UCMR 4,"CANTON, TOWN OF",79.00,Drinking Water,35.3989096,-82.8640623
UCMR 4,"CARTHAGE, TOWN OF",79.00,Drinking Water,35.40687,-79.4253776
Drinking Water >,City of Concord,2.70,Drinking Water,35.4087517,-80.579511
Drinking Water >,Johnston County - West,67.00,Drinking Water,35.4403514,-78.3842227
Drinking Water <,"ÿLincoln County, NC",9.20,Drinking Water,35.4637028,-81.2078164
Drinking Water <,"Ayden, NC",1.20,Drinking Water,35.4726626,-77.4155203
Drinking Water >,City of Lincolnton,21.00,Drinking Water,35.473745,-81.2545251
Drinking Water >,"Sanford, NC 27330",42.00,Drinking Water,35.4798757,-79.1802994
Drinking Water <,"City of Sanford, NC",45.00,Drinking Water,35.4798757,-79.1802994
Drinking Water >,City of Kannapolis,10.00,Drinking Water,35.4873613,-80.6217341
Drinking Water <,"Davidsonÿ, NC",1.10,Drinking Water,35.4993031,-80.8486846
Drinking Water >,Town of Smithfield,85.00,Drinking Water,35.5084935,-78.3394455
Drinking Water <,"Chocowinityÿ, NC",9.10,Drinking Water,35.5126631,-77.1005091
Drinking Water <,"ÿPine Level, NC",32.00,Drinking Water,35.5132157,-78.2444422
UCMR 4,"WINTERVILLE, TOWN OF",222.00,Drinking Water,35.5278135,-77.4357739
Drinking Water <,"City of Washington, NC",2.00,Drinking Water,35.5465517,-77.0521742
Drinking Water >,Neuse Regional Water and Sewer Authority,58.00,Drinking Water,35.5546941,-77.2999073
UCMR 4,"SELMA, TOWN OF (COUNTY LINE)",79.00,Drinking Water,35.5804492,-78.2703951
Drinking Water <,"Town of Mooresville, NC",118.00,Drinking Water,35.5820319,-80.8140473
Drinking Water >,Town of Fuquay-Varina,80.00,Drinking Water,35.5843235,-78.8000128
Drinking Water >,Bell Arthur Water Corporation,50.00,Drinking Water,35.5880165,-77.5116806
Drinking Water <,"City of Asheville, NC",1.70,Drinking Water,35.5950581,-82.5514869
Drinking Water <,"Farmville, NC",1.00,Drinking Water,35.5954381,-77.5852496
UCMR 4,"RALEIGH, CITY OF",188.00,Drinking Water,35.5981967,-78.4524591
UCMR 4,PINEWOOD ACRES WATER SYSTEM,79.00,Drinking Water,35.6110824,-80.9981576
UCMR 4,HANDY SANITARY DISTRICT,79.00,Drinking Water,35.6141751,-80.0758425
UCMR 4,"OLD FORT, TOWN OF",158.00,Drinking Water,35.61724,-82.1713632
Drinking Water <,"Black Mountain, NC",3.50,Drinking Water,35.6178951,-82.3212302
Drinking Water <,"Old Fort, NC, NC",4.60,Drinking Water,35.6290093,-82.1806697
Drinking Water >,Harris Nuclear Plant Water System,106.00,Drinking Water,35.6328719,-78.9542169
Drinking Water >,"Denton, NC",21.00,Drinking Water,35.6334712,-80.1158813
Drinking Water <,"Lucama, NC",7.50,Drinking Water,35.6454365,-78.0097099
Drinking Water <,"Town of Holly Springs, NC",20.00,Drinking Water,35.6512655,-78.8336218
UCMR 4,GREENVILLE UTILITIES COMM,316.00,Drinking Water,35.6599999,-77.4
Drinking Water <,"City of Newton, NC",7.20,Drinking Water,35.6698552,-81.2214708
UCMR 4,"WEAVERVILLE, TOWN OF",79.00,Drinking Water,35.705887,-82.5402275
Drinking Water >,City of Asheboro,41.00,Drinking Water,35.7079146,-79.8136446
Drinking Water >,Pittsboro,845.00,Drinking Water,35.7201463,-79.1772371
Drinking Water >,Siler City,63.00,Drinking Water,35.7234734,-79.4622431
Drinking Water >,City of Wilson,33.00,Drinking Water,35.7258286,-77.9111237
Drinking Water <,"Valdese, NC",2.20,Drinking Water,35.7406864,-81.563149
UCMR 4,BRENTWOOD-JAMESTOWN ROAD,79.00,Drinking Water,35.7446871,-81.6851617
Drinking Water <,"City of Morganton, NC",13.00,Drinking Water,35.7454071,-81.6848188
Drinking Water >,Brookwood Community NC,42.00,Drinking Water,35.7595731,-79.0192997
Drinking Water <,"Henderson-Kerr Lake Reg Water, NC",5.50,Lake,35.7595731,-79.0192997
Drinking Water >,"Sims, NC",21.00,Drinking Water,35.7609903,-78.0588786
UCMR 4,CENTRAL NASH WATER & SEWER,79.00,Drinking Water,35.7773262,-78.1906417
UCMR 4,"WILLIAMSTON, TOWN OF",395.00,Drinking Water,35.7774892,-77.0564464
Drinking Water <,"City of Statesville, NC",20.00,Drinking Water,35.7846006,-80.8883291
Drinking Water <,"Cary, NC",31.00,Drinking Water,35.79154,-78.7811169
Drinking Water <,"ÿElm City, NC",5.90,Drinking Water,35.8065455,-77.863315
UCMR 4,BATON WATER CORPORATION,79.00,Drinking Water,35.8151974,-81.4169093
Drinking Water <,"City of Lexington, NC",11.00,Drinking Water,35.8240265,-80.2533838
Drinking Water <,"Mars Hill, NC",2.70,Drinking Water,35.8264981,-82.5492999
UCMR 4,"DURHAM, CITY OF",316.00,Drinking Water,35.8387032,-78.8269385
Drinking Water <,"Martin County, NC",15.00,Drinking Water,35.8733053,-77.1485163
Drinking Water <,"THOMASVILLE, CITY OF: TOM-A-LEX LAKE",78.00,Lake,35.8826369,-80.0819879
Drinking Water <,"ÿTyrrell County, NC",8.50,Drinking Water,35.8925537,-76.1783739
Drinking Water >,Town of Tarboro,23.00,Drinking Water,35.8968236,-77.5358049
UCMR 4,"SPRUCE PINE, TOWN OF",158.00,Drinking Water,35.9154579,-82.0645536
UCMR 4,"MOCKSVILLE, TOWN OF",158.00,Drinking Water,35.9367033,-80.5882803
Drinking Water >,ÿCity of Rocky Mount,14.00,Drinking Water,35.9382103,-77.7905339
Drinking Water >,City of High Point,66.00,Drinking Water,35.9551294,-80.0020672
Drinking Water >,Central Nash Water & Sewer,11.00,Drinking Water,35.9557893,-77.8977217
UCMR 4,"JAMESTOWN, TOWN OF",237.00,Drinking Water,35.9623181,-79.9752212
UCMR 4,DAVIDSON WATER INC,79.00,Drinking Water,35.9953936,-80.3769999
Drinking Water <,"Bakersville, NC",4.20,Drinking Water,36.0156735,-82.1587351
Drinking Water <,"Durham County, NC",1.60,Drinking Water,36.0483715,-78.8835548
Drinking Water >,"Graham, NC",118.00,Drinking Water,36.0679144,-79.4003887
Drinking Water >,ÿCity of Greensboro,124.00,Drinking Water,36.0726354,-79.7919754
UCMR 4,LAKE ROYALE S/D,79.00,Lake,36.0730279,-78.2476146
Drinking Water <,"City of Winston-Salem, NC",72.00,Drinking Water,36.0998596,-80.244216
Drinking Water <,"Perquimans County, NC",2.50,Drinking Water,36.1329763,-76.4100267
Drinking Water <,"ÿYadkinville, NC",1.10,Drinking Water,36.1345807,-80.6595079
Drinking Water <,"Chowan County, NC",13.00,Drinking Water,36.1354131,-76.6181655
UCMR 4,"BLOWING ROCK, TOWN OF",79.00,Drinking Water,36.1379754,-81.7021049
Drinking Water <,"Seven Devils, NC",9.80,Drinking Water,36.1443203,-81.826041
UCMR 4,MULBERRY-FAIRPLAINS WTR ASSOC,237.00,Drinking Water,36.2013832,-81.0865035
Drinking Water <,"City of King, NC",1.80,Drinking Water,36.2805336,-80.3593684
Drinking Water <,"Ahoskie, NC",2.20,Drinking Water,36.2868223,-76.9846808
UCMR 4,PASQUOTANK COUNTY WATER SYSTEM,79.00,Drinking Water,36.2927068,-76.317414
Drinking Water <,"Elizabeth City, NC",6.90,Drinking Water,36.2946008,-76.2510461
UCMR 4,"ELIZABETH CITY, CITY OF",15.00,Drinking Water,36.3,-76.22
Drinking Water <,"Harrellsville, NC",2.20,Drinking Water,36.3026555,-76.7924532
UCMR 4,"ELKIN, TOWN OF",79.00,Drinking Water,36.3301314,-80.7990185
UCMR 4,BLUE RIDGE WATER ASSOCIATION,158.00,Drinking Water,36.3338025,-81.1306391
UCMR 4,HENDERSON-KERR LAKE REG WTR,79.00,Lake,36.3338756,-78.3955986
UCMR 4,"OXFORD, CITY OF",79.00,Drinking Water,36.3715036,-78.4524591
Drinking Water <,"City of Roxboro, NC",4.00,Drinking Water,36.3937519,-78.982788
Drinking Water <,"West Jefferson, NC",7.80,Drinking Water,36.4037364,-81.4928829
Drinking Water <,"Yanceyville, NC : FARMER LAKE",13.00,Lake,36.4040273,-79.3361314
Drinking Water <,"Danbury, NC",11.00,Drinking Water,36.4093079,-80.2062143
Drinking Water <,"MAYODAN, TOWN OF: MAYO RIVER",7.30,River,36.4123597,-79.9669857
Drinking Water <,"Roanoke Rapids, NC",13.00,Drinking Water,36.4615395,-77.6541464
Drinking Water <,"City of Mount Airy, NC",13.00,Drinking Water,36.4999641,-80.6053793
Drinking Water <,"City of Mount Airy, NC",13.00,Drinking Water,36.4999641,-80.6053793
UCMR 4,NORTHAMPTON--LAKE GASTON,79.00,Lake,36.5325826,-77.8252923
Drinking Water >,Jamestown,37.00,Drinking Water,37.2116383,-76.7752102
Drinking Water >,Liberty,26.00,Drinking Water,37.3492244,-79.1784123
Drinking Water >,Montgomery County,14.00,Drinking Water,39.1547426,-77.2405153
UCMR 4,CLEVELAND COUNTY WATER,79.00,Drinking Water,40.422369,-3.644582
Drinking Water <,"Lamplighter South-danby, NC",7.20,Drinking Water,42.3064626,-76.4429947
Drinking Water >,Northampton--lake Gaston,6.20,Lake,42.3250896,-72.6412013
Drinking Water >,City of Burlington,51.00,Drinking Water,43.326012,-79.7982923
Drinking Water >,Weldonÿ,17.00,Drinking Water,52.497863,-0.63268
PFASNetwork >,CLAY CO WATER & SEWER DISTRICT: WELL #5,0.00,Well,29.872336219558676,-81.61761720485592
Drinking Water >,City of Conway,37.00,Drinking Water,33.835213204741756,-79.04607519934935
Drinking Water >,The Village of Bald Head Island,27.00,Drinking Water,33.863877549928304,-77.98634094333921
PFASNetwork >,THE VILLAGE OF BALD HEAD ISLAND: ROYAL JAMES WELLÿ,28.81,Well,33.864517588968404,-77.99365306242171
Military Site,Military Ocean Terminal Sunny Point,150.00,Military Site,33.99132030721207,-78.06669115860277
Drinking Water >,ÿBrunswick County Water System,395.00,Drinking Water,33.99806451088909,-78.00899843797065
PFASNetwork >,CAROLINA BEACH WATER SYSTEM: WELL #1,0.00,Well,34.02990880219359,-77.9030459858954
PFASNetwork >,CFPUA-WILMINGTON: MASONBORO FOREST WELL #43,0.00,Well,34.1207647009733,-77.88545870076398
PFASNetwork >,CFPUA/MONTEREY HEIGHTS: LORDS CREEK,0.00,Creek,34.15199049021909,-77.9132772207044
Drinking Water <,"TABOR CITY, TOWN OF   WELL #1",0.00,Well,34.15241765050142,-78.8773803597548
Drinking Water >,Willow Woods Arbor,132.00,Drinking Water,34.204091311061866,-77.85812168186365
Drinking Water <,WRIGHTSVILLE BEACH WATER SYST: WELL #4,14.30,Well,34.20517338637631,-77.7976751197715
Drinking Water >,Bradley Creek Boataminium,188.00,Drinking Water,34.21419481563638,-77.83399694535836
Drinking Water <,Wilmington Ambient Atmosphere Sampling Site  : Ambient air was tested for PFAS at a site in North Carolina,6.00,Drinking Water,34.22033390685835,-77.86312395692752
Drinking Water <,"Wilmington Atmospheric Deposition Site (Dry)  Dry deposition, material collected from free falling particulate matter, was tested for PFAS at a site in North Carolina",390.00,Drinking Water,34.22033390685835,-77.86312395692752
Drinking Water <,Wilmington Atmospheric Deposition Site (Wet)ÿ,120.00,Drinking Water,34.22033390685835,-77.86312395692752
Drinking Water <,WRIGHTSVILLE BEACH WATER SYST: WELL #11,1708.50,Well,34.220531243405965,-77.82571457476523
Drinking Water,Wrightsville Beach70,4930.00,Drinking Water,34.22111927857825,-77.79044432192927
PFASNetwork >,"WRIGHTSVILLE BEACH, TOWN OF well",1708.00,Well,34.22150475866366,-77.82133664044572
Drinking Water >,Cape Fear Public Utility Authority - Wilmington,634.00,Drinking Water,34.24151153396567,-77.94636656440413
Drinking Water >,Treasure Cove S/d,28.00,Drinking Water,34.271340655188474,-77.79284519697238
PFASNetwork >,COLUMBUS COUNTY WATER DIST III: WELL #1,7.30,Well,34.29027159513914,-78.55347306112755
Drinking Water <,TOWN OF BRUNSWICK_0424040  DUTCHESS FOREST S/D: WELL #1,0.00,Well,34.29138298734178,-78.69843476814063
PFASNetwork >,CFPUA/NHC: WELL B - CASTLE HAYNE,207.80,Well,34.29550625392973,-77.808857645398
Drinking Water >,Corning Inc,315.00,Drinking Water,34.300578929814016,-77.87661279754802
Drinking Water >,Corning Inc,315.00,Drinking Water,34.300578929814016,-77.87661279754802
Drinking Water <,"FAIR BLUFF, TOWN OF",0.00,Drinking Water,34.31190056939128,-79.03354625685739
Drinking Water <,"BOLTON, TOWN OF: WELL #1",3.20,Well,34.32053998958882,-78.40237732935707
Drinking Water >,"LAKE WACCAMAW, TOWN OFÿ: Well",9.00,Well,34.324129823721975,-78.51960810313106
PFASNetwork >,"CERRO GORDO, TOWN OF",0.00,Drinking Water,34.32719382247894,-78.95329703927288
Drinking Water <,"WHITEVILLE, CITY OF: WELL #5",0.00,Well,34.328942134369775,-78.69160817991589
Drinking Water <,"TOPSAIL BEACH, TOWN OF  WELL #2A",0.00,Well,34.38278765727183,-77.60977823617827
Drinking Water <,EAST ARCADIA,0.00,Drinking Water,34.38765860459492,-78.30566627632498
PFASNetwork >,CFPUA-WILMINGTON: CAPE FEAR RIVER KINGS BLUFF,281.42,River,34.39261061094162,-78.2881762977624
PFASNetwork >,CFPUA-WILMINGTON: LOWER CAPE FEAR WSA - KINGS BLUFF,406.02,River,34.41074018270472,-78.3159854299876
Drinking Water <,INTERNATIONAL PAPER COMPANY_0424820,299.12,Drinking Water,34.433929066371704,-78.34570850346996
Drinking Water <,"SURF CITY, TOWN OF  WELL #3",0.00,Well,34.43655257132808,-77.55671124906162
PFASNetwork >,COLUMBUS COUNTY WATER DIST III: WELL #1,7.30,Well,34.46400521914592,-78.74431297985558
PFASNetwork >,CATAWBA RIV-LAKE WYLIE,5.44,Lake,34.468368099848355,-80.88965709061667
PFASNetwork >,"CLARKTON, TOWN OF",0.00,Drinking Water,34.47208689489982,-78.64969609440331
Drinking Water <,FAIRMONT TOWN OF ,0.00,Drinking Water,34.501274733339564,-79.11820387393324
Drinking Water <,"ROWLAND, TOWN OF  : WELL #1",0.00,Well,34.53298209776824,-79.28927458716643
PFASNetwork >,PENDER COUNTY UTILITIES: LCFWSA,425.52,Drinking Water,34.556718955706366,-77.9041289657024
Military Site,CAMP LEJEUNE NC MCB,179348.00,Military Site,34.584153380074625,-77.3603505297867
Drinking Water >,"LUMBERTON, CITY OF : LUMBER RIVER",56.52,River,34.60001380499033,-79.12054029655651
PFASNetwork >,CITY OF LUMBERTON : LUMBER RIVER,56.50,River,34.60574322727821,-79.15325565057582
PFASNetwork >,INTERNATIONAL PAPER COMPANY: CAPE FEAR RIVER,299.00,River,34.6130679252242,-78.6079356821068
PFASNetwork >,BLADEN BLUFFS WATER SYSTEM: CAPE FEAR RIVER,423.48,River,34.6236122972299,-78.54816595997247
PFASNetwork >,FAYETTEVILLE PUBLIC WORKS COMM: CAPE FEAR RIVER,112.00,River,34.62392376572231,-78.54912814495093
Drinking Water >,Robeson County,150.00,Drinking Water,34.626182406503055,-79.22126924099481
Drinking Water >,Robeson County,150.00,Drinking Water,34.626182406503055,-79.22126924099481
PFASNetwork >,BLADEN CO WTR DIST-WEST BLADEN: WELL #8,154.17,Well,34.63474379607412,-78.79817685174176
Drinking Water <,"WHITE LAKE, TOWN OF  WELL #3A",0.00,Well,34.65503817846711,-78.51496383072714
Drinking Water <,"Morehead City, NC",0.00,Drinking Water,34.720001459820786,-76.75801836586506
Drinking Water <,"WALLACE, TOWN OF: WELL #1",0.00,Well,34.73598352337258,-77.9976234060675
Drinking Water <,"MAXTON, TOWN OF",0.00,Drinking Water,34.74199653915565,-79.343528945164
Drinking Water >,"Laurinburg, NC",0.00,Drinking Water,34.74787823490868,-79.4776824888584
Drinking Water >,BLADEN BLUFFS WATER SYSTEM: CAPE FEAR RIVER,423.49,River,34.75672938695429,-78.79532611009935
Drinking Water <,ONSLOW WTR AND SEWER AUTHORITY: WELL #13,1.60,Well,34.77145739447457,-77.45426946016823
PFASNetwork >,BLADEN CO WTR DIST-EAST BLADEN,107.34,Drinking Water,34.77872166687734,-78.7123759179628
Drinking Water <,town of GARLAND,0.00,Drinking Water,34.7872544664752,-78.39810568550857
Drinking Water <,NEWPORT WATER SYSTEM: WELL #3,0.00,Well,34.7893614960925,-76.8704366352131
Drinking Water <,"RED SPRINGS, TOWN OF: WELL #2",0.00,Well,34.80650751911276,-79.18761014692303
Drinking Water <,"SAINT PAULS, NC",0.00,Drinking Water,34.80858863459154,-78.98046094592847
Drinking Water <,"ROSE HILL, TOWN OF  : WELL #5",2.10,Well,34.832495868034556,-78.02751010142427
PFASNetwork >,TOWN OF WAGRAM,14.65,Drinking Water,34.88405607046806,-79.37259269310523
Military Site,Cherry Point Marine Corps Air Station,151.00,Military Site,34.88590927472692,-76.90511347496059
Drinking Water <,"WAGRAM, TOWN OF: WELL #3",14.65,Well,34.889608392973145,-79.36825676813179
Military Site,MCOLF Atlantic,70.00,Military Site,34.892984612361666,-76.34924468664244
Drinking Water <,"Magnolia, NC",6.60,Drinking Water,34.89793940625058,-78.05629979074833
PFASNetwork >,TOWN OF MAYSVILLE  : Well,334.40,Well,34.90291472022179,-77.22999023416043
Drinking Water <,"Parkton, NC",0.00,Drinking Water,34.90370061135379,-79.00905332781353
Drinking Water <,"Rockingham, NC",1.15,Drinking Water,34.95470876083372,-79.74861141476593
Drinking Water <,"Roseboro, NC",0.00,Drinking Water,34.95866356348345,-78.50854213637697
Drinking Water <,"RAEFORD, CITY OF: WELL #26",0.00,Well,34.9835759553927,-79.25663699307482
Drinking Water <,"TURKEY, TOWN OF  WELL #2",0.00,Well,34.9932957073797,-78.18788502446229
Drinking Water >,ÿAurora Water System,104.00,Drinking Water,34.99572961317229,-78.10220393011782
Drinking Water <,"WARSAW, TOWN OF  WELL #6",0.00,Well,35.002600627429715,-78.07411013930218
PFASNetwork >,COUNTY OFÿANSON,80.00,Drinking Water,35.00263363604347,-79.91025091281476
Drinking Water <,"POLLOCKSVILLE, TOWN OF  : WELL #1",0.00,Well,35.00420734146339,-77.22095876728105
Drinking Water <,"Salemburg, NC",7.35,Drinking Water,35.01875455337575,-78.49973374280565
Drinking Water <,SAMPSON COUNTY PUBLIC WORKS DEPT  ,0.00,Drinking Water,35.02324006096754,-78.26667380704825
Military Site,Fort Bragg - Camp Mackall,32.00,Military Site,35.03294091328122,-79.48893681465564
Drinking Water <,"MONROE, CITY OF  : LAKE TWITTY",0.00,Lake,35.0363681186785,-80.47878248516939
Drinking Water <,"PINK HILL, TOWN OF  : WELL #1",1.40,Well,35.0523378332328,-77.74478201819929
Drinking Water <,"MURPHY, TOWN OF  : HIWASSEE RIVER",0.00,River,35.06000887778087,-83.94045257911634
Drinking Water <,"River Bend, NC",0.00,River,35.06368304344202,-77.17422538392327
Drinking Water <,FAYETTEVILLE-PWC,72.14,Drinking Water,35.06982054490424,-78.89719647356831
Drinking Water <,FAYETTEVILLE-PWC,115.49,Drinking Water,35.091577473598036,-78.85758298047647
Drinking Water <,"FAISON, TOWN OF: WELL #4",0.00,Well,35.109128090448685,-78.13908832748452
Drinking Water <,"PINEBLUFF, TOWN OF  : WELL #2",0.00,Well,35.10952938505749,-79.47936200504284
Drinking Water <,"SOUTHERN PINES, TOWN OF: DROWNING CREEK",6.73,Drinking Water,35.12170892112315,-79.57539934876431
Drinking Water <,FIRST CRAVEN SANITARY DISTRICT,1.40,Drinking Water,35.12173221776078,-77.00436402222873
Drinking Water <,"Rosman, NC",32.35,Drinking Water,35.14133040836859,-82.82037347658999
Military Site,Fort Bragg,84.10,Military Site,35.14868860289982,-79.00273883485418
PFASNetwork >,CITY OFÿÿLINCOLNTON : S FORK CATAWBA RIVER,21.30,River,35.151584285261535,-81.03757427513813
Drinking Water <,CARTOOGECHAYE RIVER,0.00,River,35.15807889679493,-83.44419609482127
Drinking Water <,"WADE, TOWN OF  WELL #3",36.00,Well,35.15868229950256,-78.72775182703614
Drinking Water <,PAMLICO COUNTY WATER: MILL POND WELL #1,0.00,Well,35.16287933421801,-76.76539012539303
Drinking Water <,"MOORE, COUNTY OF  MOORE CO PUBLIC UTIL-PINEHURST: WELL #16",7.80,Well,35.1694143679443,-79.49955754511262
PFASNetwork >,FAYETTEVILLE PUBLIC WORKS COMM: GLENVILLE LAKE,70.00,Lake,35.173638185431564,-83.15176775568844
Drinking Water <,"TRYON, TOWN OF  BIG FALLS CREEK",0.00,Drinking Water,35.19710792334534,-82.23534011388134
Drinking Water <,"MOUNT OLIVE, TOWN OF: WELL #3",0.00,Well,35.19733386646957,-78.06882619195162
Drinking Water <,"TAYLORTOWN, TOWN OF  WELL #1",3.70,Well,35.20456865190325,-79.48534310230556
PFASNetwork >,NEUSE REGIONAL WTR & SWR AUTH: NEUSE RIVER,57.00,River,35.21500418335151,-76.60272911426013
Drinking Water <,Town of Docer ,0.00,Drinking Water,35.215538082480826,-77.43607100297072
Military Site,Charlotte Douglas International Airport,10100.00,Military Site,35.216439316685474,-80.95391531649518
PFASNetwork >,ANSON COUNTY WATER SYSTEM: PEE DEE RIVER,26.15,River,35.217746061378236,-80.03637314714736
Drinking Water <,NEUSE REGIONAL WTR & SWR AUTH: NEUSE RIVER,58.22,River,35.223837098603354,-77.73982086660585
